# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.308
metadata : {}


# id : NWRW1800000041.308.1.1
무능력 또 드러낸 경제팀

무능력	무/XPN+능력/NNG
또	또/MAG
드러낸	드러내/VV+ㄴ/ETM
경제팀	경제/NNG+팀/NNG


# id : NWRW1800000041.308.2.1
세법개정 파동-월세 과세 혼란 등 적용대상 많아 민감한 세금이슈… 설익은 정책 여론역풍 맞고 수정

세법개정	세법/NNG+개정/NNG
파동-월세	파동/NNG+-/SO+월세/NNG
과세	과세/NNG
혼란	혼란/NNG
등	등/NNB
적용대상	적용/NNG+대상/NNG
많아	많/VA+아/EC
민감한	민감/NNG+하/XSA+ㄴ/ETM
세금이슈…	세금/NNG+이슈/NNG+…/SE
설익은	설익/VV+은/ETM
정책	정책/NNG
여론역풍	여론/NNG+역풍/NNG
맞고	맞/VV+고/EC
수정	수정/NNG


# id : NWRW1800000041.308.3.1
정부가 전월세 임대인에게 세금을 물리겠다는 방침을 밝힌 지 일주일 만에 소규모 임대인에 대해서는 과세를 유예하겠다고 밝히면서 세금 정책이 기준 없이 오락가락한다는 비판이 나오고 있다.

정부가	정부/NNG+가/JKS
전월세	전월세/NNG
임대인에게	임대인/NNG+에게/JKB
세금을	세금/NNG+을/JKO
물리겠다는	물리/VV+겠/EP+다는/ETM
방침을	방침/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
지	지/NNB
일주일	일주일/NNG
만에	만/NNB+에/JKB
소규모	소/XPN+규모/NNG
임대인에	임대인/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
과세를	과세/NNG+를/JKO
유예하겠다고	유예/NNG+하/XSV+겠/EP+다고/EC
밝히면서	밝히/VV+면서/EC
세금	세금/NNG
정책이	정책/NNG+이/JKS
기준	기준/NNG
없이	없이/MAG
오락가락한다는	오락가락/MAG+하/XSV+ㄴ다는/ETM
비판이	비판/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.308.3.2
세수를 늘리려고 세제를 급하게 바꾸다가 국민적 저항에 부닥치고 그 결과 정부에 대한 신뢰가 떨어지는 악순환이 이어지는 것이다.

세수를	세수/NNG+를/JKO
늘리려고	늘리/VV+려고/EC
세제를	세제/NNG+를/JKO
급하게	급하/VA+게/EC
바꾸다가	바꾸/VV+다가/EC
국민적	국민/NNG+적/XSN
저항에	저항/NNG+에/JKB
부닥치고	부닥치/VV+고/EC
그	그/MMD
결과	결과/NNG
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰가	신뢰/NNG+가/JKS
떨어지는	떨어지/VV+는/ETM
악순환이	악순환/NNG+이/JKS
이어지는	이어지/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.308.4.1
기획재정부 당국자는 6일 “지난달 26일 임대차시장 선진화 방안을 발표한 지 일주일 만에 보완조치를 내놓은 것은 당초 과세 기준에 대한 설명이 부족했고 ‘임대인의 세 부담이 너무 커지는 것 아니냐’는 불안감이 커졌기 때문”이라고 말했다.

기획재정부	기획/NNG+재정부/NNG
당국자는	당국자/NNG+는/JX
6일	6/SN+일/NNB
“지난달	“/SS+지난달/NNG
26일	26/SN+일/NNB
임대차시장	임대차/NNG+시장/NNG
선진화	선진/NNG+화/XSN
방안을	방안/NNG+을/JKO
