# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.105
metadata : {}


# id : NWRW1800000041.105.1.1
[Bio 의약]사무실 근무자 괴롭히는 치질 통증 굿바이!

[Bio	[/SS+Bio/SL
의약]사무실	의약/NNG+]/SS+사무실/NNG
근무자	근무자/NNG
괴롭히는	괴롭히/VV+는/ETM
치질	치질/NNG
통증	통증/NNG
굿바이!	굿바이/NNG+!/SF


# id : NWRW1800000041.105.2.1
한림제약

한림제약	한림제약/NNP


# id : NWRW1800000041.105.3.1
한림제약의 렉센 치질 치료제(하마메리스엽, 염산프라목신, 멜릴로투스, 을자탕 건조엑스 등 성분)는 표재성 피부병변이나 내치질, 외치질, 항문염 등의 치질로 인하여 발생할 수 있는 증상을 완화시켜주는 일반의약품이다.

한림제약의	한림제약/NNP+의/JKG
렉센	렉센/NNG
치질	치질/NNG
치료제(하마메리스엽,	치료제/NNG+(/SS+하마메리스엽/NNG+,/SP
염산프라목신,	염산/NNG+프라목신/NNG+,/SP
멜릴로투스,	멜릴로투스/NNG+,/SP
을자탕	을자탕/NNG
건조엑스	건조/NNG+엑스/NNG
등	등/NNB
성분)는	성분/NNG+)/SS+는/JX
표재성	표재성/NNG
피부병변이나	피부/NNG+병변/NNG+이나/JC
내치질,	내치질/NNG+,/SP
외치질,	외치질/NNG+,/SP
항문염	항문염/NNG
등의	등/NNB+의/JKG
치질로	치질/NNG+로/JKB
인하여	인/NNG+하/XSV+아/EC
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
증상을	증상/NNG+을/JKO
완화시켜주는	완화/NNG+시키/XSV+어/EC+주/VX+는/ETM
일반의약품이다.	일반/NNG+의약품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.105.4.1
치질은 항문관 내 점막하혈관, 평활근, 탄력 및 결합조직으로 구성된 혈관이 중력의 영향, 긴장감, 불규칙한 배변 습관 등의 여러 인자로 늘어져 정맥류를 유발하고 돌출되는 질환을 말하며 장시간 앉아 있거나 변비로 인한 항문 압박, 임신 시의 태아에 의한 압력으로 유발되기도 한다.

치질은	치질/NNG+은/JX
항문관	항문관/NNG
내	내/NNB
점막하혈관,	점막/NNG+하/XSN+혈관/NNG+,/SP
평활근,	평활근/NNG+,/SP
탄력	탄력/NNG
및	및/MAG
결합조직으로	결합/NNG+조직/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
혈관이	혈관/NNG+이/JKS
중력의	중력/NNG+의/JKG
영향,	영향/NNG+,/SP
긴장감,	긴장감/NNG+,/SP
불규칙한	불/XPN+규칙/NNG+하/XSA+ㄴ/ETM
배변	배변/NNG
습관	습관/NNG
등의	등/NNB+의/JKG
여러	여러/MMN
