# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.108
metadata : {}


# id : NWRW1800000038.108.1.1
"대화 매개체 와인문화, 한국에 소개하고 싶어"

"대화	"/SS+대화/NNG
매개체	매개체/NNG
와인문화,	와인/NNG+문화/NNG+,/SP
한국에	한국/NNP+에/JKB
소개하고	소개/NNG+하/XSV+고/EC
싶어"	싶/VX+어/EF+"/SS


# id : NWRW1800000038.108.2.1
佛 보르도 대표 와인생산社 '바롱 필리프 드 로실드' 위그 르샤누안느 사장

佛	佛/SH
보르도	보르도/NNP
대표	대표/NNG
와인생산社	와인/NNG+생산/NNG+社/SH
'바롱	'/SS+바롱/NNP
필리프	필리프/NNP
드	드/NNP
로실드'	로실드/NNP+'/SS
위그	위그/NNP
르샤누안느	르샤누안느/NNP
사장	사장/NNG


# id : NWRW1800000038.108.3.1
"와인은 단순한 술이나 음료가 아닙니다.

"와인은	"/SS+와인/NNG+은/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
술이나	술/NNG+이나/JC
음료가	음료/NNG+가/JKC
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000038.108.3.2
와인을 매개로 대화를 풀어나가는 진정한 와인 문화를 아시아에도 소개하고 싶습니다."

와인을	와인/NNG+을/JKO
매개로	매개/NNG+로/JKB
대화를	대화/NNG+를/JKO
풀어나가는	풀/VV+어/EC+나가/VX+는/ETM
진정한	진정하/VA+ㄴ/ETM
와인	와인/NNG
문화를	문화/NNG+를/JKO
아시아에도	아시아/NNP+에/JKB+도/JX
소개하고	소개/NNG+하/XSV+고/EC
싶습니다."	싶/VX+습니다/EF+./SF+"/SS


# id : NWRW1800000038.108.4.1
세계 최대 와인 전시회 '빈엑스포(Vinexpo)'에서 만난 프랑스 와인 생산·유통 기업 '바롱 필리프 드 로실드'의 위그 르샤누안느(43) 사장은 '와인 문화'를 강조했다.

세계	세계/NNG
최대	최대/NNG
와인	와인/NNG
전시회	전시회/NNG
'빈엑스포(Vinexpo)'에서	'/SS+빈엑스포/NNP+(/SS+Vinexpo/SL+)/SS+'/SS+에서/JKB
만난	만나/VV+ㄴ/ETM
프랑스	프랑스/NNP
생산·유통	생산/NNG+·/SP+유통/NNG
기업	기업/NNG
'바롱	'/SS+바롱/NNP
필리프	필리프/NNP
드	드/NNP
로실드'의	로실드/NNP+'/SS+의/JKG
위그	위그/NNP
르샤누안느(43)	르샤누안느/NNP+(/SS+43/SN+)/SS
사장은	사장/NNG+은/JX
'와인	'/SS+와인/NNG
문화'를	문화/NNG+'/SS+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.108.4.2
그는 "한국을 비롯한 아시아 소비자들은 이전엔 가격이나 이름만 보고 선택했지만, 최근 들어 자신에게 맞는 와인을 본격적으로 찾기 시작했다"며 "이런 소비 행태 변화에 프랑스 와인업계도 본격적으로 대응하기 시작했다"고 말했다.

그는	그/NP+는/JX
"한국을	"/SS+한국/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
아시아	아시아/NNP
소비자들은	소비자/NNG+들/XSN+은/JX
이전엔	이전/NNG+에/JKB+ㄴ/JX
가격이나	가격/NNG+이나/JC
이름만	이름/NNG+만/JX
보고	보/VV+고/EC
선택했지만,	선택/NNG+하/XSV+았/EP+지만/EC+,/SP
최근	최근/MAG
들어	들/VV+어/EC
자신에게	자신/NNG+에게/JKB
맞는	맞/VV+는/ETM
와인을	와인/NNG+을/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
찾기	찾/VV+기/ETN
시작했다"며	시작/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"이런	"/SS+이런/MMD
소비	소비/NNG
행태	행태/NNG
변화에	변화/NNG+에/JKB
프랑스	프랑스/NNP
와인업계도	와인업/NNG+계/XSN+도/JX
대응하기	대응/NNG+하/XSV+기/ETN
시작했다"고	시작/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.108.5.1
프랑스 서남부 보르도에서 20일까지(현지 시각) 닷새간 열린 빈엑스포에는 44개국 2400여개 와인 생산업체가 참여했는데, 그중 절반이 비(非)프랑스 와인업체였다.

프랑스	프랑스/NNP
서남부	서남부/NNG
