# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.351
metadata : {}


# id : NWRW1800000025.351.1.1
[오르락 내리락]3세 경영 기대감 반영… 삼성 관련주 동반 강세

[오르락	[/SS+오르/VV+락/EC
내리락]3세	내리/VV+락/EC+]/SS+3/SN+세/NNB
경영	경영/NNG
기대감	기대감/NNG
반영…	반영/NNG+…/SE
삼성	삼성/NNP
관련주	관련주/NNG
동반	동반/NNG
강세	강세/NNG


# id : NWRW1800000025.351.2.1
삼성그룹 3세 경영에 대한 기대감으로 삼성그룹 관련주들이 동반 강세를 나타냈다.

삼성그룹	삼성그룹/NNP
3세	3/SN+세/NNB
경영에	경영/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대감으로	기대감/NNG+으로/JKB
관련주들이	관련주/NNG+들/XSN+이/JKS
동반	동반/NNG
강세를	강세/NNG+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.351.2.2
특히 지배구조 관련주들이 급등했다.

특히	특히/MAG
지배구조	지배/NNG+구조/NNG
관련주들이	관련주/NNG+들/XSN+이/JKS
급등했다.	급등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.351.3.1
삼성전자는 3일 유가증권시장에서 3만5000원(4.07%) 오른 89만4000원으로 장을 마쳤다.

삼성전자는	삼성전자/NNP+는/JX
3일	3/SN+일/NNB
유가증권시장에서	유가/NNG+증권/NNG+시장/NNG+에서/JKB
3만5000원(4.07%)	3/SN+만/NR+5000/SN+원/NNB+(/SS+4/SN+./SP+07/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
89만4000원으로	89/SN+만/NR+4000/SN+원/NNB+으로/JKB
장을	장/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.351.3.2
삼성물산도 3600원(4.62%) 오른 8만1500원으로 마감했다.

삼성물산도	삼성물산/NNP+도/JX
3600원(4.62%)	3600/SN+원/NNB+(/SS+4/SN+./SP+62/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
8만1500원으로	8/SN+만/NR+1500/SN+원/NNB+으로/JKB
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.351.3.3
호텔신라(3.42%), 제일모직(2.24%) 역시 상승했다.

호텔신라(3.42%),	호텔신라/NNP+(/SS+3/SN+./SP+42/SN+%/SW+)/SS+,/SP
제일모직(2.24%)	제일모직/NNP+(/SS+2/SN+./SP+24/SN+%/SW+)/SS
역시	역시/MAG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.351.4.1
삼성물산은 삼성전자와 더불어 삼성그룹 계열사 지분을 가장 많이 소유하고 있어 지배구조 변화의 시발점이 될 수 있다.

삼성물산은	삼성물산/NNP+은/JX
삼성전자와	삼성전자/NNP+와/JKB
더불어	더불/VV+어/EC
삼성그룹	삼성그룹/NNP
계열사	계열사/NNG
지분을	지분/NNG+을/JKO
가장	가장/MAG
많이	많이/MAG
소유하고	소유/NNG+하/XSV+고/EC
있어	있/VX+어/EC
지배구조	지배/NNG+구조/NNG
변화의	변화/NNG+의/JKG
시발점이	시발점/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.351.4.2
삼성카드는 삼성에버랜드 지분을 25.6% 갖고 있어 지주회사 전환이 이뤄진다면 지배구조 변화 과정에서 가치가 부각될 것으로 보인다.

삼성카드는	삼성카드/NNP+는/JX
삼성에버랜드	삼성에버랜드/NNP
지분을	지분/NNG+을/JKO
25.6%	25/SN+./SP+6/SN+%/SW
갖고	갖/VV+고/EC
있어	있/VX+어/EC
지주회사	지주/NNG+회사/NNG
전환이	전환/NNG+이/JKS
이뤄진다면	이뤄지/VV+ㄴ다면/EC
지배구조	지배/NNG+구조/NNG
변화	변화/NNG
과정에서	과정/NNG+에서/JKB
가치가	가치/NNG+가/JKS
부각될	부각/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.351.4.3
호텔신라와 제일모직 역시 지배구조 정착화 과정에서 이부진 삼성에버랜드 사장 겸 호텔신라 사장, 삼성물산 고문과 이서현 제일모직 전무의 역할 증대와 더불어 계열 분리 가능성이 대두될 수 있다는 점에서 주목받고 있다.

호텔신라와	호텔신라/NNP+와/JC
제일모직	제일모직/NNP
역시	역시/MAG
지배구조	지배/NNG+구조/NNG
정착화	정착/NNG+화/XSN
과정에서	과정/NNG+에서/JKB
이부진	이부진/NNP
삼성에버랜드	삼성에버랜드/NNP
사장	사장/NNG
겸	겸/NNB
호텔신라	호텔신라/NNP
사장,	사장/NNG+,/SP
삼성물산	삼성물산/NNP
고문과	고문/NNG+과/JC
이서현	이서현/NNP
전무의	전무/NNG+의/JKG
역할	역할/NNG
증대와	증대/NNG+와/JKB
더불어	더불/VV+어/EC
계열	계열/NNG
분리	분리/NNG
가능성이	가능/NNG+성/XSN+이/JKS
대두될	대두/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.351.5.1
이상헌 하이투자증권 연구원은 “3세 경영의 본질은 포스트 이건희 시대에 대비한 지배구조 정착화에 있다”며 “이재용, 이부진 사장과 이서현 전무의 역할이 확대되고 지배구조 변화의 윤곽이 가시화할 것인 만큼 지배구조 관련주에 관심을 둘 필요가 있다”고 말했다.

이상헌	이상헌/NNP
하이투자증권	하이투자증권/NNP
연구원은	연구원/NNG+은/JX
“3세	“/SS+3/SN+세/NNB
경영의	경영/NNG+의/JKG
본질은	본질/NNG+은/JX
포스트	포스트/NNG
이건희	이건희/NNP
시대에	시대/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
지배구조	지배/NNG+구조/NNG
정착화에	정착/NNG+화/XSN+에/JKB
있다”며	있/VA+다/EF+”/SS+며/EC
“이재용,	“/SS+이재용/NNP+,/SP
이부진	이부진/NNP
사장과	사장/NNG+과/JC
이서현	이서현/NNP
전무의	전무/NNG+의/JKG
역할이	역할/NNG+이/JKS
