# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.28
metadata : {}


# id : NWRW1800000045.28.1.1
현대모비스, 글로벌 車부품업체 4위 올라

현대모비스,	현대모비스/NNP+,/SP
글로벌	글로벌/NNG
車부품업체	車/SH+부품업체/NNG
4위	4/SN+위/NNB
올라	오르/VV+아/EF


# id : NWRW1800000045.28.2.1
日조사서 100위 내 한국업체 6곳

日조사서	日/SH+조사/NNG+서/JKB
100위	100/SN+위/NNB
내	내/NNB
한국업체	한국/NNP+업체/NNG
6곳	6/SN+곳/NNG


# id : NWRW1800000045.28.3.1
현대모비스가 사상 처음 매출 기준으로 글로벌 자동차 부품 업체 4위에 올랐다.

현대모비스가	현대모비스/NNP+가/JKS
사상	사상/NNG
처음	처음/NNG
매출	매출/NNG
기준으로	기준/NNG+으로/JKB
글로벌	글로벌/NNG
자동차	자동차/NNG
부품	부품/NNG
업체	업체/NNG
4위에	4/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.28.3.2
전 세계 자동차 부품 업체 톱100 중 한국 기업은 6개사가 포함됐고 이 가운데 4곳이 현대모비스를 포함한 현대자동차그룹 계열사다.

전	전/MMN
세계	세계/NNG
자동차	자동차/NNG
부품	부품/NNG
업체	업체/NNG
톱100	톱/NNG+100/SN
중	중/NNB
한국	한국/NNP
기업은	기업/NNG+은/JX
6개사가	6/SN+개사/NNB+가/JKS
포함됐고	포함/NNG+되/XSV+었/EP+고/EC
이	이/MMD
가운데	가운데/NNG
4곳이	4/SN+곳/NNG+이/JKS
현대모비스를	현대모비스/NNP+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
현대자동차그룹	현대자동차그룹/NNP
계열사다.	계열사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.28.4.1
