# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.284
metadata : {}


# id : NWRW1800000028.284.1.1
2. 반출 문화재의 보고 오구라 컬렉션 /도쿄에서 칩거중인 ‘한반도 명품 문화재’

2.	2/SN+./SF
반출	반출/NNG
문화재의	문화재/NNG+의/JKG
보고	보고/NNG
오구라	오구라/NNP
컬렉션	컬렉션/NNG
/도쿄에서	//SP+도쿄/NNP+에서/JKB
칩거중인	칩거/NNG+중/NNB+이/VCP+ㄴ/ETM
‘한반도	‘/SS+한반도/NNP
명품	명품/NNG
문화재’	문화재/NNG+’/SS


# id : NWRW1800000028.284.2.1
이국땅 고색창연한 바로크식 돔건물 안에는 한반도의 명품 문화유산들이 새록새록 숨쉬고 있었다.

이국땅	이국땅/NNG
고색창연한	고색창연/NNG+하/XSA+ㄴ/ETM
바로크식	바로크식/NNG
돔건물	돔/NNG+건물/NNG
안에는	안/NNG+에/JKB+는/JX
한반도의	한반도/NNP+의/JKG
명품	명품/NNG
문화유산들이	문화유산/NNG+들/XSN+이/JKS
새록새록	새록새록/MAG
숨쉬고	숨/NNG+쉬/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.284.2.2
화려한 금박 장식들이 찰랑거리는 삼국시대의 금동관모(모자), 아기자기한 요철(凹凸) 무늬가 빼곡한 금동신발, 앙증맞게 합장한 보살상이 꼭지에 올라앉은 9세기 팔각당형 사리기….

화려한	화려하/VA+ㄴ/ETM
금박	금박/NNG
장식들이	장식/NNG+들/XSN+이/JKS
찰랑거리는	찰랑거리/VV+는/ETM
삼국시대의	삼국/NNG+시대/NNG+의/JKG
금동관모(모자),	금동/NNG+관모/NNG+(/SS+모자/NNG+)/SS+,/SP
아기자기한	아기자기/MAG+하/XSA+ㄴ/ETM
요철(凹凸)	요철/NNG+(/SS+凹凸/SH+)/SS
무늬가	무늬/NNG+가/JKS
빼곡한	빼곡/MAG+하/XSA+ㄴ/ETM
금동신발,	금동/NNG+신발/NNG+,/SP
앙증맞게	앙증맞/VA+게/EC
합장한	합장/NNG+하/XSV+ㄴ/ETM
보살상이	보살상/NNG+이/JKS
