# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.190
metadata : {}


# id : NWRW1800000038.190.1.1
"실종자 얼굴 알아보고, 비명도 감지" 똑똑한 CCTV 내년 상반기 도입키로

"실종자	"/SS+실종자/NNG
얼굴	얼굴/NNG
알아보고,	알아보/VV+고/EC+,/SP
비명도	비명/NNG+도/JX
감지"	감지/NNG+"/SS
똑똑한	똑똑하/VA+ㄴ/ETM
CCTV	CCTV/SL
내년	내년/NNG
상반기	상반기/NNG
도입키로	도입/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000038.190.2.1
충북 진천·부산 금정 시범설치

충북	충북/NNP
진천·부산	진천/NNP+·/SP+부산/NNP
금정	금정/NNP
시범설치	시범/NNG+설치/NNG


# id : NWRW1800000038.190.3.1
비명이나 호신용 비상벨을 자동으로 감지하고 그 지점을 비추는 스마트 CCTV가 내년 상반기에 설치된다.

비명이나	비명/NNG+이나/JC
호신용	호신/NNG+용/XSN
비상벨을	비상벨/NNG+을/JKO
자동으로	자동/NNG+으로/JKB
감지하고	감지/NNG+하/XSV+고/EC
그	그/MMD
지점을	지점/NNG+을/JKO
비추는	비추/VV+는/ETM
스마트	스마트/NNG
CCTV가	CCTV/SL+가/JKS
내년	내년/NNG
상반기에	상반기/NNG+에/JKB
설치된다.	설치/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.190.3.2
또한 실종자 데이터베이스(DB)에 입력된 사진과 신체 특징을 분석해 자동으로 실종자를 찾아주는 CCTV도 등장한다.

또한	또한/MAG
실종자	실종자/NNG
데이터베이스(DB)에	데이터베이스/NNG+(/SS+DB/SL+)/SS+에/JKB
입력된	입력/NNG+되/XSV+ㄴ/ETM
사진과	사진/NNG+과/JC
신체	신체/NNG
특징을	특징/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
자동으로	자동/NNG+으로/JKB
실종자를	실종자/NNG+를/JKO
찾아주는	찾/VV+아/EC+주/VX+는/ETM
CCTV도	CCTV/SL+도/JX
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.190.3.3
최신 정보통신 기술을 활용한 CCTV가 나오게 된다.

최신	최신/NNG
정보통신	정보/NNG+통신/NNG
기술을	기술/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
CCTV가	CCTV/SL+가/JKS
나오게	나오/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.190.4.1
안전행정부는 국민 안전을 위해 이런 지능형 관제 서비스 시범 사업을 추진한다고 3일 밝혔다.

안전행정부는	안전/NNG+행정부/NNG+는/JX
국민	국민/NNG
안전을	안전/NNG+을/JKO
위해	위하/VV+아/EC
이런	이런/MMD
지능형	지능/NNG+형/XSN
관제	관제/NNG
서비스	서비스/NNG
시범	시범/NNG
사업을	사업/NNG+을/JKO
추진한다고	추진/NNG+하/XSV+ㄴ다고/EC
3일	3/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.190.4.2
이번에 선정된 시범 사업 지역은 충북 진천군과 부산 금정구다.

이번에	이번/NNG+에/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
시범	시범/NNG
사업	사업/NNG
지역은	지역/NNG+은/JX
충북	충북/NNP
진천군과	진천군/NNP+과/JC
부산	부산/NNP
금정구다.	금정구/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000038.190.4.3
충북 진천군에는 '이상 음원 발생 지역 집중 관제 서비스'가 설치될 예정이다.

충북	충북/NNP
진천군에는	진천군/NNP+에/JKB+는/JX
'이상	'/SS+이상/NNG
음원	음원/NNG
발생	발생/NNG
지역	지역/NNG
집중	집중/NNG
관제	관제/NNG
서비스'가	서비스/NNG+'/SS+가/JKS
설치될	설치/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.190.4.4
특정 dB(데시벨) 이상으로 소리 크기가 올라가면 CC(폐쇄회로)TV가 자동으로 해당 지점을 비춘다.

특정	특정/NNG
dB(데시벨)	dB/SW+(/SS+데시벨/NNB+)/SS
이상으로	이상/NNG+으로/JKB
소리	소리/NNG
크기가	크기/NNG+가/JKS
올라가면	올라가/VV+면/EC
CC(폐쇄회로)TV가	CC/SL+(/SS+폐쇄/NNG+회로/NNG+)/SS+TV/SL+가/JKS
자동으로	자동/NNG+으로/JKB
해당	해당/NNG
지점을	지점/NNG+을/JKO
비춘다.	비추/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.190.4.5
통합관제센터에 있는 관제 요원은 해당 지역의 CCTV를 분석해 이상 현상을 발견하면 해당 경찰서·소방서 등에 연락해 신속하게 출동할 수 있도록 한다.

통합관제센터에	통합/NNG+관제/NNG+센터/NNG+에/JKB
있는	있/VA+는/ETM
관제	관제/NNG
요원은	요원/NNG+은/JX
해당	해당/NNG
지역의	지역/NNG+의/JKG
CCTV를	CCTV/SL+를/JKO
분석해	분석/NNG+하/XSV+아/EC
이상	이상/NNG
현상을	현상/NNG+을/JKO
발견하면	발견/NNG+하/XSV+면/EC
경찰서·소방서	경찰서/NNG+·/SP+소방서/NNG
등에	등/NNB+에/JKB
연락해	연락/NNG+하/XSV+아/EC
신속하게	신속/NNG+하/XSA+게/EC
