# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.354
metadata : {}


# id : NWRW1800000033.354.1.1
시중銀 서울지점 10곳 중 3곳 강남3구 몰려

시중銀	시중/NNG+銀/SH
서울지점	서울/NNP+지점/NNG
10곳	10/SN+곳/NNG
중	중/NNB
3곳	3/SN+곳/NNG
강남3구	강남/NNP+3/SN+구/NNG
몰려	몰리/VV+어/EF


# id : NWRW1800000033.354.2.1
서울시내에서 시중은행 점포 10곳 중 3곳은 강남·서초·송파구 등 이른바 ‘강남 3구’에 몰려 있는 것으로 나타났다.

서울시내에서	서울/NNP+시내/NNG+에서/JKB
시중은행	시중/NNG+은행/NNG
점포	점포/NNG
10곳	10/SN+곳/NNG
중	중/NNB
3곳은	3/SN+곳/NNG+은/JX
강남·서초·송파구	강남/NNP+·/SP+서초/NNP+·/SP+송파구/NNP
등	등/NNB
이른바	이른바/MAG
‘강남	‘/SS+강남/NNP
3구’에	3/SN+구/NNG+’/SS+에/JKB
몰려	몰리/VV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.354.3.1
금융감독원이 3일 국회 정무위원회 소속 민주통합당 김기식 의원에게 제출한 국정감사 자료에 따르면 국민·우리·하나·신한·외환 등 5대 시중은행의 서울시내 점포 2037곳 중 611곳(30.0%·8월 말 기준)이 강남·서초·송파구에 속해 있었다.

금융감독원이	금융/NNG+감독원/NNG+이/JKS
3일	3/SN+일/NNB
국회	국회/NNG
정무위원회	정무/NNG+위원회/NNG
소속	소속/NNG
민주통합당	민주통합당/NNP
김기식	김기식/NNP
의원에게	의원/NNG+에게/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
국정감사	국정/NNG+감사/NNG
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
국민·우리·하나·신한·외환	국민/NNP+·/SP+우리/NNP+·/SP+하나/NNP+·/SP+신한/NNP+·/SP+외환/NNP
등	등/NNB
5대	5/SN+대/NNG
시중은행의	시중/NNG+은행/NNG+의/JKG
서울시내	서울/NNP+시내/NNG
점포	점포/NNG
2037곳	2037/SN+곳/NNG
중	중/NNB
611곳(30.0%·8월	611/SN+곳/NNG+(/SS+30/SN+./SP+0/SN+%/SW+·/SP+8/SN+월/NNB
말	말/NNB
기준)이	기준/NNG+)/SS+이/JKS
