# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.367
metadata : {}


# id : NWRW1800000026.367.1.1
'죽음을 잘 맞이하는' 방법 한데 모아; 죽음학회, 점검표 만들어

'죽음을	'/SS+죽음/NNG+을/JKO
잘	잘/MAG
맞이하는'	맞이하/VV+는/ETM+'/SS
방법	방법/NNG
한데	한데/NNG
모아;	모으/VV+아/EC+;/SW
죽음학회,	죽음학회/NNP+,/SP
점검표	점검표/NNG
만들어	만들/VV+어/EF


# id : NWRW1800000026.367.2.1
'유언장에 들어갈 내용-희망하는 임종 장소가 있다면 밝혀두시기 바랍니다.

'유언장에	'/SS+유언장/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
내용-희망하는	내용/NNG+-/SO+희망/NNG+하/XSV+는/ETM
임종	임종/NNG
장소가	장소/NNG+가/JKS
있다면	있/VA+다면/EC
밝혀두시기	밝히/VV+어/EC+두/VX+시/EP+기/ETN
바랍니다.	바라/VV+ㅂ니다/EF+./SF


# id : NWRW1800000026.367.2.2
시신 기증이나 장기 기증을 했다면 자세한 정보를 남겨야 합니다.'

시신	시신/NNG
기증이나	기증/NNG+이나/JC
장기	장기/NNG
기증을	기증/NNG+을/JKO
했다면	하/VV+았/EP+다면/EC
자세한	자세하/VA+ㄴ/ETM
정보를	정보/NNG+를/JKO
남겨야	남기/VV+어야/EC
합니다.'	하/VX+ㅂ니다/EF+./SF+'/SS


# id : NWRW1800000026.367.2.3
'의사는 환자의 처지를 이해하고 전할 말을 잘 준비해 연습하는 것이 필요합니다.

'의사는	'/SS+의사/NNG+는/JX
환자의	환자/NNG+의/JKG
처지를	처지/NNG+를/JKO
이해하고	이해/NNG+하/XSV+고/EC
전할	전하/VV+ㄹ/ETM
말을	말/NNG+을/JKO
잘	잘/MAG
준비해	준비/NNG+하/XSV+아/EC
연습하는	연습/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
필요합니다.	필요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000026.367.2.4
소식을 전할 장소도 다른 사람이나 휴대전화 등으로 방해받지 않는 곳이어야 합니다.'

소식을	소식/NNG+을/JKO
전할	전하/VV+ㄹ/ETM
장소도	장소/NNG+도/JX
다른	다른/MMD
사람이나	사람/NNG+이나/JC
휴대전화	휴대/NNG+전화/NNG
등으로	등/NNB+으로/JKB
방해받지	방해/NNG+받/XSV+지/EC
않는	않/VX+는/ETM
곳이어야	곳/NNG+이/VCP+어야/EC
합니다.'	하/VX+ㅂ니다/EF+./SF+'/SS


# id : NWRW1800000026.367.3.1
죽음에 대비해 본인과 가족, 의료진 등이 준비해야 할 점들을 구체적이고 현실적으로 일목요연하게 정리한 점검표가 만들어졌다.

죽음에	죽음/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
본인과	본인/NNG+과/JC
가족,	가족/NNG+,/SP
의료진	의료진/NNG
등이	등/NNB+이/JKS
준비해야	준비/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
점들을	점/NNG+들/XSN+을/JKO
구체적이고	구체/NNG+적/XSN+이/VCP+고/EC
현실적으로	현실/NNG+적/XSN+으로/JKB
일목요연하게	일목요연하/VA+게/EC
정리한	정리/NNG+하/XSV+ㄴ/ETM
점검표가	점검표/NNG+가/JKS
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.367.3.2
한국죽음학회(회장 최준식 이화여대 교수)와 대화문화아카데미(원장 강대인)가 제정한 '웰다잉 가이드라인'은 죽음의 준비, 말기 질환을 알리는 바람직한 방법, 말기 질환 판정 후 환자의 대처요령, 말기 환자를 돌보는 가족이 해야 할 일, 임종 직전의 증상, 망자 보내기 등의 내용을 담고 있다.

한국죽음학회(회장	한국죽음학회/NNP+(/SS+회장/NNG
최준식	최준식/NNP
이화여대	이화여대/NNP
교수)와	교수/NNG+)/SS+와/JC
대화문화아카데미(원장	대화문화아카데미/NNP+(/SS+원장/NNG
강대인)가	강대인/NNP+)/SS+가/JKS
제정한	제정/NNG+하/XSV+ㄴ/ETM
'웰다잉	'/SS+웰다잉/NNG
가이드라인'은	가이드라인/NNG+'/SS+은/JX
죽음의	죽음/NNG+의/JKG
준비,	준비/NNG+,/SP
말기	말기/NNG
질환을	질환/NNG+을/JKO
알리는	알리/VV+는/ETM
바람직한	바람직하/VA+ㄴ/ETM
방법,	방법/NNG+,/SP
질환	질환/NNG
판정	판정/NNG
후	후/NNG
환자의	환자/NNG+의/JKG
대처요령,	대처/NNG+요령/NNG+,/SP
환자를	환자/NNG+를/JKO
돌보는	돌보/VV+는/ETM
가족이	가족/NNG+이/JKS
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
일,	일/NNG+,/SP
임종	임종/NNG
직전의	직전/NNG+의/JKG
증상,	증상/NNG+,/SP
망자	망자/NNG
보내기	보내/VV+기/ETN
등의	등/NNB+의/JKG
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.367.4.1
웰다잉을 위해 가장 중요한 첫 단계는 유언장을 작성하는 것이다.

웰다잉을	웰다잉/NNG+을/JKO
위해	위하/VV+아/EC
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
첫	첫/MMN
단계는	단계/NNG+는/JX
유언장을	유언장/NNG+을/JKO
작성하는	작성/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.367.4.2
자필 유언장은 별도의 공증절차 없이 법적 효력을 가진다.

자필	자필/NNG
유언장은	유언장/NNG+은/JX
별도의	별도/NNG+의/JKG
공증절차	공증/NNG+절차/NNG
없이	없이/MAG
법적	법/NNG+적/XSN
효력을	효력/NNG+을/JKO
가진다.	가지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.367.4.3
유언장에는 내용과 날짜, 주소, 성명, 날인의 5가지가 필수적으로 들어가야 한다.

유언장에는	유언장/NNG+에/JKB+는/JX
내용과	내용/NNG+과/JC
날짜,	날짜/NNG+,/SP
주소,	주소/NNG+,/SP
성명,	성명/NNG+,/SP
날인의	날인/NNG+의/JKG
5가지가	5/SN+가지/NNB+가/JKS
필수적으로	필수/NNG+적/XSN+으로/JKB
들어가야	들어가/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.367.4.4
신분증, 도장, 현금과 예금통장·신용카드 등 금융정보와 채권·채무관련 증서를 어디에 뒀는지도 정확히 밝혀둬야 한다.

신분증,	신분증/NNG+,/SP
도장,	도장/NNG+,/SP
현금과	현금/NNG+과/JC
예금통장·신용카드	예금/NNG+통장/NNG+·/SP+신용/NNG+카드/NNG
등	등/NNB
금융정보와	금융/NNG+정보/NNG+와/JC
채권·채무관련	채권/NNG+·/SP+채무/NNG+관련/NNG
증서를	증서/NNG+를/JKO
어디에	어디/NP+에/JKB
뒀는지도	두/VV+었/EP+는지/EF+도/JX
정확히	정확히/MAG
밝혀둬야	밝히/VV+어/EC+두/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.367.4.5
의식불명 상태가 됐을 때 받을 의료행위를 미리 지정하는 '사전의료 의향서'도 별도로 써놓아야 한다.

의식불명	의식/NNG+불명/NNG
상태가	상태/NNG+가/JKC
됐을	되/VV+었/EP+을/ETM
때	때/NNG
받을	받/VV+을/ETM
의료행위를	의료/NNG+행위/NNG+를/JKO
미리	미리/MAG
지정하는	지정/NNG+하/XSV+는/ETM
'사전의료	'/SS+사전/NNG+의료/NNG
의향서'도	의향서/NNG+'/SS+도/JX
별도로	별도/NNG+로/JKB
써놓아야	쓰/VV+어/EC+놓/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.367.4.6
원하지 않는 연명치료가 시행돼 임종시 인간으로서 품위와 존엄성이 손상되지 않고, 가족들의 의료비 부담도 줄일 수 있다.

원하지	원/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
연명치료가	연명/NNG+치료/NNG+가/JKS
시행돼	시행/NNG+되/XSV+어/EC
임종시	임종/NNG+시/NNB
인간으로서	인간/NNG+으로서/JKB
품위와	품위/NNG+와/JC
존엄성이	존엄/NNG+성/XSN+이/JKS
손상되지	손상/NNG+되/XSV+지/EC
않고,	않/VX+고/EC+,/SP
가족들의	가족/NNG+들/XSN+의/JKG
의료비	의료비/NNG
부담도	부담/NNG+도/JX
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.367.5.1
12일 오후 4시 서울대병원 내 어린이병원 임상 제2강의실에서는 '한국인의 웰다잉 가이드라인 공표식 및 유언장 서명식'이 열린다.

12일	12/SN+일/NNB
오후	오후/NNG
4시	4/SN+시/NNB
서울대병원	서울대병원/NNP
내	내/NNB
어린이병원	어린이/NNG+병원/NNG
임상	임상/NNG
제2강의실에서는	제/XPN+2/SN+강의실/NNG+에서/JKB+는/JX
'한국인의	'/SS+한국인/NNG+의/JKG
웰다잉	웰다잉/NNG
가이드라인	가이드라인/NNG
공표식	공표식/NNG
및	및/MAG
유언장	유언장/NNG
서명식'이	서명식/NNG+'/SS+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.367.5.2
(02)395-0781

(02)395-0781	(/SS+02/SN+)/SS+395/SN+-/SO+0781/SN


