# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.60
metadata : {}


# id : NWRW1800000040.60.1.1
‘다른부처 같은사업’ 세출 구조조정 ‘미흡’

‘다른부처	‘/SS+다른/MMD+부처/NNG
같은사업’	같/VA+은/ETM+사업/NNG+’/SS
세출	세출/NNG
구조조정	구조/NNG+조정/NNG
‘미흡’	‘/SS+미흡/NNG+’/SS


# id : NWRW1800000040.60.2.1
국회 예산처 2014 예산안 검토

국회	국회/NNG
예산처	예산처/NNG
2014	2014/SN
예산안	예산안/NNG
검토	검토/NNG


# id : NWRW1800000040.60.3.1
유사 사업 36건에 8830억 편성

유사	유사/NNG
사업	사업/NNG
36건에	36/SN+건/NNB+에/JKB
8830억	8830/SN+억/NR
편성	편성/NNG


# id : NWRW1800000040.60.4.1
주택바우처는 법 마련전에 배정

주택바우처는	주택/NNG+바우처/NNG+는/JX
법	법/NNG
마련전에	마련/NNG+전/NNG+에/JKB
배정	배정/NNG


# id : NWRW1800000040.60.5.1
“집행가능성 점검해 조정 필요”

“집행가능성	“/SS+집행/NNG+가능/NNG+성/XSN
점검해	점검/NNG+하/XSV+아/EC
조정	조정/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000040.60.6.1
박근혜 대통령의 복지공약 실행을 위해 정부는 강력한 세출 구조조정을 천명한 바 있다.

박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
복지공약	복지/NNG+공약/NNG
실행을	실행/NNG+을/JKO
위해	위하/VV+아/EC
정부는	정부/NNG+는/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
세출	세출/NNG
구조조정을	구조/NNG+조정/NNG+을/JKO
천명한	천명/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.60.6.2
지난 5월 발표한 공약가계부에서는 84조1000억원에 이르는 강력한 세출 구조조정을 통해 증세 부담을 덜면서도 공약을 실현하는 ‘두마리 토끼’를 잡겠다는 계획을 밝혔다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
공약가계부에서는	공약/NNG+가계부/NNG+에서/JKB+는/JX
84조1000억원에	84/SN+조/NR+1000/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
세출	세출/NNG
구조조정을	구조/NNG+조정/NNG+을/JKO
통해	통하/VV+아/EC
증세	증세/NNG
부담을	부담/NNG+을/JKO
덜면서도	덜/VV+면서/EC+도/JX
공약을	공약/NNG+을/JKO
실현하는	실현/NNG+하/XSV+는/ETM
‘두마리	‘/SS+두/MMN+마리/NNB
토끼’를	토끼/NNG+’/SS+를/JKO
잡겠다는	잡/VV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.60.6.3
그러나 2014년 예산안을 통해 살펴 본 세출 구조조정 성적표는 ‘미흡’인 것으로 나타났다.

그러나	그러나/MAJ
2014년	2014/SN+년/NNB
예산안을	예산안/NNG+을/JKO
통해	통하/VV+아/EC
살펴	살피/VV+어/EC
본	보/VX+ㄴ/ETM
세출	세출/NNG
구조조정	구조/NNG+조정/NNG
성적표는	성적표/NNG+는/JX
‘미흡’인	‘/SS+미흡/NNG+’/SS+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.60.7.1
국회 예산정책처가 최근 발간한 ‘2014 예산안 총괄분석’은 필요성이 떨어지는 신규 사업, 유사·중복 사업, 집행 부진 사업 등에 여전히 예산이 과도하게 배정되고 있다고 지적했다.

국회	국회/NNG
예산정책처가	예산/NNG+정책처/NNG+가/JKS
최근	최근/NNG
발간한	발간/NNG+하/XSV+ㄴ/ETM
‘2014	‘/SS+2014/SN
예산안	예산안/NNG
총괄분석’은	총괄/NNG+분석/NNG+’/SS+은/JX
필요성이	필요/NNG+성/XSN+이/JKS
떨어지는	떨어지/VV+는/ETM
신규	신규/NNG
사업,	사업/NNG+,/SP
유사·중복	유사/NNG+·/SP+중복/NNG
집행	집행/NNG
부진	부진/NNG
사업	사업/NNG
등에	등/NNB+에/JKB
여전히	여전히/MAG
예산이	예산/NNG+이/JKS
과도하게	과도/NNG+하/XSA+게/EC
배정되고	배정/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.60.7.2
먼저 2014년 새로 예산이 배정된 348개 사업에는 모두 2조4076억원이 배정됐는데, 이들 가운데 상당수는 성과 달성이 불확실하거나, 기존 사업과 유사한 것으로 드러났다.

먼저	먼저/MAG
2014년	2014/SN+년/NNB
새로	새로/MAG
예산이	예산/NNG+이/JKS
배정된	배정/NNG+되/XSV+ㄴ/ETM
348개	348/SN+개/NNB
사업에는	사업/NNG+에/JKB+는/JX
모두	모두/MAG
2조4076억원이	2/SN+조/NR+4076/SN+억/NR+원/NNB+이/JKS
배정됐는데,	배정/NNG+되/XSV+었/EP+는데/EC+,/SP
이들	이/NP+들/XSN
가운데	가운데/NNG
상당수는	상당수/NNG+는/JX
성과	성과/NNG
달성이	달성/NNG+이/JKS
불확실하거나,	불확실/NNG+하/XSA+거나/EC+,/SP
기존	기존/NNG
사업과	사업/NNG+과/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.60.8.1
분석 보고서는 특히 신규사업 가운데 사업 추진 필요성을 점검해야 하는 사업으로 문화체육관광부의 ‘크루즈관광산업 활성화’(18억원), 방송통신위원회의 ‘공익광고 활성화 지원’(20억원) 등 4개 사업을 지적했다.

분석	분석/NNG
보고서는	보고서/NNG+는/JX
특히	특히/MAG
신규사업	신규/NNG+사업/NNG
가운데	가운데/NNG
사업	사업/NNG
추진	추진/NNG
필요성을	필요/NNG+성/XSN+을/JKO
점검해야	점검/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
사업으로	사업/NNG+으로/JKB
문화체육관광부의	문화/NNG+체육/NNG+관광부/NNG+의/JKG
‘크루즈관광산업	‘/SS+크루즈/NNG+관광/NNG+산업/NNG
활성화’(18억원),	활성/NNG+화/XSN+’/SS+(/SS+18/SN+억/NR+원/NNB+)/SS+,/SP
방송통신위원회의	방송/NNG+통신/NNG+위원회/NNG+의/JKG
‘공익광고	‘/SS+공익/NNG+광고/NNG
활성화	활성/NNG+화/XSN
지원’(20억원)	지원/NNG+’/SS+(/SS+20/SN+억/NR+원/NNB+)/SS
등	등/NNB
4개	4/SN+개/NNB
사업을	사업/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.60.8.2
