# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.210
metadata : {}


# id : NWRW1800000052.210.1.1
“3·4등급도 피해자로 인정해야”

“3·4등급도	“/SS+3/SN+·/SP+4/SN+등급/NNG+도/JX
피해자로	피해자/NNG+로/JKB
인정해야”	인정/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000052.210.2.1
[한겨레] 47명중 34명, 살균제 쓴뒤 질환

[한겨레]	[/SS+한겨레/NNP+]/SS
47명중	47/SN+명/NNB+중/NNB
34명,	34/SN+명/NNB+,/SP
살균제	살균제/NNG
쓴뒤	쓰/VV+ㄴ/ETM+뒤/NNG
질환	질환/NNG


# id : NWRW1800000052.210.3.1
정부는 “3등급만 연 1회 검사”

정부는	정부/NNG+는/JX
“3등급만	“/SS+3/SN+등급/NNG+만/JX
연	연/NNG
1회	1/SN+회/NNB
검사”	검사/NNG+”/SS


# id : NWRW1800000052.210.4.1
“피해자로라도 인정받았으면 좋겠어요.”

“피해자로라도	“/SS+피해자/NNG+로/JKB+라도/JX
인정받았으면	인정/NNG+받/XSV+았/EP+으면/EC
좋겠어요.”	좋/VA+겠/EP+어요/EF+./SF+”/SS


# id : NWRW1800000052.210.5.1
가습기 살균제 ‘3·4등급 피해자 모임’ 이은영(39) 대표는 2일 <한겨레>와의 통화에서 “피해자로 인정받지 못해 지난 5년간 억울함만 커졌다.

가습기	가습기/NNG
살균제	살균제/NNG
‘3·4등급	‘/SS+3/SN+·/SP+4/SN+등급/NNG
피해자	피해자/NNG
모임’	모임/NNG+’/SS
이은영(39)	이은영/NNP+(/SS+39/SN+)/SS
대표는	대표/NNG+는/JX
2일	2/SN+일/NNB
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“피해자로	“/SS+피해자/NNG+로/JKB
인정받지	인정/NNG+받/XSV+지/EC
못해	못하/VX+아/EC
지난	지나/VV+ㄴ/ETM
5년간	5/SN+년/NNB+간/XSN
억울함만	억울/NNG+하/XSA+ㅁ/ETN+만/JX
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.210.5.2
‘사회도 우리를 배제하는구나’ 하는 생각을 수없이 했다”고 말했다.

‘사회도	‘/SS+사회/NNG+도/JX
우리를	우리/NP+를/JKO
배제하는구나’	배제/NNG+하/XSV+는구나/EF+’/SS
하는	하/VV+는/ETM
생각을	생각/NNG+을/JKO
수없이	수없이/MAG
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.210.5.3
이들은 현재의 피해자 판정 기준을 질환별로 세분화해 실질적인 의료지원 대책이 이뤄져야 한다고 정부에 요구하고 있다.

이들은	이/NP+들/XSN+은/JX
현재의	현재/NNG+의/JKG
피해자	피해자/NNG
판정	판정/NNG
기준을	기준/NNG+을/JKO
질환별로	질환/NNG+별/XSN+로/JKB
세분화해	세분/NNG+화/XSN+하/XSV+아/EC
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
의료지원	의료/NNG+지원/NNG
대책이	대책/NNG+이/JKS
이뤄져야	이뤄지/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
정부에	정부/NNG+에/JKB
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.210.6.1
정부는 1등급(관련성 확실)과 2등급(관련성 높음)에 견줘 폐섬유화 질환이 없다는 이유로 가습기 살균제 피해자를 3등급(관련성 낮음), 4등급(관련성 거의 없음)으로 분류하고 있다.

정부는	정부/NNG+는/JX
1등급(관련성	1/SN+등급/NNG+(/SS+관련/NNG+성/XSN
확실)과	확실/XR+)/SS+과/JC
2등급(관련성	2/SN+등급/NNG+(/SS+관련/NNG+성/XSN
높음)에	높/VA+음/ETN+)/SS+에/JKB
견줘	견주/VV+어/EC
폐섬유화	폐/NNG+섬유/NNG+화/XSN
질환이	질환/NNG+이/JKS
없다는	없/VA+다는/ETM
이유로	이유/NNG+로/JKB
가습기	가습기/NNG
살균제	살균제/NNG
피해자를	피해자/NNG+를/JKO
3등급(관련성	3/SN+등급/NNG+(/SS+관련/NNG+성/XSN
