# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.148
metadata : {}


# id : NWRW1800000046.148.1.1
野의원 비서, 세월호 시위 현장서 경찰 버스에 남자 성기 그림 그려

野의원	野/SH+의원/NNG
비서,	비서/NNG+,/SP
세월호	세월호/NNP
시위	시위/NNG
현장서	현장/NNG+서/JKB
경찰	경찰/NNG
버스에	버스/NNG+에/JKB
남자	남자/NNG
성기	성기/NNG
그림	그림/NNG
그려	그리/VV+어/EF


# id : NWRW1800000046.148.2.1
트위터에 직접 올렸다가 논란 커지자 비공개로 바꿔

트위터에	트위터/NNP+에/JKB
직접	직접/MAG
올렸다가	올리/VV+었/EP+다가/EC
논란	논란/NNG
커지자	커지/VV+자/EC
비공개로	비/XPN+공개/NNG+로/JKB
바꿔	바꾸/VV+어/EF


# id : NWRW1800000046.148.3.1
지난 18일 서울 광화문 일대에서 벌어진 세월호 관련 시위에서 현직 야당 의원의 비서가 경찰 버스에 남자 성기 그림을 그려 논란이 일고 있다.

지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
서울	서울/NNP
광화문	광화문/NNP
일대에서	일대/NNG+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
세월호	세월호/NNP
관련	관련/NNG
시위에서	시위/NNG+에서/JKB
현직	현직/NNG
야당	야당/NNG
의원의	의원/NNG+의/JKG
비서가	비서/NNG+가/JKS
경찰	경찰/NNG
버스에	버스/NNG+에/JKB
남자	남자/NNG
성기	성기/NNG
그림을	그림/NNG+을/JKO
그려	그리/VV+어/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.148.4.1
21일 수사 당국에 따르면 정의당 심상정 원내대표의 공보비서(9급) 권모씨는 18일 오후 세월호 시위 현장에서 서울지방경찰청 소속 기동대 버스에 펜으로 남자 성기를 그림으로 그리는 낙서를 했다.

21일	21/SN+일/NNB
수사	수사/NNG
당국에	당국/NNG+에/JKB
따르면	따르/VV+면/EC
정의당	정의당/NNP
심상정	심상정/NNP
원내대표의	원내/NNG+대표/NNG+의/JKG
공보비서(9급)	공보/NNG+비서/NNG+(/SS+9/SN+급/NNG+)/SS
권모씨는	권/NNP+모/NP+씨/NNB+는/JX
18일	18/SN+일/NNB
오후	오후/NNG
세월호	세월호/NNP
시위	시위/NNG
현장에서	현장/NNG+에서/JKB
서울지방경찰청	서울지방경찰청/NNP
소속	소속/NNG
기동대	기동대/NNG
버스에	버스/NNG+에/JKB
펜으로	펜/NNG+으로/JKB
남자	남자/NNG
성기를	성기/NNG+를/JKO
그림으로	그림/NNG+으로/JKB
그리는	그리/VV+는/ETM
낙서를	낙서/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.148.4.2
이 사실은 권씨가 자신의 트위터에 낙서 사진을 찍어 올리며 널리 알려졌다.

이	이/MMD
사실은	사실/NNG+은/JX
권씨가	권/NNP+씨/NNB+가/JKS
자신의	자신/NNG+의/JKG
트위터에	트위터/NNP+에/JKB
낙서	낙서/NNG
사진을	사진/NNG+을/JKO
찍어	찍/VV+어/EC
올리며	올리/VV+며/EC
널리	널리/MAG
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.148.4.3
이를 접한 사람들은 "세금으로 월급 받는 국회의원 보좌진이 세금으로 산 경찰 버스에 성기 낙서를 하는 게 말이 되느냐"며 비난했다.

이를	이/NP+를/JKO
접한	접하/VV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
"세금으로	"/SS+세금/NNG+으로/JKB
월급	월급/NNG
받는	받/VV+는/ETM
국회의원	국회/NNG+의원/NNG
보좌진이	보좌진/NNG+이/JKS
세금으로	세금/NNG+으로/JKB
산	사/VV+ㄴ/ETM
경찰	경찰/NNG
버스에	버스/NNG+에/JKB
성기	성기/NNG
낙서를	낙서/NNG+를/JKO
하는	하/VV+는/ETM
게	거/NNB+이/JKS
말이	말/NNG+이/JKC
되느냐"며	되/VV+느냐/EF+"/SS+며/EC
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.148.4.4
논란이 커지자 권씨는 자신의 트위터 계정의 글을 모두 비공개로 바꿨다.

논란이	논란/NNG+이/JKS
커지자	커지/VV+자/EC
권씨는	권/NNP+씨/NNB+는/JX
자신의	자신/NNG+의/JKG
트위터	트위터/NNP
계정의	계정/NNG+의/JKG
글을	글/NNG+을/JKO
모두	모두/MAG
비공개로	비/XPN+공개/NNG+로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.148.5.1
권씨는 본지 통화에서 해당 낙서를 자신이 했다고 인정했다.

권씨는	권/NNP+씨/NNB+는/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
해당	해당/NNG
낙서를	낙서/NNG+를/JKO
자신이	자신/NNG+이/JKS
했다고	하/VV+았/EP+다고/EC
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF

