# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.201
metadata : {}


# id : NWRW1800000041.201.1.1
韓-中 함께 되살린 광복군 정신

韓-中	韓/SH+-/SO+中/SH
함께	함께/MAG
되살린	되살리/VV+ㄴ/ETM
광복군	광복군/NNG
정신	정신/NNG


# id : NWRW1800000041.201.2.1
中 시안에 광복군 표석 제막 역사공조 강화… 日언론들 민감

中	中/SH
시안에	시안/NNP+에/JKB
광복군	광복군/NNG
표석	표석/NNG
제막	제막/NNG
역사공조	역사/NNG+공조/NNG
강화…	강화/NNG+…/SE
日언론들	日/SH+언론/NNG+들/XSN
민감	민감/NNG


# id : NWRW1800000041.201.3.1
“그때는 살아서 조국에 갈 수 있을까 생각했는데, 여기서 표석을 보게 되다니….”

“그때는	“/SS+그때/NNG+는/JX
살아서	살/VV+아서/EC
조국에	조국/NNG+에/JKB
갈	가/VV+ㄹ/ETM
수	수/NNB
있을까	있/VA+을까/EF
생각했는데,	생각/NNG+하/XSV+았/EP+는데/EC+,/SP
여기서	여기/NP+서/JKB
표석을	표석/NNG+을/JKO
보게	보/VV+게/EC
되다니….”	되/VV+다니/EF+…/SE+./SF+”/SS


# id : NWRW1800000041.201.4.1
29일 오전 중국 산시(陝西) 성 시안(西安) 시 두취(杜曲) 진에서 열린 ‘한국광복군 제2지대(支隊) 주둔지 표석 제막식’.

29일	29/SN+일/NNB
오전	오전/NNG
중국	중국/NNP
산시(陝西)	산시/NNP+(/SS+陝西/SH+)/SS
성	성/NNG
시안(西安)	시안/NNP+(/SS+西安/SH+)/SS
시	시/NNG
두취(杜曲)	두취/NNP+(/SS+杜曲/SH+)/SS
진에서	진/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘한국광복군	‘/SS+한국광복군/NNG
제2지대(支隊)	제/XPN+2/SN+지대/NNG+(/SS+支隊/SH+)/SS
주둔지	주둔지/NNG
표석	표석/NNG
제막식’.	제막식/NNG+’/SS+./SF


# id : NWRW1800000041.201.4.2
70여 년 전 바로 이 자리에서 청산리전투의 영웅 이범석 지대장의 부관으로 한국 침투훈련을 받았던 김유길 광복회 부회장(95)은 당시를 회상하며 감회에 젖었다.

70여	70/SN+여/XSN
년	년/NNB
전	전/NNG
바로	바로/MAG
이	이/MMD
자리에서	자리/NNG+에서/JKB
청산리전투의	청산리/NNP+전투/NNG+의/JKG
영웅	영웅/NNG
이범석	이범석/NNP
지대장의	지대장/NNG+의/JKG
부관으로	부관/NNG+으로/JKB
한국	한국/NNP
침투훈련을	침투/NNG+훈련/NNG+을/JKO
받았던	받/VV+았/EP+던/ETM
김유길	김유길/NNP
광복회	광복회/NNG
부회장(95)은	부회장/NNG+(/SS+95/SN+)/SS+은/JX
당시를	당시/NNG+를/JKO
회상하며	회상/NNG+하/XSV+며/EC
감회에	감회/NNG+에/JKB
젖었다.	젖/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.201.5.1
산시 성은 광복군 2지대가 있었던 옛 주둔지 터에 약 2000m²의 공원을 조성하고 그 안에 표석을 세워 이날 공개했다.

산시	산시/NNP
성은	성/NNG+은/JX
광복군	광복군/NNG
2지대가	2/SN+지대/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
옛	옛/MMA
주둔지	주둔지/NNG
터에	터/NNG+에/JKB
약	약/MMA
2000m²의	2000/SN+m²/SW+의/JKG
공원을	공원/NNG+을/JKO
조성하고	조성/NNG+하/XSV+고/EC
그	그/MMD
안에	안/NNG+에/JKB
표석을	표석/NNG+을/JKO
세워	세우/VV+어/EC
이날	이날/NNG
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.201.5.2
높이 1.8m, 폭 1.1m인 표석에는 1942년 9월 광복군 제2지대가 이곳으로 본부를 옮겨와 군사훈련과 대일선전 임무를 담당했다는 연혁과 함께 한중이 함께 항일 전쟁에 참여한 바를 기리기 위해 기념비를 세운다는 내용이 한국어와 중국어로 적혀 있다.

높이	높이/NNG
1.8m,	1/SN+./SP+8/SN+m/SW+,/SP
폭	폭/NNG
1.1m인	1/SN+./SP+1/SN+m/SW+이/VCP+ㄴ/ETM
표석에는	표석/NNG+에/JKB+는/JX
1942년	1942/SN+년/NNB
9월	9/SN+월/NNB
광복군	광복군/NNG
제2지대가	제/XPN+2/SN+지대/NNG+가/JKS
