# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.86
metadata : {}


# id : NWRW1800000022.86.1.1
[사이언스 인 뉴스] "흠집이여 안녕" 햇볕 받으면 복구되는 코팅 신소재 나와;게 껍데기 속 '키토산' 이용

[사이언스	[/SS+사이언스/NNG
인	인/NNG
뉴스]	뉴스/NNG+]/SS
"흠집이여	"/SS+흠집/NNG+이여/JKV
안녕"	안녕/IC+"/SS
햇볕	햇볕/NNG
받으면	받/VV+으면/EC
복구되는	복구/NNG+되/XSV+는/ETM
코팅	코팅/NNG
신소재	신/XPN+소재/NNG
나와;게	나오/VV+아/EF+;/SW+게/NNG
껍데기	껍데기/NNG
속	속/NNG
'키토산'	'/SS+키토산/NNG+'/SS
이용	이용/NNG


# id : NWRW1800000022.86.2.1
새로 산 차가 다른 차에 긁혀 있는 것을 발견하면 마음마저 긁힌 느낌이 든다.

새로	새로/MAG
산	사/VV+ㄴ/ETM
차가	차/NNG+가/JKS
다른	다른/MMD
차에	차/NNG+에/JKB
긁혀	긁히/VV+어/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
발견하면	발견/NNG+하/XSV+면/EC
마음마저	마음/NNG+마저/JX
긁힌	긁히/VV+ㄴ/ETM
느낌이	느낌/NNG+이/JKS
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.86.2.2
이제 그런 아픔을 겪지 않아도 될 것 같다.

이제	이제/MAG
그런	그런/MMD
아픔을	아픔/NNG+을/JKO
겪지	겪/VV+지/EC
않아도	않/VX+아도/EC
될	되/VV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000022.86.2.3
햇빛만 비추면 30분 만에 흠집이 완전히 복구되는 코팅 재료가 개발됐기 때문이다.

햇빛만	햇빛/NNG+만/JX
비추면	비추/VV+면/EC
30분	30/SN+분/NNB
만에	만/NNB+에/JKB
흠집이	흠집/NNG+이/JKS
완전히	완전히/MAG
복구되는	복구/NNG+되/XSV+는/ETM
코팅	코팅/NNG
재료가	재료/NNG+가/JKS
개발됐기	개발/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.86.3.1
미국 서던 미시시피대의 마렉 어번(Urban) 교수 연구진은 지난 13일 과학전문지 '사이언스(Science)'에 발표한 논문에서 "햇빛 속에 포함된 자외선에 노출되면 분자들끼리 새로운 결합을 이뤄 흠집이 저절로 사라지는 새로운 코팅 재료를 개발했다"고 밝혔다.

미국	미국/NNP
서던	서던/NNP
미시시피대의	미시시피대/NNP+의/JKG
마렉	마렉/NNP
어번(Urban)	어번/NNP+(/SS+Urban/SL+)/SS
교수	교수/NNG
연구진은	연구진/NNG+은/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
과학전문지	과학/NNG+전문지/NNG
'사이언스(Science)'에	'/SS+사이언스/NNP+(/SS+Science/SL+)/SS+'/SS+에/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
논문에서	논문/NNG+에서/JKB
"햇빛	"/SS+햇빛/NNG
속에	속/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
자외선에	자외선/NNG+에/JKB
노출되면	노출/NNG+되/XSV+면/EC
분자들끼리	분자/NNG+들/XSN+끼리/XSN
새로운	새롭/VA+ㄴ/ETM
결합을	결합/NNG+을/JKO
이뤄	이루/VV+어/EC
흠집이	흠집/NNG+이/JKS
저절로	저절로/MAG
사라지는	사라지/VV+는/ETM
코팅	코팅/NNG
재료를	재료/NNG+를/JKO
개발했다"고	개발/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.86.4.1
흠집을 스스로 복구하는 이른바 '자기치료(self-healing)'의 비밀은 게 껍데기에 들어있는 탄수화물인 키토산(chitosan)에 있다.

흠집을	흠집/NNG+을/JKO
스스로	스스로/MAG
복구하는	복구/NNG+하/XSV+는/ETM
이른바	이른바/MAG
'자기치료(self-healing)'의	'/SS+자기/NNG+치료/NNG+(/SS+self/SL+-/SO+healing/SL+)/SS+'/SS+의/JKG
비밀은	비밀/NNG+은/JX
게	게/NNG
껍데기에	껍데기/NNG+에/JKB
들어있는	들/VV+어/EC+있/VX+는/ETM
탄수화물인	탄수화물/NNG+이/VCP+ㄴ/ETM
키토산(chitosan)에	키토산/NNG+(/SS+chitosan/SL+)/SS+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.86.4.2
연구진은 폴리우레탄 코팅제에 옥세탄(oxetane)과 키토산 결합체를 첨가했다.

연구진은	연구진/NNG+은/JX
폴리우레탄	폴리우레탄/NNG
코팅제에	코팅제/NNG+에/JKB
옥세탄(oxetane)과	옥세탄/NNG+(/SS+oxetane/SL+)/SS+과/JC
키토산	키토산/NNG
결합체를	결합체/NNG+를/JKO
첨가했다.	첨가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.86.4.3
옥세탄은 탄소 3개와 산소 1개가 결합된 고리 모양을 갖고 있다.

옥세탄은	옥세탄/NNG+은/JX
탄소	탄소/NNG
3개와	3/SN+개/NNB+와/JC
산소	산소/NNG
1개가	1/SN+개/NNB+가/JKS
결합된	결합/NNG+되/XSV+ㄴ/ETM
고리	고리/NNG
