# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.89
metadata : {}


# id : NWRW1800000030.89.1.1
탈북자에게 의학상금 전액 기부한 류인균 교수

탈북자에게	탈북자/NNG+에게/JKB
의학상금	의학/NNG+상금/NNG
전액	전액/NNG
기부한	기부/NNG+하/XSV+ㄴ/ETM
류인균	류인균/NNP
교수	교수/NNG


# id : NWRW1800000030.89.2.1
• "목숨 걸고 한국 왔는데 사람답게 살아야죠"

•	•/SW
"목숨	"/SS+목숨/NNG
걸고	걸/VV+고/EC
한국	한국/NNP
왔는데	오/VV+았/EP+는데/EC
사람답게	사람/NNG+답/XSA+게/EC
살아야죠"	살/VV+아야지/EF+요/JX+"/SS


# id : NWRW1800000030.89.3.1
12일 오전 서울 중구 남산동의 여명학교.

12일	12/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
중구	중구/NNP
남산동의	남산동/NNP+의/JKG
여명학교.	여명학교/NNP+./SF


# id : NWRW1800000030.89.3.2
서울대 의대 정신과 류인균(47) 교수가 외투 안주머니에서 봉투를 꺼내 우기섭(64) 교장에게 건넸다.

서울대	서울대/NNP
의대	의대/NNG
정신과	정신과/NNG
류인균(47)	류인균/NNP+(/SS+47/SN+)/SS
교수가	교수/NNG+가/JKS
외투	외투/NNG
안주머니에서	안주머니/NNG+에서/JKB
봉투를	봉투/NNG+를/JKO
꺼내	꺼내/VV+어/EC
우기섭(64)	우기섭/NNP+(/SS+64/SN+)/SS
교장에게	교장/NNG+에게/JKB
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.89.3.3
이곳은 탈북 청소년들이 다니는 대안학교다.

이곳은	이곳/NP+은/JX
탈북	탈북/NNG
청소년들이	청소년/NNG+들/XSN+이/JKS
다니는	다니/VV+는/ETM
대안학교다.	대안/NNG+학교/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.89.3.4
류 교수는 "학생들에게 전자사전을 하나씩 사주세요. 요긴할 겁니다"라고 말했다.

류	류/NNP
교수는	교수/NNG+는/JX
"학생들에게	"/SS+학생/NNG+들/XSN+에게/JKB
전자사전을	전자사전/NNG+을/JKO
하나씩	하나/NR+씩/XSN
사주세요.	사/VV+아/EC+주/VX+시/EP+어요/EF+./SF
요긴할	요긴하/VA+ㄹ/ETM
겁니다"라고	거/NNB+이/VCP+ㅂ니다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.89.3.5
우 교장은 "감사합니다. 우리 학생들에게 좋은 졸업선물이 되겠네요"라며 고개를 숙였다.

우	우/NNP
교장은	교장/NNG+은/JX
"감사합니다.	"/SS+감사/NNG+하/XSV+ㅂ니다/EF+./SF
우리	우리/NP
학생들에게	학생/NNG+들/XSN+에게/JKB
좋은	좋/VA+은/ETM
졸업선물이	졸업/NNG+선물/NNG+이/JKC
되겠네요"라며	되/VV+겠/EP+네요/EF+"/SS+이/VCP+라며/EC
고개를	고개/NNG+를/JKO
숙였다.	숙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.89.3.6
이날 류 교수가 전달한 돈은 지난달 서울의대 동창회에서 함춘의학상을 수상하며 받은 상금 1000만원이다.

이날	이날/NNG
류	류/NNP
교수가	교수/NNG+가/JKS
전달한	전달/NNG+하/XSV+ㄴ/ETM
돈은	돈/NNG+은/JX
지난달	지난달/NNG
서울의대	서울의대/NNP
동창회에서	동창회/NNG+에서/JKB
함춘의학상을	함춘/NNP+의학상/NNG+을/JKO
수상하며	수상/NNG+하/XSV+며/EC
받은	받/VV+은/ETM
상금	상금/NNG
1000만원이다.	1000/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.89.3.7
다음 달 1일 졸업하는 탈북학생 17명을 위해 기부했다.

다음	다음/NNG
달	달/NNG
1일	1/SN+일/NNB
졸업하는	졸업/NNG+하/XSV+는/ETM
탈북학생	탈북/NNG+학생/NNG
17명을	17/SN+명/NNB+을/JKO
위해	위하/VV+아/EC
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.89.4.1
류 교수는 1992년 서울의대에서 전문의 자격을 취득한 뒤 미국으로 가 하버드 의대에서 교수로 일했고, 1996년부터 서울의대 정신과 교수를 맡고 있다.

류	류/NNP
교수는	교수/NNG+는/JX
1992년	1992/SN+년/NNB
서울의대에서	서울의대/NNP+에서/JKB
전문의	전문의/NNG
자격을	자격/NNG+을/JKO
취득한	취득/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
미국으로	미국/NNP+으로/JKB
가	가/VV+아/EC
하버드	하버드/NNP
의대에서	의대/NNG+에서/JKB
교수로	교수/NNG+로/JKB
일했고,	일/NNG+하/XSV+았/EP+고/EC+,/SP
1996년부터	1996/SN+년/NNB+부터/JX
서울의대	서울의대/NNP
정신과	정신과/NNG
교수를	교수/NNG+를/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.89.4.2
2006년 미국정신건강연구연합의 중견연구자상과 2007년 미국국립보건원이 주는 국제저명과학자상 등을 받았다.

2006년	2006/SN+년/NNB
미국정신건강연구연합의	미국정신건강연구연합/NNP+의/JKG
중견연구자상과	중견/NNG+연구자/NNG+상/NNG+과/JC
2007년	2007/SN+년/NNB
미국국립보건원이	미국국립보건원/NNP+이/JKS
주는	주/VV+는/ETM
국제저명과학자상	국제/NNG+저명/NNG+과학자/NNG+상/NNG
등을	등/NNB+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.89.4.3
외상 후 스트레스 장애를 포함한 뇌영상 연구 분야의 국제적 권위자다.

외상	외상/NNG
후	후/NNG
스트레스	스트레스/NNG
장애를	장애/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
뇌영상	뇌/NNG+영상/NNG
연구	연구/NNG
분야의	분야/NNG+의/JKG
국제적	국제/NNG+적/XSN
권위자다.	권위자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.89.5.1
10년 전 류 교수는 베트남전(戰)이 끝난 뒤 미국으로 망명해온 베트남인들을 만나 외상 후 스트레스 장애를 연구했다.

10년	10/SN+년/NNB
전	전/NNG
류	류/NNP
교수는	교수/NNG+는/JX
베트남전(戰)이	베트남전/NNG+(/SS+戰/SH+)/SS+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
미국으로	미국/NNP+으로/JKB
망명해온	망명/NNG+하/XSV+아/EC+오/VV+ㄴ/ETM
베트남인들을	베트남인/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
외상	외상/NNG
후	후/NNG
스트레스	스트레스/NNG
장애를	장애/NNG+를/JKO
연구했다.	연구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.89.5.2
2003년에는 대구지하철 참사를 당한 사람들을 만나 같은 연구를 했다.

2003년에는	2003/SN+년/NNB+에/JKB+는/JX
대구지하철	대구지하철/NNP
참사를	참사/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
같은	같/VA+은/ETM
연구를	연구/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.89.5.3
그리고 세 번째 연구 대상으로 2008년부터 탈북 청소년들을 만나 왔다.

그리고	그리고/MAJ
세	세/MMN
번째	번/NNB+째/XSN
연구	연구/NNG
대상으로	대상/NNG+으로/JKB
2008년부터	2008/SN+년/NNB+부터/JX
탈북	탈북/NNG
청소년들을	청소년/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.89.5.4
그는 "애초 목적은 외상 후 스트레스 장애를 연구하기 위한 것이었는데, 자주 만나다 보니 탈북자들의 인권에 대한 깨달음이 생기고, 그래서 기부도 하게 됐다"고 말했다.

그는	그/NP+는/JX
"애초	"/SS+애초/NNG
목적은	목적/NNG+은/JX
외상	외상/NNG
후	후/NNG
스트레스	스트레스/NNG
장애를	장애/NNG+를/JKO
연구하기	연구/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이었는데,	것/NNB+이/VCP+었/EP+는데/EC+,/SP
자주	자주/MAG
만나다	만나/VV+다/EC
보니	보/VX+니/EC
탈북자들의	탈북자/NNG+들/XSN+의/JKG
인권에	인권/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
깨달음이	깨달음/NNG+이/JKS
생기고,	생기/VV+고/EC+,/SP
그래서	그래서/MAJ
기부도	기부/NNG+도/JX
하게	하/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.89.6.1
그는 2008년 만난 김모(당시 17세)군을 떠올렸다.

그는	그/NP+는/JX
2008년	2008/SN+년/NNB
만난	만나/VV+ㄴ/ETM
김모(당시	김/NNP+모/NP+(/SS+당시/NNG
17세)군을	17/SN+세/NNB+)/SS+군/NNB+을/JKO
떠올렸다.	떠올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.89.6.2
김군 어머니는 기근이 극심해 '고난의 행군'이라 불리던 1998년에 굶어 죽었다.

김군	김/NNP+군/NNB
어머니는	어머니/NNG+는/JX
기근이	기근/NNG+이/JKS
극심해	극심하/VA+아/EC
'고난의	'/SS+고난/NNG+의/JKG
행군'이라	행군/NNG+'/SS+이/VCP+라/EC
불리던	불리/VV+던/ETM
1998년에	1998/SN+년/NNB+에/JKB
굶어	굶/VV+어/EC
죽었다.	죽/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.89.6.3
동생도 이듬해 굶어 죽었다.

동생도	동생/NNG+도/JX
이듬해	이듬해/NNG
굶어	굶/VV+어/EC
죽었다.	죽/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.89.6.4
다시 2년 뒤, 탄광에서 일하던 아버지 역시 굶어 죽었다.

다시	다시/MAG
2년	2/SN+년/NNB
뒤,	뒤/NNG+,/SP
탄광에서	탄광/NNG+에서/JKB
일하던	일/NNG+하/XSV+던/ETM
아버지	아버지/NNG
역시	역시/MAG
굶어	굶/VV+어/EC
죽었다.	죽/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.89.6.5
김군은 2004년 중국으로 탈출했지만 이듬해 붙잡혀 북한에 끌려가 심하게 고문당했다.

김군은	김/NNP+군/NNB+은/JX
2004년	2004/SN+년/NNB
중국으로	중국/NNP+으로/JKB
탈출했지만	탈출/NNG+하/XSV+았/EP+지만/EC
이듬해	이듬해/NNG
붙잡혀	붙잡히/VV+어/EC
북한에	북한/NNP+에/JKB
끌려가	끌려가/VV+아/EC
심하게	심하/VA+게/EC
고문당했다.	고문/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.89.6.6
하지만 다시 탈출해 2008년 한국에 왔다.

하지만	하지만/MAJ
다시	다시/MAG
탈출해	탈출/NNG+하/XSV+아/EC
2008년	2008/SN+년/NNB
한국에	한국/NNP+에/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.89.6.7
류 교수는 "나는 '의사 특유의 이성적 사고'에 익숙한 편인데 탈북 청소년들의 눈물겨운 이야기를 듣고 '인권'을 다시 생각하게 됐다"고 했다.

류	류/NNP
교수는	교수/NNG+는/JX
"나는	"/SS+나/NP+는/JX
'의사	'/SS+의사/NNG
특유의	특유/NNG+의/JKG
이성적	이성/NNG+적/XSN
사고'에	사고/NNG+'/SS+에/JKB
익숙한	익숙하/VA+ㄴ/ETM
편인데	편/NNB+이/VCP+ㄴ데/EC
탈북	탈북/NNG
청소년들의	청소년/NNG+들/XSN+의/JKG
눈물겨운	눈물겹/VA+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
듣고	듣/VV+고/EC
'인권'을	'/SS+인권/NNG+'/SS+을/JKO
다시	다시/MAG
생각하게	생각/NNG+하/XSV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.89.7.1
류 교수는 "목숨 걸고 탈출해 한국에 왔는데 여기서마저 사람답게 살기 힘들다면 말이 안 된다"며 "탈북 청소년 중에서도 특히 일반학교에 적응하지 못해 여기(대안학교)까지 온 학생들을 돕고 싶다"고 했다.

류	류/NNP
교수는	교수/NNG+는/JX
"목숨	"/SS+목숨/NNG
걸고	걸/VV+고/EC
탈출해	탈출/NNG+하/XSV+아/EC
한국에	한국/NNP+에/JKB
왔는데	오/VV+았/EP+는데/EC
여기서마저	여기/NP+서/JKB+마저/JX
사람답게	사람/NNG+답/XSA+게/EC
살기	살/VV+기/ETN
힘들다면	힘들/VA+다면/EC
말이	말/NNG+이/JKC
안	안/MAG
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"탈북	"/SS+탈북/NNG
청소년	청소년/NNG
중에서도	중/NNB+에서/JKB+도/JX
특히	특히/MAG
일반학교에	일반/NNG+학교/NNG+에/JKB
적응하지	적응/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
여기(대안학교)까지	여기/NP+(/SS+대안/NNG+학교/NNG+)/SS+까지/JX
온	오/VV+ㄴ/ETM
학생들을	학생/NNG+들/XSN+을/JKO
돕고	돕/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.89.7.2
미국을 적대시하는 북한에서 영어를 접하지 못한 그들이 영어 공부에 애먹는 것을 보고 이날 전자사전 구입비를 낸 것이다.

미국을	미국/NNP+을/JKO
적대시하는	적대/NNG+시/XSN+하/XSV+는/ETM
북한에서	북한/NNP+에서/JKB
영어를	영어/NNP+를/JKO
접하지	접하/VV+지/EC
못한	못하/VX+ㄴ/ETM
그들이	그/NP+들/XSN+이/JKS
영어	영어/NNP
공부에	공부/NNG+에/JKB
애먹는	애먹/VV+는/ETM
것을	것/NNB+을/JKO
보고	보/VV+고/EC
이날	이날/NNG
전자사전	전자사전/NNG
구입비를	구입비/NNG+를/JKO
낸	내/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


