# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.96
metadata : {}


# id : NWRW1800000025.96.1.1
[인문사회]현대 아랍세계의 형성과정 담은 개론서

[인문사회]현대	[/SS+인문/NNG+사회/NNG+]/SS+현대/NNG
아랍세계의	아랍/NNP+세계/NNG+의/JKG
형성과정	형성/NNG+과정/NNG
담은	담/VV+은/ETM
개론서	개론서/NNG


# id : NWRW1800000025.96.2.1
◇ 아랍인의 역사·앨버트 후라니 지음·김정명, 홍미정 옮김·896쪽·3만8000원·심산

◇	◇/SW
아랍인의	아랍인/NNG+의/JKG
역사·앨버트	역사/NNG+·/SP+앨버트/NNP
후라니	후이라니/NNP
지음·김정명,	짓/VV+음/ETN+·/SP+김정명/NNP+,/SP
홍미정	홍미정/NNP
옮김·896쪽·3만8000원·심산	옮기/VV+ㅁ/ETN+·/SP+896/SN+쪽/NNG+·/SP+3/SN+만/NR+8000/SN+원/NNB+·/SP+심산/NNP


# id : NWRW1800000025.96.3.1
이슬람의 성립 시기인 7세기부터 2000년대 초까지의 역사를 담아낸 책.

이슬람의	이슬람/NNG+의/JKG
성립	성립/NNG
시기인	시기/NNG+이/VCP+ㄴ/ETM
7세기부터	7/SN+세기/NNG+부터/JX
2000년대	2000/SN+년대/NNB
초까지의	초/NNB+까지/JX+의/JKG
역사를	역사/NNG+를/JKO
담아낸	담아내/VV+ㄴ/ETM
책.	책/NNG+./SF


# id : NWRW1800000025.96.3.2
이슬람의 경제, 사회, 사상, 문화의 변천사까지 오롯이 담겨 중동사 개론서로 손색이 없다.

이슬람의	이슬람/NNG+의/JKG
경제,	경제/NNG+,/SP
사회,	사회/NNG+,/SP
사상,	사상/NNG+,/SP
문화의	문화/NNG+의/JKG
변천사까지	변천사/NNG+까지/JX
오롯이	오롯이/MAG
담겨	담기/VV+어/EC
중동사	중동사/NNG
개론서로	개론서/NNG+로/JKB
손색이	손색/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.96.3.3
저자는 레바논계 영국인으로 옥스퍼드대 중동센터장을 지냈다.

저자는	저자/NNG+는/JX
레바논계	레바논/NNP+계/XSN
영국인으로	영국인/NNG+으로/JKB
옥스퍼드대	옥스퍼드대/NNP
중동센터장을	중동/NNP+센터장/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.96.4.1
저자는 아랍인들이 강력한 결속력을 바탕으로 그리스 문명과 페르시아 문명을 대체하며 아라비아 반도에서 스페인에 이르는 거대한 문명을 건설했다고 설명한다.

저자는	저자/NNG+는/JX
아랍인들이	아랍인/NNG+들/XSN+이/JKS
강력한	강력/NNG+하/XSA+ㄴ/ETM
결속력을	결속력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
그리스	그리스/NNP
문명과	문명/NNG+과/JC
페르시아	페르시아/NNP
문명을	문명/NNG+을/JKO
대체하며	대체/NNG+하/XSV+며/EC
아라비아	아라비아/NNP
반도에서	반도/NNG+에서/JKB
스페인에	스페인/NNP+에/JKB
이르는	이르/VV+는/ETM
거대한	거대/NNG+하/XSA+ㄴ/ETM
건설했다고	건설/NNG+하/XSV+았/EP+다고/EC
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.96.4.2
이 과정에서 아랍인들은 그리스 철학, 유대교 및 기독교 사상과 상호작용하며 문명을 살찌웠다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
아랍인들은	아랍인/NNG+들/XSN+은/JX
그리스	그리스/NNP
철학,	철학/NNG+,/SP
유대교	유대교/NNG
및	및/MAG
기독교	기독교/NNG
사상과	사상/NNG+과/JKB
상호작용하며	상호/NNG+작용/NNG+하/XSV+며/EC
문명을	문명/NNG+을/JKO
살찌웠다.	살찌우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.96.4.3
저자는 “특히 오스만 제국은 다종교, 다언어 국가로서 기독교와 유대교 공동체에 일정한 지위를 부여했을 만큼 개방적이었다”고 말한다.

저자는	저자/NNG+는/JX
“특히	“/SS+특히/MAG
오스만	오스만/NNP
제국은	제국/NNG+은/JX
다종교,	다종교/NNG+,/SP
다언어	다언어/NNG
국가로서	국가/NNG+로서/JKB
기독교와	기독교/NNG+와/JC
유대교	유대교/NNG
공동체에	공동체/NNG+에/JKB
일정한	일정/NNG+하/XSA+ㄴ/ETM
지위를	지위/NNG+를/JKO
부여했을	부여/NNG+하/XSV+았/EP+을/ETM
만큼	만큼/NNB
개방적이었다”고	개방/NNG+적/XSN+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.96.5.1
제2차 세계대전 뒤 아랍을 지배한 것은 민족주의였다.

제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
뒤	뒤/NNG
아랍을	아랍/NNP+을/JKO
지배한	지배/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
민족주의였다.	민족주의/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.96.5.2
민족주의는 아랍 국가들의 통합과 강대국들로부터의 독립 등 사회개혁을 열망했다.

민족주의는	민족주의/NNG+는/JX
아랍	아랍/NNP
국가들의	국가/NNG+들/XSN+의/JKG
통합과	통합/NNG+과/JC
강대국들로부터의	강대국/NNG+들/XSN+로부터/JKB+의/JKG
독립	독립/NNG
등	등/NNB
사회개혁을	사회/NNG+개혁/NNG+을/JKO
열망했다.	열망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.96.5.3
그러나 1967년 이스라엘과의 전쟁에서 이집트 요르단 시리아가 패배하면서 민족주의는 시련을 맞았다.

그러나	그러나/MAJ
1967년	1967/SN+년/NNB
이스라엘과의	이스라엘/NNP+과/JKB+의/JKG
전쟁에서	전쟁/NNG+에서/JKB
이집트	이집트/NNP
요르단	요르단/NNP
시리아가	시리아/NNP+가/JKS
패배하면서	패배/NNG+하/XSV+면서/EC
민족주의는	민족주의/NNG+는/JX
시련을	시련/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.96.5.4
1980년대에는 민족주의에 이슬람의 더 공고해진 종교 이념이 더해져 아랍인들을 자극했다.

1980년대에는	1980/SN+년대/NNB+에/JKB+는/JX
민족주의에	민족주의/NNG+에/JKB
이슬람의	이슬람/NNG+의/JKG
더	더/MAG
공고해진	공고하/VA+아/EC+지/VX+ㄴ/ETM
종교	종교/NNG
이념이	이념/NNG+이/JKS
더해져	더/MAG+하/XSV+아/EC+지/VX+어/EC
아랍인들을	아랍인/NNG+들/XSN+을/JKO
자극했다.	자극/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.96.5.5
1979년 이란 혁명은 그 대표적 사례였다.

1979년	1979/SN+년/NNB
이란	이란/NNP
혁명은	혁명/NNG+은/JX
그	그/MMD
대표적	대표/NNG+적/XSN
사례였다.	사례/NNG+이/VCP+었/EP+다/EF+./SF


