# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.207
metadata : {}


# id : NWRW1800000049.207.1.1
충격의 사법부… 정운호에 억대수수 혐의 현직 부장판사 영장

충격의	충격/NNG+의/JKG
사법부…	사법부/NNG+…/SE
정운호에	정운호/NNP+에/JKB
억대수수	억/NR+대/XSN+수수/NNG
혐의	혐의/NNG
현직	현직/NNG
부장판사	부장/NNG+판사/NNG
영장	영장/NNG


# id : NWRW1800000049.207.2.1
검찰 “또 다른 부장판사들도 유착 비리 의혹” 김수천 판사 ‘공짜 외제차’ 등 인정… 檢 “심리상태 불안정해 긴급체포”

검찰	검찰/NNG
“또	“/SS+또/MAG
다른	다른/MMD
부장판사들도	부장/NNG+판사/NNG+들/XSN+도/JX
유착	유착/NNG
비리	비리/NNG
의혹”	의혹/NNG+”/SS
김수천	김수천/NNP
판사	판사/NNG
‘공짜	‘/SS+공짜/NNG
외제차’	외제/NNG+차/NNG+’/SS
등	등/NNB
인정…	인정/NNG+…/SE
檢	檢/SH
“심리상태	“/SS+심리/NNG+상태/NNG
불안정해	불/XPN+안정/NNG+하/XSA+아/EC
긴급체포”	긴급/NNG+체포/NNG+”/SS


# id : NWRW1800000049.207.3.1
서울중앙지검 특별수사1부(부장 이원석)는 정운호 네이처리퍼블릭 전 대표(51·수감 중)로부터 1억7000만 원대 금품을 받고 네이처리퍼블릭에 유리한 판결을 내려준 혐의로 인천지법 김수천 부장판사(57·사법연수원 17기)에 대해 1일 구속영장을 청구했다.

서울중앙지검	서울중앙지검/NNP
특별수사1부(부장	특별/NNG+수사/NNG+1/SN+부/NNG+(/SS+부장/NNG
이원석)는	이원석/NNP+)/SS+는/JX
정운호	정운호/NNP
네이처리퍼블릭	네이처리퍼블릭/NNP
전	전/MMD
대표(51·수감	대표/NNG+(/SS+51/SN+·/SP+수감/NNG
중)로부터	중/NNB+)/SS+로부터/JKB
1억7000만	1/SN+억/NR+7000/SN+만/NR
원대	원/NNB+대/XSN
금품을	금품/NNG+을/JKO
받고	받/VV+고/EC
네이처리퍼블릭에	네이처리퍼블릭/NNP+에/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
판결을	판결/NNG+을/JKO
내려준	내리/VV+어/EC+주/VX+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
인천지법	인천지법/NNP
김수천	김수천/NNP
부장판사(57·사법연수원	부장/NNG+판사/NNG+(/SS+57/SN+·/SP+사법/NNG+연수원/NNG
17기)에	17/SN+기/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
1일	1/SN+일/NNB
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.207.3.2
4월 촉발한 ‘정운호 게이트’와 관련해 현직 부장판사에 대해 구속영장이 청구된 것은 이번이 처음이다.

4월	4/SN+월/NNB
촉발한	촉발/NNG+하/XSV+ㄴ/ETM
‘정운호	‘/SS+정운호/NNP
게이트’와	게이트/NNG+’/SS+와/JKB
관련해	관련/NNG+하/XSV+아/EC
현직	현직/NNG
부장판사에	부장/NNG+판사/NNG+에/JKB
대해	대하/VV+아/EC
구속영장이	구속/NNG+영장/NNG+이/JKS
청구된	청구/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.207.4.1
김 부장판사는 지난달 31일 피의자 신분으로 검찰에 소환돼 조사를 받다 이튿날 오전 2시 반 긴급 체포됐다.

김	김/NNP
부장판사는	부장/NNG+판사/NNG+는/JX
지난달	지난달/NNG
31일	31/SN+일/NNB
피의자	피의자/NNG
신분으로	신분/NNG+으로/JKB
검찰에	검찰/NNG+에/JKB
소환돼	소환/NNG+되/XSV+어/EC
조사를	조사/NNG+를/JKO
받다	받/VV+다/EC
이튿날	이튿날/NNG
오전	오전/NNG
2시	2/SN+시/NNB
반	반/NNG
긴급	긴급/NNG
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.207.4.2
검찰 관계자는 “김 부장판사가 불안정한 심리 상태를 보여 긴급 체포했다”고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“김	“/SS+김/NNP
부장판사가	부장/NNG+판사/NNG+가/JKS
불안정한	불/XPN+안정/NNG+하/XSA+ㄴ/ETM
심리	심리/NNG
상태를	상태/NNG+를/JKO
보여	보이/VV+어/EC
긴급	긴급/NNG
체포했다”고	체포/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.207.4.3
김 부장판사는 금품 수수 관련 사실관계는 인정한 것으로 알려졌다.

김	김/NNP
부장판사는	부장/NNG+판사/NNG+는/JX
금품	금품/NNG
수수	수수/NNG
관련	관련/NNG
사실관계는	사실/NNG+관계/NNG+는/JX
인정한	인정/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.207.5.1
김 부장판사는 비공개로 소환돼 취재진의 눈을 피했다.

김	김/NNP
부장판사는	부장/NNG+판사/NNG+는/JX
비공개로	비/XPN+공개/NNG+로/JKB
소환돼	소환/NNG+되/XSV+어/EC
취재진의	취재진/NNG+의/JKG
눈을	눈/NNG+을/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.207.5.2
검찰이 현직 부장판사에 대해 ‘과잉 배려’를 했다는 지적도 나온다.

검찰이	검찰/NNG+이/JKS
현직	현직/NNG
