# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.139
metadata : {}


# id : NWRW1800000052.139.1.1
안전, 편의 사양 강화한 ‘더 뉴 쏘울’

안전,	안전/NNG+,/SP
편의	편의/NNG
사양	사양/NNG
강화한	강화/NNG+하/XSV+ㄴ/ETM
‘더	‘/SS+더/NNP
뉴	뉴/NNP
쏘울’	쏘울/NNP+’/SS


# id : NWRW1800000052.139.2.1
연비, 성능도 소폭 개선시켜 재탄생

연비,	연비/NNG+,/SP
성능도	성능/NNG+도/JX
소폭	소폭/NNG
개선시켜	개선/NNG+시키/XSV+어/EC
재탄생	재/XPN+탄생/NNG


# id : NWRW1800000052.139.3.1
기아차 소형 SUV 시장 반전 노려

기아차	기아차/NNP
소형	소형/NNG
SUV	SUV/SL
시장	시장/NNG
반전	반전/NNG
노려	노리/VV+어/EC


# id : NWRW1800000052.139.4.1
2017년형 쏘울EV도 함께 출시

2017년형	2017/SN+년/NNB+형/XSN
쏘울EV도	쏘울EV/NNP+도/JX
함께	함께/MAG
출시	출시/NNG


# id : NWRW1800000052.139.5.1
기아자동차의 소형 스포츠실용차(SUV) 쏘울이 안전과 편의 사양을 보강해 새롭게 태어났다.

기아자동차의	기아자동차/NNP+의/JKG
소형	소형/NNG
스포츠실용차(SUV)	스포츠/NNG+실용/NNG+차/NNG+(/SS+SUV/SL+)/SS
쏘울이	쏘울/NNP+이/JKS
안전과	안전/NNG+과/JC
편의	편의/NNG
사양을	사양/NNG+을/JKO
보강해	보강/NNG+하/XSV+아/EC
새롭게	새롭/VA+게/EC
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.139.6.1
기아차는 22일 서울 강남구 청담동 송은아트스페이스에서 열린 미디어발표회에서 성능을 개선한 2세대 6단 자동변속기를 장착하고 역동적인 스타일과 안전·편의 사양을 강화한 ‘더 뉴(The New) 쏘울’을 선보였다.

기아차는	기아차/NNP+는/JX
22일	22/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
청담동	청담동/NNP
송은아트스페이스에서	송은아트스페이스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
미디어발표회에서	미디어/NNG+발표회/NNG+에서/JKB
성능을	성능/NNG+을/JKO
개선한	개선/NNG+하/XSV+ㄴ/ETM
2세대	2/SN+세대/NNG
6단	6/SN+단/NNB
자동변속기를	자동/NNG+변속기/NNG+를/JKO
장착하고	장착/NNG+하/XSV+고/EC
역동적인	역동/NNG+적/XSN+이/VCP+ㄴ/ETM
스타일과	스타일/NNG+과/JC
안전·편의	안전/NNG+·/SP+편의/NNG
사양을	사양/NNG+을/JKO
강화한	강화/NNG+하/XSV+ㄴ/ETM
‘더	‘/SS+더/NNP
뉴(The	뉴/NNP+(/SS+The/SL
New)	New/SL+)/SS
쏘울’을	쏘울/NNP+’/SS+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.139.7.1
기존 모델에 비해 가솔린은 11.9㎞/ℓ, 디젤은 15.2㎞/ℓ로 연비(복합 기준)가 약간 개선됐다.

기존	기존/NNG
모델에	모델/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
가솔린은	가솔린/NNG+은/JX
11.9㎞/ℓ,	11/SN+./SP+9/SN+㎞/SW+//SP+ℓ/SW+,/SP
디젤은	디젤/NNG+은/JX
15.2㎞/ℓ로	15/SN+./SP+2/SN+㎞/SW+//SP+ℓ/SW+로/JKB
연비(복합	연비/NNG+(/SS+복합/NNG
기준)가	기준/NNG+)/SS+가/JKS
약간	약간/MAG
개선됐다.	개선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.139.7.2
차량 내부 측면의 커튼 에어백에 전복감지 기능을 갖추고, 버튼 시동 스마트키를 기본으로 적용한 것도 특징이다.

차량	차량/NNG
내부	내부/NNG
측면의	측면/NNG+의/JKG
커튼	커튼/NNG
에어백에	에어백/NNG+에/JKB
전복감지	전복/NNG+감지/NNG
기능을	기능/NNG+을/JKO
갖추고,	갖추/VV+고/EC+,/SP
버튼	버튼/NNG
시동	시동/NNG
