# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.400
metadata : {}


# id : NWRW1800000045.400.1.1
측근 최재성 불출마 재확인… 文 인적쇄신 속도전

측근	측근/NNG
최재성	최재성/NNP
불출마	불/XPN+출마/NNG
재확인…	재/XPN+확인/NNG+…/SE
文	文/SH
인적쇄신	인/NNG+적/XSN+쇄신/NNG
속도전	속도전/NNG


# id : NWRW1800000045.400.2.1
[야권 재편 소용돌이]文 주도 온라인 입당 3만명 넘어

[야권	[/SS+야권/NNG
재편	재편/NNG
소용돌이]文	소용돌이/NNG+]/SS+文/SH
주도	주도/NNG
온라인	온라인/NNG
입당	입당/NNG
3만명	3/SN+만/NR+명/NNB
넘어	넘/VV+어/EF


# id : NWRW1800000045.400.3.1
새정치민주연합 문재인 대표의 최측근인 최재성 총무본부장(3선·경기 남양주갑)이 내년 총선 불출마를 확인했다.

새정치민주연합	새정치민주연합/NNP
문재인	문재인/NNP
대표의	대표/NNG+의/JKG
최측근인	최/XPN+측근/NNG+이/VCP+ㄴ/ETM
최재성	최재성/NNP
총무본부장(3선·경기	총무/NNG+본부장/NNG+(/SS+3/SN+선/NNB+·/SP+경기/NNP
남양주갑)이	남양주갑/NNP+)/SS+이/JKS
내년	내년/NNG
총선	총선/NNG
불출마를	불/XPN+출마/NNG+를/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.400.3.2
최 본부장은 2012년 대선 당시 문 대표와 안철수 의원의 후보 단일화를 촉구하며 불출마를 선언했지만 이후 불출마 의사를 분명히 하지 않았다.

최	최/NNP
본부장은	본부장/NNG+은/JX
2012년	2012/SN+년/NNB
대선	대선/NNG
당시	당시/NNG
문	문/NNP
대표와	대표/NNG+와/JC
안철수	안철수/NNP
의원의	의원/NNG+의/JKG
후보	후보/NNG
단일화를	단일/NNG+화/XSN+를/JKO
촉구하며	촉구/NNG+하/XSV+며/EC
불출마를	불/XPN+출마/NNG+를/JKO
선언했지만	선언/NNG+하/XSV+았/EP+지만/EC
이후	이후/NNG
불출마	불/XPN+출마/NNG
의사를	의사/NNG+를/JKO
분명히	분명히/MAG
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.400.4.1
