# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.302
metadata : {}


# id : NWRW1800000021.302.1.1
[LOVE & GIFT]홍삼-식초음료… 천연주스… 건강 드리니 흐뭇

[LOVE	[/SS+LOVE/SL
&	&/SW
GIFT]홍삼-식초음료…	GIFT/SL+]/SS+홍삼/NNG+-/SO+식초음료/NNG+…/SE
천연주스…	천연/NNG+주스/NNG+…/SE
건강	건강/NNG
드리니	드리/VV+니/EC
흐뭇	흐뭇/XR


# id : NWRW1800000021.302.2.1
홍삼, 식초 등 건강 음료는 제품 구성에 따라 부담 없는 가격으로 선물할 수 있는 제품이다.

홍삼,	홍삼/NNG+,/SP
식초	식초/NNG
등	등/NNB
건강	건강/NNG
음료는	음료/NNG+는/JX
제품	제품/NNG
구성에	구성/NNG+에/JKB
따라	따르/VV+아/EC
부담	부담/NNG
없는	없/VA+는/ETM
가격으로	가격/NNG+으로/JKB
선물할	선물/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제품이다.	제품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.302.2.2
홍삼은 ‘신종 인플루엔자A를 예방해준다’는 광고로 최근 각광받고 있는데, 질병치료에 효능·효과가 있다기보다는 꾸준히 복용하면서 몸을 보양한다는 생각으로 먹으면 좋다.

홍삼은	홍삼/NNG+은/JX
‘신종	‘/SS+신종/NNG
인플루엔자A를	인플루엔자/NNG+A/SL+를/JKO
예방해준다’는	예방/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+’/SS+는/ETM
광고로	광고/NNG+로/JKB
최근	최근/NNG
각광받고	각광/NNG+받/XSV+고/EC
있는데,	있/VX+는데/EC+,/SP
질병치료에	질병/NNG+치료/NNG+에/JKB
효능·효과가	효능/NNG+·/SP+효과/NNG+가/JKS
있다기보다는	있/VA+다기/ETN+보다/JKB+는/JX
꾸준히	꾸준히/MAG
복용하면서	복용/NNG+하/XSV+면서/EC
몸을	몸/NNG+을/JKO
보양한다는	보양/NNG+하/XSV+ㄴ다는/ETM
생각으로	생각/NNG+으로/JKB
먹으면	먹/VV+으면/EC
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000021.302.2.3
식품의약품안전청에 따르면 홍삼은 면역력 증진과 피로 해소, 혈액순환에 도움을 준다.

식품의약품안전청에	식품/NNG+의약품/NNG+안전청/NNG+에/JKB
따르면	따르/VV+면/EC
홍삼은	홍삼/NNG+은/JX
면역력	면역력/NNG
증진과	증진/NNG+과/JKB
피로	피로/NNG
해소,	해소/NNG+,/SP
혈액순환에	혈액/NNG+순환/NNG+에/JKB
도움을	도움/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.302.3.1
효과가 좋은 만큼 인기도 많아, 바쁜 일상 속에서 편하게 먹을 수 있도록 다양한 제품들이 출시되고 있다.

효과가	효과/NNG+가/JKS
좋은	좋/VA+은/ETM
만큼	만큼/NNB
인기도	인기/NNG+도/JX
많아,	많/VA+아/EC+,/SP
바쁜	바쁘/VA+ㄴ/ETM
일상	일상/NNG
속에서	속/NNG+에서/JKB
편하게	편하/VA+게/EC
먹을	먹/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
제품들이	제품/NNG+들/XSN+이/JKS
출시되고	출시/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.302.3.2
홍삼액을 어떻게 가공하느냐에 따라 가격과 종류가 천차만별이다.

홍삼액을	홍삼/NNG+액/NNG+을/JKO
어떻게	어떻/VA+게/EC
가공하느냐에	가공/NNG+하/XSV+느냐/EF+에/JKB
따라	따르/VV+아/EC
가격과	가격/NNG+과/JC
종류가	종류/NNG+가/JKS
천차만별이다.	천차만별/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.302.3.3
어린이나 청소년용 제품에는 단맛 나는 생약재를 첨가해 먹기 좋게 한 제품이, 중장년층용으로는 홍삼 고유의 향이나 전통한약재 맛 등을 강조한 제품이 나와 있다.

어린이나	어린이/NNG+나/JC
청소년용	청소년/NNG+용/XSN
제품에는	제품/NNG+에/JKB+는/JX
단맛	단맛/NNG
나는	나/VV+는/ETM
생약재를	생/XPN+약재/NNG+를/JKO
첨가해	첨가/NNG+하/XSV+아/EC
먹기	먹/VV+기/ETN
좋게	좋/VA+게/EC
한	하/VX+ㄴ/ETM
제품이,	제품/NNG+이/JKS+,/SP
중장년층용으로는	중장년/NNG+층/XSN+용/XSN+으로/JKB+는/JX
홍삼	홍삼/NNG
고유의	고유/NNG+의/JKG
향이나	향/NNG+이나/JC
전통한약재	전통/NNG+한약재/NNG
맛	맛/NNG
등을	등/NNB+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
제품이	제품/NNG+이/JKS
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.302.4.1
NH한삼인은 대추, 생강을 섞어 마시기 좋게 만든 ‘진홍삼’과 홍삼만 장시간 달여 농축시킨 ‘한삼인 6년근 홍삼정골드’를 내놓았다.

NH한삼인은	NH한삼인/NNP+은/JX
대추,	대추/NNG+,/SP
생강을	생강/NNG+을/JKO
섞어	섞/VV+어/EC
마시기	마시/VV+기/ETN
좋게	좋/VA+게/EC
만든	만들/VV+ㄴ/ETM
‘진홍삼’과	‘/SS+진홍삼/NNP+’/SS+과/JC
홍삼만	홍삼/NNG+만/JX
장시간	장시간/NNG
달여	달이/VV+어/EC
농축시킨	농축/NNG+시키/XSV+ㄴ/ETM
‘한삼인	‘/SS+한삼인/NNP
6년근	6/SN+년/NNB+근/NNG
홍삼정골드’를	홍삼정골드/NNP+’/SS+를/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.302.4.2
가격은 진홍삼 50mL짜리 42포가 5만8000원, 홍삼정골드 50g 제품이 4만1200원, 240g 제품이 17만5600원이다.

가격은	가격/NNG+은/JX
진홍삼	진홍삼/NNP
50mL짜리	50/SN+mL/SW+짜리/XSN
42포가	42/SN+포/NNG+가/JKS
5만8000원,	5/SN+만/NR+8000/SN+원/NNB+,/SP
홍삼정골드	홍삼정골드/NNP
50g	50/SN+g/SW
제품이	제품/NNG+이/JKS
4만1200원,	4/SN+만/NR+1200/SN+원/NNB+,/SP
240g	240/SN+g/SW
17만5600원이다.	17/SN+만/NR+5600/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.302.4.3
요새는 비행기에 가지고 들어가기 편하도록 홍삼액 분말을 뭉쳐 은단처럼 만든 제품도 나와 있다.

요새는	요새/NNG+는/JX
비행기에	비행기/NNG+에/JKB
가지고	가지/VV+고/EC
들어가기	들어가/VV+기/ETN
편하도록	편하/VA+도록/EC
홍삼액	홍삼/NNG+액/NNG
분말을	분말/NNG+을/JKO
뭉쳐	뭉치/VV+어/EC
은단처럼	은단/NNG+처럼/JKB
만든	만들/VV+ㄴ/ETM
제품도	제품/NNG+도/JX
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.302.5.1
홍삼은 공복에 섭취하는 것이 가장 좋다.

홍삼은	홍삼/NNG+은/JX
공복에	공복/NNG+에/JKB
섭취하는	섭취/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
가장	가장/MAG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000021.302.5.2
NH한삼인 인삼연구소는 오전 10시, 오후 4시, 저녁식사 2시간 후에 먹을 것을 권했다.

NH한삼인	NH한삼인/NNP
인삼연구소는	인삼/NNG+연구소/NNG+는/JX
오전	오전/NNG
10시,	10/SN+시/NNB+,/SP
오후	오후/NNG
4시,	4/SN+시/NNB+,/SP
저녁식사	저녁/NNG+식사/NNG
2시간	2/SN+시간/NNB
후에	후/NNG+에/JKB
먹을	먹/VV+을/ETM
것을	것/NNB+을/JKO
권했다.	권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.302.6.1
식초도 대표적인 건강음료다.

식초도	식초/NNG+도/JX
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
건강음료다.	건강/NNG+음료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.302.6.2
운동 후에 마시면 피로 해소에 도움이 된다.

운동	운동/NNG
후에	후/NNG+에/JKB
마시면	마시/VV+면/EC
피로	피로/NNG
해소에	해소/NNG+에/JKB
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.302.6.3
식초의 유기산이 근육의 젖산을 분해해 피로를 풀어주기 때문이다.

식초의	식초/NNG+의/JKG
유기산이	유기산/NNG+이/JKS
근육의	근육/NNG+의/JKG
젖산을	젖산/NNG+을/JKO
분해해	분해/NNG+하/XSV+아/EC
피로를	피로/NNG+를/JKO
풀어주기	풀/VV+어/EC+주/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.302.6.4
식이섬유가 함유돼 변비 해소에도 도움을 주고 장 기능을 강화해 영양분의 소화와 흡수를 돕는다.

식이섬유가	식이/NNG+섬유/NNG+가/JKS
함유돼	함유/NNG+되/XSV+어/EC
변비	변비/NNG
해소에도	해소/NNG+에/JKB+도/JX
도움을	도움/NNG+을/JKO
주고	주/VV+고/EC
