# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.370
metadata : {}


# id : NWRW1800000037.370.1.1
다자녀-노부모 부양자라도 소득이나 부동산 많으면 보금자리주택 청약 제한

다자녀-노부모	다자녀/NNG+-/SO+노/XPN+부모/NNG
부양자라도	부양자/NNG+이/VCP+라도/EC
소득이나	소득/NNG+이나/JC
부동산	부동산/NNG
많으면	많/VA+으면/EC
보금자리주택	보금자리/NNG+주택/NNG
청약	청약/NNG
제한	제한/NNG


# id : NWRW1800000037.370.2.1
이르면 10월 중순부터 다자녀와 노부모 부양자라도 소득이나 부동산 자산이 많으면 보금자리주택 특별공급 청약에 참여할 수 없다.

이르면	이르/VA+면/EC
10월	10/SN+월/NNB
중순부터	중순/NNG+부터/JX
다자녀와	다자녀/NNG+와/JC
노부모	노/XPN+부모/NNG
부양자라도	부양자/NNG+이/VCP+라도/EC
소득이나	소득/NNG+이나/JC
부동산	부동산/NNG
자산이	자산/NNG+이/JKS
많으면	많/VA+으면/EC
보금자리주택	보금자리/NNG+주택/NNG
특별공급	특별/NNG+공급/NNG
청약에	청약/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.370.2.2
반면 신혼부부는 영구·국민임대주택 우선 공급 시 거주지역과 상관없이 어느 곳에서나 신청할 수 있게 된다.

반면	반면/NNG
신혼부부는	신혼부부/NNG+는/JX
영구·국민임대주택	영구/NNG+·/SP+국민/NNG+임대/NNG+주택/NNG
우선	우선/MAG
공급	공급/NNG
시	시/NNB
거주지역과	거주/NNG+지역/NNG+과/JKB
상관없이	상관없이/MAG
어느	어느/MMD
곳에서나	곳/NNG+에서/JKB+나/JX
신청할	신청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.370.3.1
국토교통부는 18일 이 같은 내용을 담은 ‘주택공급에 관한 규칙’ 개정안을 입법 예고한다고 밝혔다.

국토교통부는	국토/NNG+교통부/NNG+는/JX
18일	18/SN+일/NNB
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘주택공급에	‘/SS+주택/NNG+공급/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
규칙’	규칙/NNG+’/SS
개정안을	개정안/NNG+을/JKO
입법	입법/NNG
예고한다고	예고/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.370.4.1
개정안에 따르면 보금자리주택 특별공급 시 다자녀·노부모 부양자에 대해서도 소득과 자산 기준을 적용한다.

개정안에	개정안/NNG+에/JKB
따르면	따르/VV+면/EC
보금자리주택	보금자리/NNG+주택/NNG
특별공급	특별/NNG+공급/NNG
시	시/NNB
다자녀·노부모	다자녀/NNG+·/SP+노/XPN+부모/NNG
부양자에	부양자/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
소득과	소득/NNG+과/JC
자산	자산/NNG
기준을	기준/NNG+을/JKO
적용한다.	적용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.370.4.2
그동안 보금자리주택 특별공급 청약 시 신혼부부나 생애최초 청약자에게는 소득과 자산기준을 둬 청약자격을 제한했지만 다자녀·노부모 부양자에게는 따로 기준을 적용하지 않았다.

그동안	그동안/NNG
보금자리주택	보금자리/NNG+주택/NNG
특별공급	특별/NNG+공급/NNG
청약	청약/NNG
시	시/NNB
신혼부부나	신혼부부/NNG+나/JC
생애최초	생애/NNG+최초/NNG
청약자에게는	청약자/NNG+에게/JKB+는/JX
소득과	소득/NNG+과/JC
자산기준을	자산/NNG+기준/NNG+을/JKO
둬	두/VV+어/EC
청약자격을	청약/NNG+자격/NNG+을/JKO
제한했지만	제한/NNG+하/XSV+았/EP+지만/EC
다자녀·노부모	다자녀/NNG+·/SP+노/XPN+부모/NNG
부양자에게는	부양자/NNG+에게/JKB+는/JX
따로	따로/MAG
기준을	기준/NNG+을/JKO
적용하지	적용/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.370.5.1
하지만 앞으로는 다자녀·노부모 부양자도 △월평균 가구당 소득이 전년도 도시근로자 가구당 월평균소득 이하(예를 들어 3인 이하 가구라면 올해 적용 기준은 449만 원)여야 하고 △부동산 보유 금액이 2억1550만 원 이하여야 하며 △자동차 평가금액이 2766만 원 이하여야 보금자리주택 특별공급에 청약할 수 있다.

하지만	하지만/MAJ
앞으로는	앞/NNG+으로/JKB+는/JX
다자녀·노부모	다자녀/NNG+·/SP+노/XPN+부모/NNG
부양자도	부양자/NNG+도/JX
△월평균	△/SW+월평균/NNG
가구당	가구/NNG+당/XSN
소득이	소득/NNG+이/JKS
전년도	전년도/NNG
도시근로자	도시/NNG+근로자/NNG
월평균소득	월평균/NNG+소득/NNG
이하(예를	이하/NNG+(/SS+예/NNG+를/JKO
들어	들/VV+어/EC
3인	3/SN+인/NNG
이하	이하/NNG
가구라면	가구/NNG+이/VCP+라면/EC
올해	올해/NNG
적용	적용/NNG
기준은	기준/NNG+은/JX
449만	449/SN+만/NR
원)여야	원/NNB+)/SS+이/VCP+어야/EC
하고	하/VX+고/EC
△부동산	△/SW+부동산/NNG
보유	보유/NNG
금액이	금액/NNG+이/JKS
2억1550만	2/SN+억/NR+1550/SN+만/NR
원	원/NNB
이하여야	이하/NNG+이/VCP+어야/EC
하며	하/VX+며/EC
△자동차	△/SW+자동차/NNG
평가금액이	평가/NNG+금액/NNG+이/JKS
2766만	2766/SN+만/NR
보금자리주택	보금자리/NNG+주택/NNG
특별공급에	특별/NNG+공급/NNG+에/JKB
청약할	청약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.370.6.1
국토부 관계자는 “고액의 부동산 자산을 보유하고 있는 사람이나 고소득자들이 특별공급에 청약하는 것은 보금자리주택 취지에 맞지 않는다”며 “이들의 청약자격을 제한하는 것은 무주택 서민의 입주 기회를 확대하기 위한 것”이라고 설명했다.

국토부	국토부/NNG
관계자는	관계자/NNG+는/JX
“고액의	“/SS+고액/NNG+의/JKG
부동산	부동산/NNG
자산을	자산/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
사람이나	사람/NNG+이나/JC
고소득자들이	고소득자/NNG+들/XSN+이/JKS
특별공급에	특별/NNG+공급/NNG+에/JKB
청약하는	청약/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
보금자리주택	보금자리/NNG+주택/NNG
취지에	취지/NNG+에/JKB
맞지	맞/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“이들의	“/SS+이/NP+들/XSN+의/JKG
청약자격을	청약/NNG+자격/NNG+을/JKO
제한하는	제한/NNG+하/XSV+는/ETM
무주택	무/XPN+주택/NNG
서민의	서민/NNG+의/JKG
입주	입주/NNG
기회를	기회/NNG+를/JKO
확대하기	확대/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.370.7.1
청약 과열을 방지하기 위해 해당지역 거주자에 한해 공급하도록 했던 영구·국민임대주택 신혼부부 우선 공급의 경우 거주지역 제한이 폐지된다.

청약	청약/NNG
과열을	과열/NNG+을/JKO
방지하기	방지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
해당지역	해당/NNG+지역/NNG
거주자에	거주자/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
공급하도록	공급/NNG+하/XSV+도록/EC
했던	하/VX+았/EP+던/ETM
영구·국민임대주택	영구/NNG+·/SP+국민/NNG+임대/NNG+주택/NNG
신혼부부	신혼부부/NNG
우선	우선/MAG
공급의	공급/NNG+의/JKG
경우	경우/NNG
거주지역	거주/NNG+지역/NNG
제한이	제한/NNG+이/JKS
폐지된다.	폐지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.370.7.2
단, 경쟁 시에는 해당 지역 거주자에게 우선순위가 부여된다.

단,	단/MAJ+,/SP
경쟁	경쟁/NNG
시에는	시/NNG+에/JKB+는/JX
해당	해당/NNG
지역	지역/NNG
거주자에게	거주자/NNG+에게/JKB
우선순위가	우선순위/NNG+가/JKS
부여된다.	부여/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.370.7.3
신혼부부에게 주택 마련 기회를 확대해 결혼과 출산을 장려하려는 조치다.

신혼부부에게	신혼부부/NNG+에게/JKB
주택	주택/NNG
마련	마련/NNG
기회를	기회/NNG+를/JKO
확대해	확대/NNG+하/XSV+아/EC
결혼과	결혼/NNG+과/JC
출산을	출산/NNG+을/JKO
장려하려는	장려/NNG+하/XSV+려는/ETM
조치다.	조치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.370.8.1
이와 함께 국토부는 지방이전 공공기관도 기관 종사자처럼 이전지역 주택 특별공급을 받을 수 있도록 할 방침이다.

이와	이/NP+와/JKB
함께	함께/MAG
국토부는	국토부/NNG+는/JX
지방이전	지방/NNG+이전/NNG
공공기관도	공공/NNG+기관/NNG+도/JX
기관	기관/NNG
종사자처럼	종사자/NNG+처럼/JKB
이전지역	이전/NNG+지역/NNG
주택	주택/NNG
특별공급을	특별/NNG+공급/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
할	하/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.370.8.2
