# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.250
metadata : {}


# id : NWRW1800000032.250.1.1
‘멸종위기종 코요테 복제’꼬리내린 황우석-경기도

‘멸종위기종	‘/SS+멸종/NNG+위기종/NNG
코요테	코요테/NNG
복제’꼬리내린	복제/NNG+’/SS+꼬리/NNG+내리/VV+ㄴ/ETM
황우석-경기도	황우석/NNP+-/SO+경기도/NNP


# id : NWRW1800000032.250.2.1
북미엔 흔한데 웬 멸종위기?

북미엔	북미/NNP+에/JKB+ㄴ/JX
흔한데	흔하/VA+ㄴ데/EC
웬	웬/MMD
멸종위기?	멸종/NNG+위기/NNG+?/SF


# id : NWRW1800000032.250.3.1
‘이종 세계최초’도 거짓으로

‘이종	‘/SS+이종/NNG
세계최초’도	세계/NNG+최초/NNG+’/SS+도/JX
거짓으로	거짓/NNG+으로/JKB


# id : NWRW1800000032.250.4.1
“연구팀 자료” “도에서 오버”

“연구팀	“/SS+연구/NNG+팀/NNG
자료”	자료/NNG+”/SS
“도에서	“/SS+도/NNG+에서/JKB
오버”	오버/NNG+”/SS


# id : NWRW1800000032.250.5.1
과잉홍보 논란에 책임 공방

과잉홍보	과잉/NNG+홍보/NNG
논란에	논란/NNG+에/JKB
책임	책임/NNG
공방	공방/NNG


# id : NWRW1800000032.250.6.1
황우석 박사 연구팀(수암생명공학연구원)과 경기도가 최근 “멸종위기에 있는 코요테의 복제에 성공했으며 이는 개의 난자를 이용한 이종간 복제로 세계 최초”라고 밝혔으나, 연구 성과의 의미를 부풀리려고 과장 홍보를 했다는 지적이 나온다.

황우석	황우석/NNP
박사	박사/NNG
연구팀(수암생명공학연구원)과	연구/NNG+팀/NNG+(/SS+수암생명공학연구원/NNP+)/SS+과/JC
경기도가	경기도/NNP+가/JKS
최근	최근/NNG
“멸종위기에	“/SS+멸종/NNG+위기/NNG+에/JKB
있는	있/VA+는/ETM
코요테의	코요테/NNG+의/JKG
복제에	복제/NNG+에/JKB
성공했으며	성공/NNG+하/XSV+았/EP+으며/EC
이는	이/NP+는/JX
개의	개/NNG+의/JKG
난자를	난자/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
이종간	이종/NNG+간/NNB
복제로	복제/NNG+로/JKB
세계	세계/NNG
최초”라고	최초/NNG+”/SS+라고/JKQ
밝혔으나,	밝히/VV+었/EP+으나/EC+,/SP
연구	연구/NNG
성과의	성과/NNG+의/JKG
의미를	의미/NNG+를/JKO
부풀리려고	부풀리/VV+려고/EC
과장	과장/NNG
홍보를	홍보/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.250.6.2
코요테를 멸종위기 동물로 볼 수 없고, 이종간 복제도 세계 최초라고 단정하기 어렵다는 이유에서다.

코요테를	코요테/NNG+를/JKO
멸종위기	멸종/NNG+위기/NNG
동물로	동물/NNG+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
이종간	이종/NNG+간/NNB
복제도	복제/NNG+도/JX
세계	세계/NNG
최초라고	최초/NNG+이/VCP+라고/EC
단정하기	단정/NNG+하/XSV+기/ETN
어렵다는	어렵/VA+다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000032.250.7.1
경기도는 지난 17일 황 박사 연구팀과 맺은 ‘멸종위기 동물 복제생산 협약’에 따라 황 박사팀이 복제한 새끼 코요테 8마리를 기증받았다.

경기도는	경기도/NNP+는/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
황	황/NNP
박사	박사/NNG
연구팀과	연구/NNG+팀/NNG+과/JKB
맺은	맺/VV+은/ETM
‘멸종위기	‘/SS+멸종/NNG+위기/NNG
동물	동물/NNG
복제생산	복제/NNG+생산/NNG
협약’에	협약/NNG+’/SS+에/JKB
따라	따르/VV+아/EC
박사팀이	박사/NNG+팀/NNG+이/JKS
복제한	복제/NNG+하/XSV+ㄴ/ETM
새끼	새끼/NNG
코요테	코요테/NNG
8마리를	8/SN+마리/NNB+를/JKO
기증받았다.	기증/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.250.7.2
코요테의 피부 체세포를, 같은 개과이지만 종은 다른 개의 난자에다 넣어 복제하는 이종간 복제 방식을 썼다고 했다.

코요테의	코요테/NNG+의/JKG
피부	피부/NNG
체세포를,	체세포/NNG+를/JKO+,/SP
같은	같/VA+은/ETM
개과이지만	개/NNG+과/NNG+이/VCP+지만/EC
종은	종/NNG+은/JX
다른	다른/MMD
개의	개/NNG+의/JKG
난자에다	난자/NNG+에다/JKB
넣어	넣/VV+어/EC
복제하는	복제/NNG+하/XSV+는/ETM
이종간	이종/NNG+간/NNB
복제	복제/NNG
방식을	방식/NNG+을/JKO
썼다고	쓰/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.250.7.3
김문수 경기도지사는 “공상과학소설 같은 일이 일어났다.

김문수	김문수/NNP
경기도지사는	경기/NNP+도지사/NNG+는/JX
“공상과학소설	“/SS+공상/NNG+과학/NNG+소설/NNG
같은	같/VA+은/ETM
일이	일/NNG+이/JKS
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.250.7.4
매머드 복제도 머지않았다”고 극찬했다.

매머드	매머드/NNG
복제도	복제/NNG+도/JX
머지않았다”고	머지않/VA+았/EP+다/EF+”/SS+고/JKQ
극찬했다.	극찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.250.7.5
경기도는 나아가 “복제된 코요테를 원래 서식지인 북아메리카에 보내 멸종 동물 보존에 기여하겠다”는 구상도 발표했다.

경기도는	경기도/NNP+는/JX
나아가	나아가/VV+아/EC
“복제된	“/SS+복제/NNG+되/XSV+ㄴ/ETM
코요테를	코요테/NNG+를/JKO
원래	원래/NNG
서식지인	서식지/NNG+이/VCP+ㄴ/ETM
북아메리카에	북아메리카/NNP+에/JKB
보내	보내/VV+어/EC
멸종	멸종/NNG
동물	동물/NNG
보존에	보존/NNG+에/JKB
기여하겠다”는	기여/NNG+하/XSV+겠/EP+다/EF+”/SS+는/ETM
구상도	구상/NNG+도/JX
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.250.8.1
그러나 멸종위기종의 ‘보호등급’을 매기는 세계자연보전연맹(IUCN)의 자료를 보면, 코요테는 멸종 위험이 적은 ‘최소 관심’(LC) 등급으로 분류돼 있다.

그러나	그러나/MAJ
멸종위기종의	멸종/NNG+위기종/NNG+의/JKG
‘보호등급’을	‘/SS+보호/NNG+등급/NNG+’/SS+을/JKO
매기는	매기/VV+는/ETM
세계자연보전연맹(IUCN)의	세계자연보전연맹/NNP+(/SS+IUCN/SL+)/SS+의/JKG
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
코요테는	코요테/NNG+는/JX
멸종	멸종/NNG
위험이	위험/NNG+이/JKS
적은	적/VA+은/ETM
‘최소	‘/SS+최소/NNG
관심’(LC)	관심/NNG+’/SS+(/SS+LC/SL+)/SS
등급으로	등급/NNG+으로/JKB
분류돼	분류/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.250.8.2
같은 등급에는 사람도 들어 있다.

같은	같/VA+은/ETM
등급에는	등급/NNG+에/JKB+는/JX
사람도	사람/NNG+도/JX
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.250.8.3
자연보전연맹은 코요테를 두고 “북아메리카 등지에 폭넓게 많이 서식하며 분포지역도 늘고 있다”는 설명을 달았다.

자연보전연맹은	자연보전연맹/NNP+은/JX
코요테를	코요테/NNG+를/JKO
두고	두/VV+고/EC
“북아메리카	“/SS+북아메리카/NNP
등지에	등지/NNB+에/JKB
폭넓게	폭넓/VA+게/EC
많이	많이/MAG
서식하며	서식/NNG+하/XSV+며/EC
분포지역도	분포/NNG+지역/NNG+도/JX
늘고	늘/VV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
설명을	설명/NNG+을/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.250.8.4
미국 등지의 트위터 이용자들은 “북미에서 코요테는 농작물에 해를 끼치며 골머리를 썩이는 흔한 동물인데, 멸종위기라는 게 웬말이냐”며 황당하다는 반응을 보였다.

미국	미국/NNP
등지의	등지/NNB+의/JKG
트위터	트위터/NNP
이용자들은	이용자/NNG+들/XSN+은/JX
