# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.80
metadata : {}


# id : NWRW1800000045.80.1.1
공포의 평행주차… 공식 외우니 “탈출, 김여사”

공포의	공포/NNG+의/JKG
평행주차…	평행/NNG+주차/NNG+…/SE
공식	공식/NNG
외우니	외우/VV+니/EC
“탈출,	“/SS+탈출/NNG+,/SP
김여사”	김/NNP+여사/NNG+”/SS


# id : NWRW1800000045.80.2.1
운전 서툰 여성 위한 맞춤교육 ‘현대車 레이디 스킬업 체험’ 현장

운전	운전/NNG
서툰	서툴/VA+ㄴ/ETM
여성	여성/NNG
위한	위하/VV+ㄴ/ETM
맞춤교육	맞춤/NNG+교육/NNG
‘현대車	‘/SS+현대/NNP+車/SH
레이디	레이디/NNG
스킬업	스킬/NNG+업/NNG
체험’	체험/NNG+’/SS
현장	현장/NNG


# id : NWRW1800000045.80.3.1
운전에 서툰 여성 운전자를 흔히 ‘김 여사’라고 부른다.

운전에	운전/NNG+에/JKB
서툰	서툴/VA+ㄴ/ETM
여성	여성/NNG
운전자를	운전자/NNG+를/JKO
흔히	흔히/MAG
‘김	‘/SS+김/NNP
여사’라고	여사/NNG+’/SS+라고/JKQ
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.80.3.2
여성을 비하하는 발언이라 삼가는 것이 바람직하지만, 실제 운전과 주차에 애를 먹는 여성이 많은 것은 사실이다.

여성을	여성/NNG+을/JKO
비하하는	비하/NNG+하/XSV+는/ETM
발언이라	발언/NNG+이/VCP+라/EC
삼가는	삼가/VV+는/ETM
것이	것/NNB+이/JKS
바람직하지만,	바람직하/VA+지만/EC+,/SP
실제	실제/MAG
운전과	운전/NNG+과/JC
주차에	주차/NNG+에/JKB
애를	애/NNG+를/JKO
먹는	먹/VV+는/ETM
여성이	여성/NNG+이/JKS
많은	많/VA+은/ETM
것은	것/NNB+은/JX
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.80.4.1
그래서 현대자동차는 여성 운전자 60명을 대상으로 후방·전방·평행주차의 ‘공식’과 주차장 진출입로 운전 방법을 알려주는 ‘레이디 스킬업 체험’ 행사를 지난달 29일 서울 송파구 올림픽로 롯데마트 잠실점에서 열었다.

그래서	그래서/MAJ
현대자동차는	현대자동차/NNP+는/JX
여성	여성/NNG
운전자	운전자/NNG
60명을	60/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
후방·전방·평행주차의	후방/NNG+·/SP+전방/NNG+·/SP+평행/NNG+주차/NNG+의/JKG
‘공식’과	‘/SS+공식/NNG+’/SS+과/JC
주차장	주차장/NNG
진출입로	진출입로/NNG
운전	운전/NNG
방법을	방법/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
‘레이디	‘/SS+레이디/NNG
스킬업	스킬/NNG+업/NNG
체험’	체험/NNG+’/SS
행사를	행사/NNG+를/JKO
지난달	지난달/NNG
29일	29/SN+일/NNB
서울	서울/NNP
송파구	송파구/NNP
올림픽로	올림픽로/NNP
롯데마트	롯데마트/NNP
잠실점에서	잠실점/NNG+에서/JKB
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.80.4.2
기자도 이 행사에 직접 참여해 봤다.

기자도	기자/NNG+도/JX
이	이/MMD
행사에	행사/NNG+에/JKB
직접	직접/MAG
참여해	참여/NNG+하/XSV+아/EC
봤다.	보/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.80.4.3
류창승 현대차 국내커뮤니케이션실 이사는 “대중교통으로 접근할 수 있는 곳에서 생활밀착형 강의를 진행하기 위해 교육 장소를 서울시내 대형마트로 정했다”고 설명했다.

류창승	류창승/NNP
현대차	현대차/NNP
국내커뮤니케이션실	국내/NNG+커뮤니케이션/NNG+실/NNG
이사는	이사/NNG+는/JX
“대중교통으로	“/SS+대중교통/NNG+으로/JKB
접근할	접근/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
곳에서	곳/NNG+에서/JKB
생활밀착형	생활/NNG+밀착/NNG+형/XSN
강의를	강의/NNG+를/JKO
진행하기	진행/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
교육	교육/NNG
장소를	장소/NNG+를/JKO
서울시내	서울/NNP+시내/NNG
대형마트로	대형/NNG+마트/NNG+로/JKB
정했다”고	정하/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.80.4.4
장현진 선수를 포함해 서한 퍼플 모터스포트팀 선수들이 강사로 나섰다.

장현진	장현진/NNP
선수를	선수/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
서한	서한/NNP
퍼플	퍼플/NNP
모터스포트팀	모터스포트/NNG+팀/NNG
선수들이	선수/NNG+들/XSN+이/JKS
강사로	강사/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.80.5.1
○ 주차의 핵심은 사이드미러와 뒤 범퍼

○	○/SW
주차의	주차/NNG+의/JKG
핵심은	핵심/NNG+은/JX
사이드미러와	사이드미러/NNG+와/JC
뒤	뒤/NNG
범퍼	범퍼/NNG


# id : NWRW1800000045.80.6.1
스티어링 휠을 왼쪽으로 돌려 후진한다.

스티어링	스티어링/NNG
휠을	휠/NNG+을/JKO
왼쪽으로	왼쪽/NNG+으로/JKB
돌려	돌리/VV+어/EC
후진한다.	후진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.80.6.2
여성 운전자들이 가장 어려워하는 상황은 골목길 평행주차다.

여성	여성/NNG
운전자들이	운전자/NNG+들/XSN+이/JKS
가장	가장/MAG
어려워하는	어려워하/VV+는/ETM
상황은	상황/NNG+은/JX
골목길	골목길/NNG
평행주차다.	평행/NNG+주차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.80.6.3
그러나 공식을 알고 나니 어렵지 않았다.

그러나	그러나/MAJ
공식을	공식/NNG+을/JKO
알고	알/VV+고/EC
나니	나/VX+니/EC
어렵지	어렵/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.80.6.4
우선 차를 바로 앞 칸에 주차된 차량까지 전진시킨다.

우선	우선/MAG
차를	차/NNG+를/JKO
바로	바로/MAG
앞	앞/NNG
칸에	칸/NNG+에/JKB
주차된	주차/NNG+되/XSV+ㄴ/ETM
차량까지	차량/NNG+까지/JX
전진시킨다.	전진/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.80.6.5
옆 차와의 간격을 충분히 떨어뜨리고 차를 주차할 방향으로 약간 비스듬히 만들어놓으면 더 편하다.

옆	옆/NNG
차와의	차/NNG+와/JKB+의/JKG
간격을	간격/NNG+을/JKO
충분히	충분히/MAG
떨어뜨리고	떨어뜨리/VV+고/EC
차를	차/NNG+를/JKO
주차할	주차/NNG+하/XSV+ㄹ/ETM
방향으로	방향/NNG+으로/JKB
약간	약간/MAG
비스듬히	비스듬히/MAG
만들어놓으면	만들/VV+어/EC+놓/VX+으면/EC
더	더/MAG
편하다.	편하/VA+다/EF+./SF


# id : NWRW1800000045.80.6.6
스티어링 휠을 주차할 방향으로 완전히 틀어 후진한 뒤 내 차의 뒤 범퍼가 앞 차의 범퍼를 지날 때쯤 차선과 차량의 각도가 45도가 되게 만든다.

스티어링	스티어링/NNG
휠을	휠/NNG+을/JKO
주차할	주차/NNG+하/XSV+ㄹ/ETM
방향으로	방향/NNG+으로/JKB
완전히	완전히/MAG
틀어	틀/VV+어/EC
후진한	후진/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
내	나/NP+의/JKG
차의	차/NNG+의/JKG
범퍼가	범퍼/NNG+가/JKS
앞	앞/NNG
범퍼를	범퍼/NNG+를/JKO
지날	지나/VV+ㄹ/ETM
때쯤	때/NNG+쯤/XSN
차선과	차선/NNG+과/JC
차량의	차량/NNG+의/JKG
각도가	각도/NNG+가/JKS
45도가	45/SN+도/NNB+가/JKC
되게	되/VV+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.80.6.7
스티어링 휠을 정중앙에 놓고 후진한 뒤 내 차의 사이드미러가 앞 차의 뒤 범퍼를 지났을 때 스티어링 휠을 반대로 꺾어 후진하면 된다.

스티어링	스티어링/NNG
휠을	휠/NNG+을/JKO
정중앙에	정중앙/NNG+에/JKB
놓고	놓/VV+고/EC
후진한	후진/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
내	나/NP+의/JKG
차의	차/NNG+의/JKG
사이드미러가	사이드미러/NNG+가/JKS
앞	앞/NNG
범퍼를	범퍼/NNG+를/JKO
지났을	지나/VV+았/EP+을/ETM
때	때/NNG
반대로	반대/NNG+로/JKB
꺾어	꺾/VV+어/EC
후진하면	후진/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.80.7.1
전방주차를 할 때는 주차하려는 공간 끝에서 내 차 사이의 폭이 4m가량 확보된 상황이면 내 차의 사이드미러가 주차공간 선을 지나자마자 스티어링 휠을 완전히 꺾으면 한 번에 주차할 수 있다.

전방주차를	전방/NNG+주차/NNG+를/JKO
할	하/VV+ㄹ/ETM
때는	때/NNG+는/JX
주차하려는	주차/NNG+하/XSV+려는/ETM
공간	공간/NNG
끝에서	끝/NNG+에서/JKB
내	나/NP+의/JKG
차	차/NNG
사이의	사이/NNG+의/JKG
폭이	폭/NNG+이/JKS
4m가량	4/SN+m/SW+가량/XSN
확보된	확보/NNG+되/XSV+ㄴ/ETM
상황이면	상황/NNG+이/VCP+면/EC
차의	차/NNG+의/JKG
사이드미러가	사이드미러/NNG+가/JKS
주차공간	주차/NNG+공간/NNG
선을	선/NNG+을/JKO
지나자마자	지나/VV+자마자/EC
스티어링	스티어링/NNG
휠을	휠/NNG+을/JKO
완전히	완전히/MAG
꺾으면	꺾/VV+으면/EC
한	한/MMN
번에	번/NNB+에/JKB
주차할	주차/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.80.8.1
장 선수는 “주차장 진출입로에 들어갈 때는 차량과 벽 사이 1m 간격을 유지한 상황에서 내 차의 사이드미러가 진출로의 입구를 지났을 때 스티어링 휠을 안으로 크게 꺾으면 된다”며 “안전턱에 차량이 닿았을 땐 기어를 N(중립)으로 바꾼 뒤 차체가 더 이상 움직이지 않을 때 P(주차)로 바꿔야 변속기가 손상을 입지 않는다”고 조언했다.

장	장/NNP
선수는	선수/NNG+는/JX
“주차장	“/SS+주차장/NNG
