# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.46
metadata : {}


# id : NWRW1800000030.46.1.1
"사위 될 사람 뒤 좀 캐 주세요"

"사위	"/SS+사위/NNG
될	되/VV+ㄹ/ETM
사람	사람/NNG
뒤	뒤/NNG
좀	좀/MAG
캐	캐/VV+어/EC
주세요"	주/VX+시/EP+어요/EF+"/SS


# id : NWRW1800000030.46.2.1
?인도서 결혼 탐정 유행… 부모들, 자유연애에 불안

?인도서	?/NA+인도/NNP+서/JKB
결혼	결혼/NNG
탐정	탐정/NNG
유행…	유행/NNG+…/SE
부모들,	부모/NNG+들/XSN+,/SP
자유연애에	자유연애/NNG+에/JKB
불안	불안/NNG


# id : NWRW1800000030.46.3.1
인도에서 신부 측 부모가 사설탐정을 고용해 사윗감을 뒷조사하는 일이 유행이라고 BBC가 지난 11일 보도했다.

인도에서	인도/NNP+에서/JKB
신부	신부/NNG
측	측/NNB
부모가	부모/NNG+가/JKS
사설탐정을	사설탐정/NNG+을/JKO
고용해	고용/NNG+하/XSV+아/EC
사윗감을	사윗감/NNG+을/JKO
뒷조사하는	뒷조사/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
유행이라고	유행/NNG+이/VCP+라고/EC
BBC가	BBC/SL+가/JKS
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.46.4.1
인도에서는 전통적으로 집안 어른이 자녀의 배우자를 골라 혼사를 진행해 왔다.

인도에서는	인도/NNP+에서/JKB+는/JX
전통적으로	전통/NNG+적/XSN+으로/JKB
집안	집안/NNG
어른이	어른/NNG+이/JKS
자녀의	자녀/NNG+의/JKG
배우자를	배우자/NNG+를/JKO
골라	고르/VV+아/EC
혼사를	혼사/NNG+를/JKO
진행해	진행/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.46.4.2
하지만 여성의 사회 진출이 점차 늘고 인터넷 보급률이 높아지면서 직장이나 온라인을 통해 이성과 만나 연애하는 커플이 늘었다.

하지만	하지만/MAJ
여성의	여성/NNG+의/JKG
사회	사회/NNG
진출이	진출/NNG+이/JKS
점차	점차/MAG
늘고	늘/VV+고/EC
인터넷	인터넷/NNG
보급률이	보급/NNG+률/XSN+이/JKS
높아지면서	높아지/VV+면서/EC
직장이나	직장/NNG+이나/JC
온라인을	온라인/NNG+을/JKO
통해	통하/VV+아/EC
이성과	이성/NNG+과/JKB
만나	만나/VV+아/EC
연애하는	연애/NNG+하/XSV+는/ETM
커플이	커플/NNG+이/JKS
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.46.4.3
부모 입장에서는 자녀가 누구를 만나는지, 만나는 사람이 '믿을 만한' 사람인지 알 수 없게 된 것이다.

부모	부모/NNG
입장에서는	입장/NNG+에서/JKB+는/JX
자녀가	자녀/NNG+가/JKS
누구를	누구/NP+를/JKO
만나는지,	만나/VV+는지/EF+,/SP
만나는	만나/VV+는/ETM
사람이	사람/NNG+이/JKS
