# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.102
metadata : {}


# id : NWRW1800000041.102.1.1
디알액시온, 신뢰, 존경의 문화로 쑥쑥 성장하는 기업

디알액시온,	디알액시온/NNP+,/SP
신뢰,	신뢰/NNG+,/SP
존경의	존경/NNG+의/JKG
문화로	문화/NNG+로/JKB
쑥쑥	쑥쑥/MAG
성장하는	성장/NNG+하/XSV+는/ETM
기업	기업/NNG


# id : NWRW1800000041.102.2.1
[대한민국 일하기 좋은 100대 기업]본상

[대한민국	[/SS+대한민국/NNP
일하기	일/NNG+하/XSV+기/ETN
좋은	좋/VA+은/ETM
100대	100/SN+대/NNG
기업]본상	기업/NNG+]/SS+본상/NNG


# id : NWRW1800000041.102.3.1
디알 액시온은 1979년 창립 이래 자동차부품업계의 선도주자로서의 면모를 유감없이 과시하고 있다.

디알	디알/NNP
액시온은	액시온/NNP+은/JX
1979년	1979/SN+년/NNB
창립	창립/NNG
이래	이래/NNB
자동차부품업계의	자동차/NNG+부품업/NNG+계/XSN+의/JKG
선도주자로서의	선도/NNG+주자/NNG+로서/JKB+의/JKG
면모를	면모/NNG+를/JKO
유감없이	유감없이/MAG
과시하고	과시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.102.3.2
1980년대 노동운동으로 뜨거웠던 격변의 시절도, 1990년대 대한민국을 휩쓴 IMF로 대변되는 외환위기 속에서도 디알 액시온의 임직원들은 손을 맞잡고 서로 격려하며 당당히 그 어려움들을 이겨내었다.

1980년대	1980/SN+년대/NNB
노동운동으로	노동/NNG+운동/NNG+으로/JKB
뜨거웠던	뜨겁/VA+었/EP+던/ETM
격변의	격변/NNG+의/JKG
시절도,	시절/NNG+도/JX+,/SP
1990년대	1990/SN+년대/NNB
대한민국을	대한민국/NNP+을/JKO
휩쓴	휩쓸/VV+ㄴ/ETM
IMF로	IMF/SL+로/JKB
대변되는	대변/NNG+되/XSV+는/ETM
외환위기	외환/NNG+위기/NNG
속에서도	속/NNG+에서/JKB+도/JX
디알	디알/NNP
액시온의	액시온/NNP+의/JKG
임직원들은	임직원/NNG+들/XSN+은/JX
손을	손/NNG+을/JKO
맞잡고	맞잡/VV+고/EC
서로	서로/MAG
격려하며	격려/NNG+하/XSV+며/EC
당당히	당당히/MAG
그	그/MMD
어려움들을	어려움/NNG+들/XSN+을/JKO
이겨내었다.	이기/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.102.4.1
또한 작년 말 산업계를 뒤흔든 통상급 관련 문제로 노동계와 경영계의 의견이 곳곳에서 부딪쳤고, 지금도 그 여파가 불씨로 남아 올해 최대 노동이슈로 부각되고 있다.

또한	또한/MAG
작년	작년/NNG
말	말/NNB
산업계를	산업/NNG+계/XSN+를/JKO
뒤흔든	뒤흔들/VV+ㄴ/ETM
통상급	통상/NNG+급/NNG
관련	관련/NNG
문제로	문제/NNG+로/JKB
노동계와	노동/NNG+계/XSN+와/JC
경영계의	경영/NNG+계/XSN+의/JKG
의견이	의견/NNG+이/JKS
곳곳에서	곳곳/NNG+에서/JKB
부딪쳤고,	부딪치/VV+었/EP+고/EC+,/SP
지금도	지금/NNG+도/JX
그	그/MMD
여파가	여파/NNG+가/JKS
불씨로	불씨/NNG+로/JKB
남아	남/VV+아/EC
올해	올해/NNG
최대	최대/NNG
노동이슈로	노동/NNG+이슈/NNG+로/JKB
부각되고	부각/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.102.4.2
하지만 디알 액시온의 노사는 신뢰와 존중의 문화를 기반으로 ‘15년 연속 무교섭 임금협상 합의’라는 유례없는 성과를 이루어내었으며 기업경영의 모범으로 떠올랐다.

하지만	하지만/MAJ
디알	디알/NNP
액시온의	액시온/NNP+의/JKG
노사는	노사/NNG+는/JX
신뢰와	신뢰/NNG+와/JC
존중의	존중/NNG+의/JKG
문화를	문화/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
‘15년	‘/SS+15/SN+년/NNB
연속	연속/NNG
무교섭	무/XPN+교섭/NNG
임금협상	임금/NNG+협상/NNG
합의’라는	합의/NNG+’/SS+이/VCP+라는/ETM
유례없는	유례없/VA+는/ETM
성과를	성과/NNG+를/JKO
이루어내었으며	이루/VV+어/EC+내/VX+었/EP+으며/EC
기업경영의	기업/NNG+경영/NNG+의/JKG
모범으로	모범/NNG+으로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.102.5.1
기업의 외연이 커지고 사세가 확장되면서 직원들에 대한 복지에도 소홀히 하지 않았다.

기업의	기업/NNG+의/JKG
외연이	외연/NNG+이/JKS
커지고	커지/VV+고/EC
사세가	사세/NNG+가/JKS
확장되면서	확장/NNG+되/XSV+면서/EC
직원들에	직원/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
복지에도	복지/NNG+에/JKB+도/JX
소홀히	소홀히/MAG
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.102.5.2
장애를 가진 부모 또는 자녀를 부양하고 있는 직원에게는 장애가족에 대하여 매월 1인당 20만 원씩의 장애 보육수당을 지급하는 한편, 치솟는 대학등록금에 대한 가계부담을 덜고자 대학생 자녀에 대해서는 인원제한 없이 등록금을 지원하는 등 직원들이 걱정없이 맡은 업무에 충실할 수 있도록 다방면으로 지원하고 있다.

장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
부모	부모/NNG
또는	또는/MAG
자녀를	자녀/NNG+를/JKO
부양하고	부양/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
직원에게는	직원/NNG+에게/JKB+는/JX
장애가족에	장애/NNG+가족/NNG+에/JKB
대하여	대하/VV+아/EC
매월	매월/MAG
1인당	1/SN+인/NNG+당/XSN
20만	20/SN+만/NR
원씩의	원/NNB+씩/XSN+의/JKG
장애	장애/NNG
보육수당을	보육/NNG+수당/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
한편,	한편/NNG+,/SP
치솟는	치솟/VV+는/ETM
대학등록금에	대학/NNG+등록금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
가계부담을	가계/NNG+부담/NNG+을/JKO
덜고자	덜/VV+고자/EC
대학생	대학/NNG+생/XSN
자녀에	자녀/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
인원제한	인원/NNG+제한/NNG
없이	없이/MAG
등록금을	등록금/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
등	등/NNB
직원들이	직원/NNG+들/XSN+이/JKS
걱정없이	걱정/NNG+없이/MAG
맡은	맡/VV+은/ETM
업무에	업무/NNG+에/JKB
충실할	충실/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
다방면으로	다방면/NNG+으로/JKB
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.102.6.1
한편 올해 58세였던 정년연령을 60세로 연장하였고, 출산을 장려하기 위해서 취학전 아동에게는 매월 10만 원씩의 출산육아수당을 지급하는 등 정부시책에도 주도적으로 협조하고 있다.

한편	한편/MAG
올해	올해/NNG
58세였던	58/SN+세/NNB+이/VCP+었/EP+던/ETM
정년연령을	정년/NNG+연령/NNG+을/JKO
60세로	60/SN+세/NNB+로/JKB
연장하였고,	연장/NNG+하/XSV+았/EP+고/EC+,/SP
출산을	출산/NNG+을/JKO
장려하기	장려/NNG+하/XSV+기/ETN
위해서	위하/VV+아서/EC
취학전	취학/NNG+전/NNG
아동에게는	아동/NNG+에게/JKB+는/JX
매월	매월/MAG
10만	10/SN+만/NR
원씩의	원/NNB+씩/XSN+의/JKG
출산육아수당을	출산/NNG+육아/NNG+수당/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
등	등/NNB
정부시책에도	정부/NNG+시책/NNG+에/JKB+도/JX
주도적으로	주도/NNG+적/XSN+으로/JKB
협조하고	협조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.102.6.2
더불어 지역사회에 다양한 분야에 걸쳐 기업의 사회환원을 몸소 실천하고 있다.

더불어	더불/VV+어/EC
지역사회에	지역/NNG+사회/NNG+에/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야에	분야/NNG+에/JKB
걸쳐	걸치/VV+어/EC
기업의	기업/NNG+의/JKG
사회환원을	사회/NNG+환원/NNG+을/JKO
몸소	몸소/MAG
실천하고	실천/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.102.6.3
지역의 어려운 복지시설의 지원, 미래인재 육성을 위한 학교지원사업 등이 바로 그것이다.

지역의	지역/NNG+의/JKG
어려운	어렵/VA+ㄴ/ETM
복지시설의	복지/NNG+시설/NNG+의/JKG
지원,	지원/NNG+,/SP
미래인재	미래/NNG+인재/NNG
육성을	육성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
학교지원사업	학교/NNG+지원/NNG+사업/NNG
등이	등/NNB+이/JKS
바로	바로/MAG
그것이다.	그것/NP+이/VCP+다/EF+./SF


# id : NWRW1800000041.102.7.1
신뢰, 존경, 사랑의 문화를 가진 디알 액시온이 공격적이고 지속적인 투자를 통해 글로벌 기업으로의 성장, 세계를 선도하는 고부가가치 미래산업을 주도하는 모습을 기대한다.

신뢰,	신뢰/NNG+,/SP
존경,	존경/NNG+,/SP
사랑의	사랑/NNG+의/JKG
문화를	문화/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
디알	디알/NNP
액시온이	액시온/NNP+이/JKS
공격적이고	공격/NNG+적/XSN+이/VCP+고/EC
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
투자를	투자/NNG+를/JKO
통해	통하/VV+아/EC
글로벌	글로벌/NNG
기업으로의	기업/NNG+으로/JKB+의/JKG
성장,	성장/NNG+,/SP
세계를	세계/NNG+를/JKO
선도하는	선도/NNG+하/XSV+는/ETM
고부가가치	고/XPN+부가/NNG+가치/NNG
미래산업을	미래/NNG+산업/NNG+을/JKO
주도하는	주도/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
기대한다.	기대/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.102.8.1
