# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.432
metadata : {}


# id : NWRW1800000022.432.1.1
고종의 혼 서린 환구단 정문, 42년만에 제모습

고종의	고종/NNP+의/JKG
혼	혼/NNG
서린	서리/VV+ㄴ/ETM
환구단	환구단/NNP
정문,	정문/NNG+,/SP
42년만에	42/SN+년/NNB+만/NNB+에/JKB
제모습	저/NP+의/JKG+모습/NNG


# id : NWRW1800000022.432.2.1
1897년 8월 14일, 황제 즉위를 앞둔 고종은 대한제국의 자주독립을 대내외에 알리기 위해 "연호를 광무(光武)로 하라"고 명하고, 이틀 뒤 이를 기념해 지은 환구단(?^丘壇)에서 하늘에 제사를 올렸다.

1897년	1897/SN+년/NNB
8월	8/SN+월/NNB
14일,	14/SN+일/NNB+,/SP
황제	황제/NNG
즉위를	즉위/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
고종은	고종/NNP+은/JX
대한제국의	대한제국/NNP+의/JKG
자주독립을	자주독립/NNG+을/JKO
대내외에	대내외/NNG+에/JKB
알리기	알리/VV+기/ETN
위해	위하/VV+아/EC
"연호를	"/SS+연호/NNG+를/JKO
광무(光武)로	광무/NNG+(/SS+光武/SH+)/SS+로/JKB
하라"고	하/VV+라/EF+"/SS+고/JKQ
명하고,	명/NNG+하/XSV+고/EC+,/SP
이틀	이틀/NNG
뒤	뒤/NNG
이를	이/NP+를/JKO
기념해	기념/NNG+하/XSV+아/EC
지은	짓/VV+은/ETM
환구단(?^丘壇)에서	환구단/NNP+(/SS+?/SF+^/SW+丘壇/SH+)/SS+에서/JKB
하늘에	하늘/NNG+에/JKB
제사를	제사/NNG+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.432.3.1
이 환구단의 정문이 원래 위치와 가까운 서울광장 근처로 최근 이전·복원됐다.

이	이/MMD
환구단의	환구단/NNP+의/JKG
정문이	정문/NNG+이/JKS
원래	원래/MAG
위치와	위치/NNG+와/JKB
가까운	가깝/VA+ㄴ/ETM
서울광장	서울광장/NNP
근처로	근처/NNG+로/JKB
최근	최근/MAG
이전·복원됐다.	이전/NNG+·/SP+복원/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.432.3.2
1967년 조선호텔이 세워질 때 철거된 지 42년 만이다.

1967년	1967/SN+년/NNB
조선호텔이	조선호텔/NNP+이/JKS
세워질	세우/VV+어/EC+지/VX+ㄹ/ETM
때	때/NNG
철거된	철거/NNG+되/XSV+ㄴ/ETM
지	지/NNB
42년	42/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.432.4.1
지신(地神)에 제사를 지내는 사직단은 사각형으로 쌓지만, 하늘에 제사를 지내는 환구단은 원형으로 만들었다.

지신(地神)에	지신/NNG+(/SS+地神/SH+)/SS+에/JKB
제사를	제사/NNG+를/JKO
지내는	지내/VV+는/ETM
사직단은	사직단/NNG+은/JX
사각형으로	사각/NNG+형/XSN+으로/JKB
쌓지만,	쌓/VV+지만/EC+,/SP
하늘에	하늘/NNG+에/JKB
환구단은	환구단/NNP+은/JX
원형으로	원형/NNG+으로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.432.4.2
단의 북쪽 모퉁이에는 천신(天神)의 위패를 모신 황궁우(皇穹宇)를 세웠다.

단의	단/NNG+의/JKG
북쪽	북쪽/NNG
모퉁이에는	모퉁이/NNG+에/JKB+는/JX
천신(天神)의	천신/NNG+(/SS+天神/SH+)/SS+의/JKG
위패를	위패/NNG+를/JKO
모신	모시/VV+ㄴ/ETM
황궁우(皇穹宇)를	황궁우/NNG+(/SS+皇穹宇/SH+)/SS+를/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.432.5.1
일제는 1913년 환구단을 허물고, 그 자리에 조선총독부 철도호텔을 지었다.

일제는	일제/NNG+는/JX
1913년	1913/SN+년/NNB
환구단을	환구단/NNP+을/JKO
허물고,	허물/VV+고/EC+,/SP
그	그/MMD
자리에	자리/NNG+에/JKB
조선총독부	조선총독부/NNP
철도호텔을	철도/NNG+호텔/NNG+을/JKO
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.432.5.2
1967년 철도호텔이 철거되고 다시 조선호텔이 들어설 때 정문을 포함한 환구단의 대부분 시설도 함께 철거됐다.

1967년	1967/SN+년/NNB
철도호텔이	철도/NNG+호텔/NNG+이/JKS
철거되고	철거/NNG+되/XSV+고/EC
다시	다시/MAG
조선호텔이	조선호텔/NNP+이/JKS
들어설	들어서/VV+ㄹ/ETM
때	때/NNG
정문을	정문/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
환구단의	환구단/NNP+의/JKG
대부분	대/XPN+부분/NNG
시설도	시설/NNG+도/JX
함께	함께/MAG
철거됐다.	철거/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.432.5.3
다행히 황궁우와 석고(石鼓·돌북)는 훼손을 면했다.

다행히	다행히/MAG
황궁우와	황궁우/NNG+와/JC
석고(石鼓·돌북)는	석고/NNG+(/SS+石鼓/SH+·/SP+돌/NNG+북/NNG+)/SS+는/JX
훼손을	훼손/NNG+을/JKO
면했다.	면하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.432.6.1
이때 철거돼 행방을 감춘 환구단 정문이 40년 만인 2007년 8월 '발견'됐다.

이때	이때/NNG
