# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.241
metadata : {}


# id : NWRW1800000054.241.1.1
대입정원 3년간(2019~2012) 2만명 감축… 상위 60% 대학은 제외

대입정원	대입/NNG+정원/NNG
3년간(2019~2012)	3/SN+년/NNB+간/XSN+(/SS+2019/SN+~/SO+2012/SN+)/SS
2만명	2/SN+만/NR+명/NNB
감축…	감축/NNG+…/SE
상위	상위/NNG
60%	60/SN+%/SW
대학은	대학/NNG+은/JX
제외	제외/NNG


# id : NWRW1800000054.241.2.1
4년 뒤 고3 14만명 줄어드는데 前정부 16만명 감축 계획서 후퇴

4년	4/SN+년/NNB
뒤	뒤/NNG
고3	고/NNG+3/SN
14만명	14/SN+만/NR+명/NNB
줄어드는데	줄어들/VV+는데/EC
前정부	前/SH+정부/NNG
16만명	16/SN+만/NR+명/NNB
감축	감축/NNG
계획서	계획서/NNG
후퇴	후퇴/NNG


# id : NWRW1800000054.241.3.1
교육부는 2021년까지 대학 입학 정원을 2만명 줄이겠다는 내용의 '대학 기본역량 진단 추진 계획'을 11월 30일 발표했다.

교육부는	교육부/NNG+는/JX
2021년까지	2021/SN+년/NNB+까지/JX
대학	대학/NNG
입학	입학/NNG
정원을	정원/NNG+을/JKO
2만명	2/SN+만/NR+명/NNB
줄이겠다는	줄이/VV+겠/EP+다는/ETM
내용의	내용/NNG+의/JKG
'대학	'/SS+대학/NNG
기본역량	기본/NNG+역량/NNG
진단	진단/NNG
추진	추진/NNG
계획'을	계획/NNG+'/SS+을/JKO
11월	11/SN+월/NNB
30일	30/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.241.3.2
이 평가에서 상위 60%에 드는 대학에는 정원 감축을 권고하지 않고, 대학 구조 조정 속도 역시 늦추겠다는 게 골자다.

이	이/MMD
평가에서	평가/NNG+에서/JKB
상위	상위/NNG
60%에	60/SN+%/SW+에/JKB
드는	들/VV+는/ETM
대학에는	대학/NNG+에/JKB+는/JX
정원	정원/NNG
감축을	감축/NNG+을/JKO
권고하지	권고/NNG+하/XSV+지/EC
않고,	않/VX+고/EC+,/SP
대학	대학/NNG
구조	구조/NNG
조정	조정/NNG
속도	속도/NNG
역시	역시/MAG
늦추겠다는	늦추/VV+겠/EP+다는/ETM
게	거/NNB+이/JKS
골자다.	골자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.241.3.3
교육부는 "학령인구 감소에 대비하기 위한 대학 정원 감축에 정부 개입을 줄이고 시장 논리를 반영하겠다는 것"이라고 밝혔다.

교육부는	교육부/NNG+는/JX
"학령인구	"/SS+학령/NNG+인구/NNG
감소에	감소/NNG+에/JKB
대비하기	대비/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
대학	대학/NNG
정원	정원/NNG
감축에	감축/NNG+에/JKB
정부	정부/NNG
개입을	개입/NNG+을/JKO
줄이고	줄이/VV+고/EC
시장	시장/NNG
논리를	논리/NNG+를/JKO
반영하겠다는	반영/NNG+하/XSV+겠/EP+다는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.241.4.1
◇3년간 대입 정원 2만명 감축

◇3년간	◇/SW+3/SN+년/NNB+간/XSN
대입	대입/NNG
정원	정원/NNG
2만명	2/SN+만/NR+명/NNB
감축	감축/NNG


# id : NWRW1800000054.241.5.1
교육부는 우선 전국 대학을 권역별로 나눠 평가해 자율개선대학, 역량강화대학, 재정지원제한대학(Ⅰ·Ⅱ유형) 등 3등급으로 나누기로 했다.

교육부는	교육부/NNG+는/JX
우선	우선/MAG
전국	전국/NNG
대학을	대학/NNG+을/JKO
권역별로	권역/NNG+별/XSN+로/JKB
나눠	나누/VV+어/EC
