# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.410
metadata : {}


# id : NWRW1800000048.410.1.1
새정치 ‘을지로 위원회’ 출범 2년 “을 대표하는 정당으로 바뀌어야 집권”

새정치	새정치/NNP
‘을지로	‘/SS+을지로/NNP
위원회’	위원회/NNG+’/SS
출범	출범/NNG
2년	2/SN+년/NNB
“을	“/SS+을/NNG
대표하는	대표/NNG+하/XSV+는/ETM
정당으로	정당/NNG+으로/JKB
바뀌어야	바뀌/VV+어야/EC
집권”	집권/NNG+”/SS


# id : NWRW1800000048.410.2.1
국회가 비정규직 노동자, 중소·자영업자 등 ‘을’(乙)이 있는 곳을 찾아 문제를 해결해보자는 취지로 출범했던 새정치민주연합 ‘을지로위원회’(을을 지키는 길 위원회)가 출범 2년을 맞았다.

국회가	국회/NNG+가/JKS
비정규직	비/XPN+정규직/NNG
노동자,	노동자/NNG+,/SP
중소·자영업자	중소/NNG+·/SP+자영업자/NNG
등	등/NNB
‘을’(乙)이	‘/SS+을/NNG+’/SS+(/SS+乙/SH+)/SS+이/JKS
있는	있/VA+는/ETM
곳을	곳/NNG+을/JKO
찾아	찾/VV+아/EC
문제를	문제/NNG+를/JKO
해결해보자는	해결/NNG+하/XSV+아/EC+보/VX+자는/ETM
취지로	취지/NNG+로/JKB
출범했던	출범/NNG+하/XSV+았/EP+던/ETM
새정치민주연합	새정치민주연합/NNP
‘을지로위원회’(을을	‘/SS+을지로/NNP+위원회/NNG+’/SS+(/SS+을/NNG+을/JKO
지키는	지키/VV+는/ETM
길	길/NNG
위원회)가	위원회/NNG+)/SS+가/JKS
출범	출범/NNG
2년을	2/SN+년/NNB+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.410.3.1
위원장을 맡고 있는 우원식 새정치연합 의원 등 을지로위원회 소속 의원들은 11일 2주년 기자간담회를 열고 “을지로위원회 활동 2년의 결론은 새정치민주연합이 집권하기 위해 ‘을지로정당’으로 바뀌어야 한다는 것”이라고 밝혔다.

위원장을	위원장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
우원식	우원식/NNP
새정치연합	새정치연합/NNP
의원	의원/NNG
등	등/NNB
을지로위원회	을지로/NNP+위원회/NNG
소속	소속/NNG
의원들은	의원/NNG+들/XSN+은/JX
11일	11/SN+일/NNB
2주년	2/SN+주년/NNB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열고	열/VV+고/EC
“을지로위원회	“/SS+을지로/NNP+위원회/NNG
활동	활동/NNG
2년의	2/SN+년/NNB+의/JKG
결론은	결론/NNG+은/JX
새정치민주연합이	새정치민주연합/NNP+이/JKS
집권하기	집권/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
‘을지로정당’으로	‘/SS+을지로/NNP+정당/NNG+’/SS+으로/JKB
바뀌어야	바뀌/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.410.3.2
새정치연합이 비정규직·영세자영업자·파견노동자 등 ‘을’을 대표하는 정당으로 바뀔 때 국민들의 지지를 회복할 수 있다는 것이다.

새정치연합이	새정치연합/NNP+이/JKS
비정규직·영세자영업자·파견노동자	비/XPN+정규직/NNG+·/SP+영세/NNG+자영업자/NNG+·/SP+파견/NNG+노동자/NNG
등	등/NNB
‘을’을	‘/SS+을/NNG+’/SS+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
정당으로	정당/NNG+으로/JKB
바뀔	바뀌/VV+ㄹ/ETM
때	때/NNG
국민들의	국민/NNG+들/XSN+의/JKG
지지를	지지/NNG+를/JKO
회복할	회복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.410.4.1
우 의원은 “재보궐선거 패배 원인을 계파주의와 야권 분열에서 찾고 있지만 이는 부차적인 것이다”라며 “국민들은 새정치민주연합이 나의 먹고사는 문제를 해결해줄 정당인지, 그래서 지지할 만한 정당인지에 관심이 있다”고 말했다.

우	우/NNP
의원은	의원/NNG+은/JX
“재보궐선거	“/SS+재/XPN+보궐/NNG+선거/NNG
패배	패배/NNG
원인을	원인/NNG+을/JKO
계파주의와	계파주의/NNG+와/JC
야권	야권/NNG
분열에서	분열/NNG+에서/JKB
찾고	찾/VV+고/EC
있지만	있/VX+지만/EC
이는	이/NP+는/JX
부차적인	부차/NNG+적/XSN+이/VCP+ㄴ/ETM
것이다”라며	것/NNB+이/VCP+다/EF+”/SS+이/VCP+라며/EC
“국민들은	“/SS+국민/NNG+들/XSN+은/JX
새정치민주연합이	새정치민주연합/NNP+이/JKS
나의	나/NP+의/JKG
먹고사는	먹고살/VV+는/ETM
문제를	문제/NNG+를/JKO
해결해줄	해결/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
정당인지,	정당/NNG+이/VCP+ㄴ지/EC+,/SP
그래서	그래서/MAJ
지지할	지지/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
정당인지에	정당/NNG+이/VCP+ㄴ지/EF+에/JKB
관심이	관심/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.410.4.2
장하나 의원은 “을지로위원회가 당 대표도 내고 원내대표도 내야 한다고 생각한다”며 적극적으로 당의 변화를 이끌어야 한다는 견해를 밝히기도 했다.

장하나	장하나/NNP
의원은	의원/NNG+은/JX
“을지로위원회가	“/SS+을지로/NNP+위원회/NNG+가/JKS
당	당/NNG
대표도	대표/NNG+도/JX
내고	내/VV+고/EC
원내대표도	원내/NNG+대표/NNG+도/JX
내야	내/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
당의	당/NNG+의/JKG
변화를	변화/NNG+를/JKO
이끌어야	이끌/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
견해를	견해/NNG+를/JKO
밝히기도	밝히/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.410.5.1
이는 을지로위원회의 지난 2년간의 활동 성과와 긍정적 평가에 따른 것으로 보인다.

이는	이/NP+는/JX
을지로위원회의	을지로/NNP+위원/NNG+회의/NNG
지난	지나/VV+ㄴ/ETM
2년간의	2/SN+년/NNB+간/XSN+의/JKG
활동	활동/NNG
성과와	성과/NNG+와/JC
긍정적	긍정/NNG+적/XSN
평가에	평가/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.410.5.2
을지로위원회는 2년 동안 46명의 국회의원이 유통 대기업과 중소기업 간의 불공정 계약 문제, 삼성전자서비스·엘지유플러스 불법파견·불법도급 문제 등을 각각 맡아 현장에서 갈등을 조정하는 데 힘을 써왔다.

을지로위원회는	을지로/NNP+위원회/NNG+는/JX
2년	2/SN+년/NNB
동안	동안/NNG
46명의	46/SN+명/NNB+의/JKG
