# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.218
metadata : {}


# id : NWRW1800000041.218.1.1
“특별法 끝모를 투쟁보다 이젠 협상을”… 세월호유가족, 커지는 온건파 목소리

“특별法	“/SS+특별/NNG+法/SH
끝모를	끝/NNG+모르/VV+ㄹ/ETM
투쟁보다	투쟁/NNG+보다/JKB
이젠	이제/NNG+ㄴ/JX
협상을”…	협상/NNG+을/JKO+”/SS+…/SE
세월호유가족,	세월호/NNP+유가족/NNG+,/SP
커지는	커지/VV+는/ETM
온건파	온건파/NNG
목소리	목소리/NNG


# id : NWRW1800000041.218.2.1
집행부 강경태도도 다소 누그러져… 여야 원내대표 대책위 방문에 “진정성 보여 줬다” 긍정 평가… “회의도 없이 합의안 거부하나” 집행부 일방 독주에 반발도… 강경파선 “유가족 분열” 경계심

집행부	집행부/NNG
강경태도도	강경/NNG+태도/NNG+도/JX
다소	다소/MAG
누그러져…	누그러지/VV+어/EC+…/SE
여야	여야/NNG
원내대표	원내/NNG+대표/NNG
대책위	대책위/NNG
방문에	방문/NNG+에/JKB
“진정성	“/SS+진정/NNG+성/XSN
보여	보이/VV+어/EC
줬다”	주/VX+었/EP+다/EF+”/SS
긍정	긍정/NNG
평가…	평가/NNG+…/SE
“회의도	“/SS+회의/NNG+도/JX
없이	없이/MAG
합의안	합의안/NNG
거부하나”	거부/NNG+하/XSV+나/EC+”/SS
일방	일방/NNG
독주에	독주/NNG+에/JKB
반발도…	반발/NNG+도/JX+…/SE
강경파선	강경파/NNG+서/JKB+ㄴ/JX
“유가족	“/SS+유가족/NNG
분열”	분열/NNG+”/SS
경계심	경계심/NNG


# id : NWRW1800000041.218.3.1
경기 안산시 화랑유원지 내 세월호 희생자 정부합동분향소에는 ‘3자회동’이 열렸던 지난달 29일부터 사흘 내내 긴장감이 흘렀다.

경기	경기/NNP
안산시	안산시/NNP
화랑유원지	화랑유원지/NNP
내	내/NNB
세월호	세월호/NNP
희생자	희생자/NNG
정부합동분향소에는	정부/NNG+합동/NNG+분향소/NNG+에/JKB+는/JX
‘3자회동’이	‘/SS+3/SN+자/NNB+회동/NNG+’/SS+이/JKS
열렸던	열리/VV+었/EP+던/ETM
지난달	지난달/NNG
29일부터	29/SN+일/NNB+부터/JX
사흘	사흘/NNG
내내	내내/MAG
긴장감이	긴장감/NNG+이/JKS
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.218.3.2
3자회동과 여야 합의를 거쳐 세월호 특별법이 타결됐지만 유가족들은 이의 파기를 요구했기 때문이다.

3자회동과	3/SN+자/NNB+회동/NNG+과/JC
여야	여야/NNG
합의를	합의/NNG+를/JKO
거쳐	거치/VV+어/EC
세월호	세월호/NNP
특별법이	특별법/NNG+이/JKS
타결됐지만	타결/NNG+되/XSV+었/EP+지만/EC
유가족들은	유가족/NNG+들/XSN+은/JX
이의	이/NP+의/JKG
파기를	파기/NNG+를/JKO
요구했기	요구/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.218.3.3
1일 여야 원내대표가 예정에 없이 안산을 방문해 유가족 설득에 나선 가운데, 단원고 유가족 사이에서는 투쟁보다 정치권과의 협상으로 문제를 해결하는 게 바람직하다는 기류가 형성되고 있는 것으로 알려졌다.

1일	1/SN+일/NNB
여야	여야/NNG
원내대표가	원내/NNG+대표/NNG+가/JKS
예정에	예정/NNG+에/JKB
없이	없이/MAG
안산을	안산/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
유가족	유가족/NNG
설득에	설득/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
단원고	단원고/NNP
사이에서는	사이/NNG+에서/JKB+는/JX
투쟁보다	투쟁/NNG+보다/JKB
정치권과의	정치/NNG+권/XSN+과/JKB+의/JKG
협상으로	협상/NNG+으로/JKB
문제를	문제/NNG+를/JKO
해결하는	해결/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
바람직하다는	바람직하/VA+다는/ETM
기류가	기류/NNG+가/JKS
형성되고	형성/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.218.4.1
○ 유가족, 여야 방문에 “일단 환영”

○	○/SW
유가족,	유가족/NNG+,/SP
여야	여야/NNG
방문에	방문/NNG+에/JKB
“일단	“/SS+일단/MAG
환영”	환영/NNG+”/SS


# id : NWRW1800000041.218.5.1
단원고 가족대책위가 “타결안을 파기하라”는 공식 입장을 밝힌 지 하루 만인 이날 오후 새누리당 이완구 원내대표와 새정치민주연합 박영선 원내대표가 각각 안산을 찾아 대책위 집행부를 만났다.

단원고	단원고/NNP
가족대책위가	가족/NNG+대책위/NNG+가/JKS
“타결안을	“/SS+타결안/NNG+을/JKO
파기하라”는	파기/NNG+하/XSV+라/EF+”/SS+는/ETM
공식	공식/NNG
입장을	입장/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
지	지/NNB
하루	하루/NNG
만인	만/NNB+이/VCP+ㄴ/ETM
이날	이날/NNG
오후	오후/NNG
새누리당	새누리당/NNP
이완구	이완구/NNP
원내대표와	원내/NNG+대표/NNG+와/JC
새정치민주연합	새정치민주연합/NNP
박영선	박영선/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
각각	각각/MAG
안산을	안산/NNP+을/JKO
찾아	찾/VV+아/EC
대책위	대책위/NNG
집행부를	집행부/NNG+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.5.2
두 원내대표는 각각 지난달 30일 여야의 타결안에 대한 각 당의 입장과 유가족 우려를 해소하겠다는 의지를 전달한 것으로 전해졌다.

두	두/MMN
원내대표는	원내/NNG+대표/NNG+는/JX
각각	각각/MAG
지난달	지난달/NNG
