# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.177
metadata : {}


# id : NWRW1800000041.177.1.1
‘도로명 주소’ 첫날… 많이 당황하셨어요?

‘도로명	‘/SS+도로명/NNG
주소’	주소/NNG+’/SS
첫날…	첫날/NNG+…/SE
많이	많이/MAG
당황하셨어요?	당황/NNG+하/XSV+시/EP+었/EP+어요/EF+?/SF


# id : NWRW1800000041.177.2.1
경찰은 출동신고 현장 못찾아 끙끙… 어르신들 새 주소 몰라 민원서류 작성 난감 관공서 안내자료도 부족… 시민들 “적응까지 시간 걸릴 것”

경찰은	경찰/NNG+은/JX
출동신고	출동/NNG+신고/NNG
현장	현장/NNG
못찾아	못/MAG+찾/VV+아/EC
끙끙…	끙끙/MAG+…/SE
어르신들	어르신/NNG+들/XSN
새	새/MMA
주소	주소/NNG
몰라	모르/VV+아/EC
민원서류	민원서류/NNG
작성	작성/NNG
난감	난감/XR
관공서	관공서/NNG
안내자료도	안내/NNG+자료/NNG+도/JX
부족…	부족/NNG+…/SE
시민들	시민/NNG+들/XSN
“적응까지	“/SS+적응/NNG+까지/JX
시간	시간/NNG
걸릴	걸리/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000041.177.3.1
“도로명주소 듣고 출동했다가 사건현장 못 찾아서 다시 지번주소 불러 달라고 했다.”(경찰관 A 씨)

“도로명주소	“/SS+도로명/NNG+주소/NNG
듣고	듣/VV+고/EC
출동했다가	출동/NNG+하/XSV+았/EP+다가/EC
사건현장	사건/NNG+현장/NNG
못	못/MAG
찾아서	찾/VV+아서/EC
다시	다시/MAG
지번주소	지번/NNG+주소/NNG
불러	부르/VV+어/EC
달라고	달/VX+라고/EC
했다.”(경찰관	하/VV+았/EP+다/EF+./SF+”/SS+(/SS+경찰관/NNG
A	A/SL
씨)	씨/NNB+)/SS


# id : NWRW1800000041.177.4.1
“우리 집은 성수동이고 아차산은 한참 먼데 왜 새 집주소가 아차산로인지 모르겠다. 생뚱맞다.”(주부 김모 씨)

“우리	“/SS+우리/NP
집은	집/NNG+은/JX
성수동이고	성수동/NNP+이/VCP+고/EC
아차산은	아차산/NNP+은/JX
한참	한참/NNG
먼데	멀/VA+ㄴ데/EC
왜	왜/MAG
새	새/MMA
집주소가	집/NNG+주소/NNG+가/JKS
아차산로인지	아차산로/NNP+이/VCP+ㄴ지/EC
모르겠다.	모르/VV+겠/EP+다/EF+./SF
생뚱맞다.”(주부	생뚱맞/VA+다/EF+./SF+”/SS+(/SS+주부/NNG
김모	김/NNP+모/NP
씨)	씨/NNB+)/SS


# id : NWRW1800000041.177.5.1
도로명주소 제도가 전면 시행된 새해 첫날, 곳곳에서 혼란스러운 풍경이 벌어졌다.

도로명주소	도로명/NNG+주소/NNG
제도가	제도/NNG+가/JKS
전면	전면/NNG
