# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.152
metadata : {}


# id : NWRW1800000038.152.1.1
"곤니치와" 사라진 관광명소 "니하오"가 채운다

"곤니치와"	"/SS+곤니치와/NNG+"/SS
사라진	사라지/VV+ㄴ/ETM
관광명소	관광/NNG+명소/NNG
"니하오"가	"/SS+니하오/NNG+"/SS+가/JKS
채운다	채우/VV+ㄴ다/EF


# id : NWRW1800000038.152.2.1
중국 관광객 수, 일본 앞질러… 서울 동대문·명동 가보니

중국	중국/NNP
관광객	관광객/NNG
수,	수/NNG+,/SP
일본	일본/NNP
앞질러…	앞지르/VV+어/EC+…/SE
서울	서울/NNP
동대문·명동	동대문/NNP+·/SP+명동/NNP
가보니	가/VV+아/EC+보/VX+니/EC


# id : NWRW1800000038.152.3.1
'중국 밀물, 일본 썰물.'

'중국	'/SS+중국/NNP
밀물,	밀물/NNG+,/SP
일본	일본/NNP
썰물.'	썰물/NNG+./SF+'/SS


# id : NWRW1800000038.152.4.1
일본 엔화 가치 하락으로 한국을 찾는 일본인 관광객이 빠져나가는 자리를 중국인 관광객들이 채우고 있다.

일본	일본/NNP
엔화	엔화/NNG
가치	가치/NNG
하락으로	하락/NNG+으로/JKB
한국을	한국/NNP+을/JKO
찾는	찾/VV+는/ETM
일본인	일본인/NNG
관광객이	관광객/NNG+이/JKS
빠져나가는	빠져나가/VV+는/ETM
자리를	자리/NNG+를/JKO
중국인	중국인/NNG
관광객들이	관광객/NNG+들/XSN+이/JKS
채우고	채우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.152.4.2
올해 한국을 찾는 중국인 관광객은 사상 처음 300만명을 돌파할 것으로 예상된다.

올해	올해/NNG
한국을	한국/NNP+을/JKO
찾는	찾/VV+는/ETM
중국인	중국인/NNG
관광객은	관광객/NNG+은/JX
사상	사상/NNG
처음	처음/NNG
300만명을	300/SN+만/NR+명/NNB+을/JKO
돌파할	돌파/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.152.5.1
