# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.125
metadata : {}


# id : NWRW1800000041.125.1.1
[책의 향기]부잣집 소년 ‘왕따 죽음’ 뒤에 숨어있는 진실

[책의	[/SS+책/NNG+의/JKG
향기]부잣집	향기/NNG+]/SS+부잣집/NNG
소년	소년/NNG
‘왕따	‘/SS+왕따/NNG
죽음’	죽음/NNG+’/SS
뒤에	뒤/NNG+에/JKB
숨어있는	숨/VV+어/EC+있/VX+는/ETM
진실	진실/NNG


# id : NWRW1800000041.125.2.1
◇침묵의 거리에서1·2/오쿠다 히데오 지음·최고은 옮김/각 권 376, 344쪽·각 권/1만2000원·민음사

◇침묵의	◇/SW+침묵/NNG+의/JKG
거리에서1·2/오쿠다	거리/NNG+에서/JKB+1/SN+·/SP+2/SN+//SP+오쿠다/NNP
히데오	히데오/NNP
지음·최고은	짓/VV+음/ETN+·/SP+최고은/NNP
옮김/각	옮기/VV+ㅁ/ETN+//SP+각/MMD
권	권/NNB
376,	376/SN+,/SP
344쪽·각	344/SN+쪽/NNG+·/SP+각/MMD
권/1만2000원·민음사	권/NNB+//SP+1/SN+만/NR+2000/SN+원/NNB+·/SP+민음사/NNP


# id : NWRW1800000041.125.3.1
일본의 한 지방도시 중학교에서 열세 살 소년 나구라가 숨진 채 발견된다.

일본의	일본/NNP+의/JKG
한	한/MMN
지방도시	지방/NNG+도시/NNG
중학교에서	중학교/NNG+에서/JKB
열세	열세/MMN
살	살/NNB
소년	소년/NNG
나구라가	나구라/NNP+가/JKS
숨진	숨지/VV+ㄴ/ETM
채	채/NNB
발견된다.	발견/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.125.3.2
2층 높이의 운동부 옥상 아래 도랑에 거꾸로 떨어져 숨을 거둔 것.

2층	2/SN+층/NNG
높이의	높이/NNG+의/JKG
운동부	운동부/NNG
옥상	옥상/NNG
아래	아래/NNG
도랑에	도랑/NNG+에/JKB
거꾸로	거꾸로/MAG
떨어져	떨어지/VV+어/EC
숨을	숨/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.125.3.3
애초 실족사처럼 보였던 이 사건은 경찰이 죽은 소년의 등에서 꼬집힌 흔적을 찾아내고 나구라가 소속된 테니스부 친구 네 명의 휴대전화에서 죽은 소년을 괴롭힌 문자메시지까지 발견하면서 학교폭력과 ‘왕따’로 인한 죽음으로 전국적인 관심의 대상이 된다.

애초	애초/NNG
실족사처럼	실족사/NNG+처럼/JKB
보였던	보이/VV+었/EP+던/ETM
이	이/MMD
사건은	사건/NNG+은/JX
경찰이	경찰/NNG+이/JKS
죽은	죽/VV+은/ETM
소년의	소년/NNG+의/JKG
등에서	등/NNG+에서/JKB
꼬집힌	꼬집히/VV+ㄴ/ETM
흔적을	흔적/NNG+을/JKO
찾아내고	찾아내/VV+고/EC
나구라가	나구라/NNP+가/JKS
소속된	소속/NNG+되/XSV+ㄴ/ETM
테니스부	테니스부/NNG
친구	친구/NNG
네	네/MMN
명의	명/NNB+의/JKG
휴대전화에서	휴대/NNG+전화/NNG+에서/JKB
소년을	소년/NNG+을/JKO
괴롭힌	괴롭히/VV+ㄴ/ETM
문자메시지까지	문자/NNG+메시지/NNG+까지/JX
발견하면서	발견/NNG+하/XSV+면서/EC
학교폭력과	학교/NNG+폭력/NNG+과/JC
‘왕따’로	‘/SS+왕따/NNG+’/SS+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
죽음으로	죽음/NNG+으로/JKB
전국적인	전국/NNG+적/XSN+이/VCP+ㄴ/ETM
관심의	관심/NNG+의/JKG
대상이	대상/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.125.4.1
‘공중그네’ ‘남쪽으로 튀어’처럼 순수문학과 장르문학의 경계를 넘나드는 작품으로 국내에서도 꽤 두꺼운 팬 층을 거느리고 있는 작가가 2011년 5월부터 이듬해 7월까지 일본 아사히신문에 연재했던 소설이다.

‘공중그네’	‘/SS+공중그네/NNP+’/SS
‘남쪽으로	‘/SS+남쪽/NNG+으로/JKB
튀어’처럼	튀/VV+어/EC+’/SS+처럼/JKB
순수문학과	순수/NNG+문학/NNG+과/JC
장르문학의	장르/NNG+문학/NNG+의/JKG
경계를	경계/NNG+를/JKO
넘나드는	넘나들/VV+는/ETM
작품으로	작품/NNG+으로/JKB
국내에서도	국내/NNG+에서/JKB+도/JX
꽤	꽤/MAG
두꺼운	두껍/VA+ㄴ/ETM
팬	팬/NNG
층을	층/NNG+을/JKO
거느리고	거느리/VV+고/EC
있는	있/VX+는/ETM
작가가	작가/NNG+가/JKS
2011년	2011/SN+년/NNB
5월부터	5/SN+월/NNB+부터/JX
이듬해	이듬해/NNG
7월까지	7/SN+월/NNB+까지/JX
일본	일본/NNP
아사히신문에	아사히신문/NNP+에/JKB
연재했던	연재/NNG+하/XSV+았/EP+던/ETM
소설이다.	소설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.125.4.2
연재가 한창 진행 중일 때 일본에서 소설 설정과 비슷한 중학생 자살 사건이 발생해 소설도 큰 주목을 받았다.

연재가	연재/NNG+가/JKS
한창	한창/MAG
진행	진행/NNG
중일	중/NNB+이/VCP+ㄹ/ETM
때	때/NNG
일본에서	일본/NNP+에서/JKB
소설	소설/NNG
설정과	설정/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
중학생	중학/NNG+생/XSN
자살	자살/NNG
사건이	사건/NNG+이/JKS
발생해	발생/NNG+하/XSV+아/EC
