# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.277
metadata : {}


# id : NWRW1800000025.277.1.1
김치 없이 못사는 한국인에게 ‘잔인한 가을’

김치	김치/NNG
없이	없이/MAG
못사는	못/MAG+살/VV+는/ETM
한국인에게	한국인/NNG+에게/JKB
‘잔인한	‘/SS+잔인/NNG+하/XSA+ㄴ/ETM
가을’	가을/NNG+’/SS


# id : NWRW1800000025.277.2.1
■채소값 뛰니 물가 들썩… 신선식품 작년比 44.5% 사상최대 폭등

■채소값	■/SW+채소/NNG+값/NNG
뛰니	뛰/VV+니/EC
물가	물가/NNG
들썩…	들썩/MAG+…/SE
신선식품	신선식품/NNG
작년比	작년/NNG+比/SH
44.5%	44/SN+./SP+5/SN+%/SW
사상최대	사상/NNG+최대/NNG
폭등	폭등/NNG


# id : NWRW1800000025.277.3.1
채소 가격 오름세가 멈추지 않고 지난달에는 사상 최대의 폭등세를 보였다.

채소	채소/NNG
가격	가격/NNG
오름세가	오름세/NNG+가/JKS
멈추지	멈추/VV+지/EC
않고	않/VX+고/EC
지난달에는	지난달/NNG+에/JKB+는/JX
사상	사상/NNG
최대의	최대/NNG+의/JKG
폭등세를	폭등세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.277.3.2
이른바 ‘밥상물가’인 신선식품지수는 지난해 9월 대비 45.5%나 올랐다.

이른바	이른바/MAG
‘밥상물가’인	‘/SS+밥상/NNG+물가/NNG+’/SS+이/VCP+ㄴ/ETM
신선식품지수는	신선식품/NNG+지수/NNG+는/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
대비	대비/NNG
45.5%나	45/SN+./SP+5/SN+%/SW+나/JX
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.3.3
1990년 물가 통계 작성 이래 최대이다.

1990년	1990/SN+년/NNB
물가	물가/NNG
통계	통계/NNG
작성	작성/NNG
이래	이래/NNB
최대이다.	최대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.277.3.4
천정부지의 채소 가격은 전체 소비자물가도 3.6%나 상승시켰다.

천정부지의	천정부지/NNG+의/JKG
채소	채소/NNG
가격은	가격/NNG+은/JX
전체	전체/NNG
소비자물가도	소비자/NNG+물가/NNG+도/JX
3.6%나	3/SN+./SP+6/SN+%/SW+나/JX
상승시켰다.	상승/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.277.3.5
1월(3.1%) 이후 2∼8월의 소비자물가는 2%대(2.3∼2.7%)를 유지해 왔다.

1월(3.1%)	1/SN+월/NNB+(/SS+3/SN+./SP+1/SN+%/SW+)/SS
이후	이후/NNG
2∼8월의	2/SN+∼/SO+8/SN+월/NNB+의/JKG
소비자물가는	소비자/NNG+물가/NNG+는/JX
2%대(2.3∼2.7%)를	2/SN+%/SW+대/XSN+(/SS+2/SN+./SP+3/SN+∼/SO+2/SN+./SP+7/SN+%/SW+)/SS+를/JKO
유지해	유지/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.277.4.1
1일 통계청의 ‘9월 소비자물가 동향’에 따르면 최근 ‘금(金)추’로 불리는 상추가 전년 동기 대비 233.6% 폭등한 것을 비롯해 호박 219.9%, 열무 205.6%, 무 165.6%, 시금치 151.4%, 오이 133.7%, 배추 118.9%의 물가 상승률을 보였다.

1일	1/SN+일/NNB
통계청의	통계청/NNG+의/JKG
‘9월	‘/SS+9/SN+월/NNB
소비자물가	소비자/NNG+물가/NNG
동향’에	동향/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
최근	최근/NNG
