# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.29
metadata : {}


# id : NWRW1800000049.29.1.1
[위기관리 경영]‘성장 절벽’ 이동통신 시장 ‘플랫폼 개방’으로 돌파

[위기관리	[/SS+위기관리/NNG
경영]‘성장	경영/NNG+]/SS+‘/SS+성장/NNG
절벽’	절벽/NNG+’/SS
이동통신	이동/NNG+통신/NNG
시장	시장/NNG
‘플랫폼	‘/SS+플랫폼/NNG
개방’으로	개방/NNG+’/SS+으로/JKB
돌파	돌파/NNG


# id : NWRW1800000049.29.2.1
SK텔레콤은 ‘성장 절벽’에 직면한 국내 이동통신 시장에서 ‘플랫폼 개방’으로 지속 생존과 발전을 모색 중이다.

SK텔레콤은	SK텔레콤/NNP+은/JX
‘성장	‘/SS+성장/NNG
절벽’에	절벽/NNG+’/SS+에/JKB
직면한	직면/NNG+하/XSV+ㄴ/ETM
국내	국내/NNG
이동통신	이동/NNG+통신/NNG
시장에서	시장/NNG+에서/JKB
‘플랫폼	‘/SS+플랫폼/NNG
개방’으로	개방/NNG+’/SS+으로/JKB
지속	지속/NNG
생존과	생존/NNG+과/JKB
발전을	발전/NNG+을/JKO
모색	모색/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.29.3.1
SK텔레콤은 통신을 넘어서는 혁신적인 가치 마련이 필수적으로 요구된다는 점에 주목하고 그 해법으로 차세대 플랫폼 사업자로의 변혁을 내세웠다.

SK텔레콤은	SK텔레콤/NNP+은/JX
통신을	통신/NNG+을/JKO
넘어서는	넘어서/VV+는/ETM
혁신적인	혁신/NNG+적/XSN+이/VCP+ㄴ/ETM
가치	가치/NNG
마련이	마련/NNG+이/JKS
필수적으로	필수/NNG+적/XSN+으로/JKB
요구된다는	요구/NNG+되/XSV+ㄴ다는/ETM
점에	점/NNG+에/JKB
주목하고	주목/NNG+하/XSV+고/EC
그	그/MMD
해법으로	해법/NNG+으로/JKB
차세대	차세대/NNG
플랫폼	플랫폼/NNG
사업자로의	사업자/NNG+로/JKB+의/JKG
변혁을	변혁/NNG+을/JKO
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.29.3.2
이를 위해 SK텔레콤은 자사(自社) 핵심서비스인 ‘T맵’을 비롯해 ‘T전화’ ‘클라우드베리’ 등을 잇달아 다른 통신사 가입자들에게 개방했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
SK텔레콤은	SK텔레콤/NNP+은/JX
자사(自社)	자사/NNG+(/SS+自社/SH+)/SS
핵심서비스인	핵심/NNG+서비스/NNG+이/VCP+ㄴ/ETM
‘T맵’을	‘/SS+T맵/NNP+’/SS+을/JKO
비롯해	비롯하/VV+아/EC
‘T전화’	‘/SS+T/SL+전화/NNG+’/SS
‘클라우드베리’	‘/SS+클라우드베리/NNP+’/SS
등을	등/NNB+을/JKO
잇달아	잇달/VV+아/EC
다른	다른/MMD
통신사	통신사/NNG
가입자들에게	가입자/NNG+들/XSN+에게/JKB
개방했다.	개방/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.29.4.1
SK텔레콤은 7월에 국내 1위 모바일 내비게이션인 T맵을 전 국민에게 무료로 개방한 후 20일 만에 타사 가입자 100만 명을 확보했다.

SK텔레콤은	SK텔레콤/NNP+은/JX
7월에	7/SN+월/NNB+에/JKB
국내	국내/NNG
1위	1/SN+위/NNB
모바일	모바일/NNG
내비게이션인	내비게이션/NNG+이/VCP+ㄴ/ETM
T맵을	T맵/NNP+을/JKO
전	전/MMN
국민에게	국민/NNG+에게/JKB
무료로	무료/NNG+로/JKB
개방한	개방/NNG+하/XSV+ㄴ/ETM
후	후/NNG
20일	20/SN+일/NNB
만에	만/NNB+에/JKB
타사	타사/NNG
가입자	가입자/NNG
100만	100/SN+만/NR
명을	명/NNB+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.29.5.1
SK텔레콤은 T맵의 플랫폼화를 통해 생활가치, 사물인터넷(IoT) 플랫폼 및 커넥티드 카, 전기차 사업 등 잠재적 미래 성장 사업에 진출할 예정이다.

SK텔레콤은	SK텔레콤/NNP+은/JX
T맵의	T맵/NNP+의/JKG
플랫폼화를	플랫폼/NNG+화/XSN+를/JKO
통해	통하/VV+아/EC
생활가치,	생활/NNG+가치/NNG+,/SP
사물인터넷(IoT)	사물/NNG+인터넷/NNG+(/SS+IoT/SL+)/SS
플랫폼	플랫폼/NNG
및	및/MAG
커넥티드	커넥티드/NNG
카,	카/NNG+,/SP
전기차	전기/NNG+차/NNG
사업	사업/NNG
등	등/NNB
잠재적	잠재/NNG+적/XSN
미래	미래/NNG
성장	성장/NNG
사업에	사업/NNG+에/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.29.6.1
앞서 SK텔레콤은 통화 플랫폼인 T전화를 모든 이용자에게 개방해 8월 기준 가입자 1000만 명을 확보하는 성과를 거뒀다.

앞서	앞서/MAG
SK텔레콤은	SK텔레콤/NNP+은/JX
통화	통화/NNG
플랫폼인	플랫폼/NNG+이/VCP+ㄴ/ETM
T전화를	T/SL+전화/NNG+를/JKO
모든	모든/MMN
이용자에게	이용자/NNG+에게/JKB
개방해	개방/NNG+하/XSV+아/EC
8월	8/SN+월/NNB
기준	기준/NNG
가입자	가입자/NNG
1000만	1000/SN+만/NR
명을	명/NNB+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
성과를	성과/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.29.6.2
이외에 통신사에 관계없이 누구나 이용할 수 있는 클라우드 서비스인 클라우드베리도 선보여 플랫폼 개방 기세를 몰아가고 있다.

이외에	이외/NNG+에/JKB
통신사에	통신사/NNG+에/JKB
관계없이	관계없이/MAG
누구나	누구/NP+나/JX
