# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.115
metadata : {}


# id : NWRW1800000041.115.1.1
재미작가 김지원 1주기 맞아 ‘소설 선집’ 총 3권 출간

재미작가	재미/NNG+작가/NNG
김지원	김지원/NNP
1주기	1/SN+주기/NNB
맞아	맞/VV+아/EC
‘소설	‘/SS+소설/NNG
선집’	선집/NNG+’/SS
총	총/MMA
3권	3/SN+권/NNB
출간	출간/NNG


# id : NWRW1800000041.115.2.1
재미 소설가 김지원(1942∼2013·사진)의 1주기를 맞아 ‘김지원 소설 선집’(작가정신)이 총 3권으로 나왔다.

재미	재미/NNG
소설가	소설가/NNG
김지원(1942∼2013·사진)의	김지원/NNP+(/SS+1942/SN+∼/SO+2013/SN+·/SP+사진/NNG+)/SS+의/JKG
1주기를	1/SN+주기/NNB+를/JKO
맞아	맞/VV+아/EC
‘김지원	‘/SS+김지원/NNP
소설	소설/NNG
선집’(작가정신)이	선집/NNG+’/SS+(/SS+작가정신/NNP+)/SS+이/JKS
총	총/MMA
3권으로	3/SN+권/NNB+으로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.115.2.2
1963년 잡지 ‘여원’에 당선된 첫 소설 ‘늪 주변’, 1975년 현대문학 등단작 ‘사랑의 기쁨’부터 1997년 이상문학상 수상작 ‘사랑의 예감’까지 중단편 20편을 묶었다.

1963년	1963/SN+년/NNB
잡지	잡지/NNG
‘여원’에	‘/SS+여원/NNP+’/SS+에/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
첫	첫/MMN
소설	소설/NNG
‘늪	‘/SS+늪/NNG
주변’,	주변/NNG+’/SS+,/SP
1975년	1975/SN+년/NNB
현대문학	현대/NNG+문학/NNG
등단작	등단작/NNG
‘사랑의	‘/SS+사랑/NNG+의/JKG
기쁨’부터	기쁨/NNG+’/SS+부터/JX
1997년	1997/SN+년/NNB
이상문학상	이상/NNP+문학상/NNG
수상작	수상작/NNG
예감’까지	예감/NNG+’/SS+까지/JX
중단편	중단편/NNG
20편을	20/SN+편/NNB+을/JKO
묶었다.	묶/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.115.3.1
김지원의 소설은 미국이라는 낯선 나라, 남성 중심의 가부장적 세계에서 이방인이었던 여성의 삶과 정체성을 탐구했다.

김지원의	김지원/NNP+의/JKG
소설은	소설/NNG+은/JX
미국이라는	미국/NNP+이/VCP+라는/ETM
낯선	낯설/VA+ㄴ/ETM
나라,	나라/NNG+,/SP
남성	남성/NNG
중심의	중심/NNG+의/JKG
가부장적	가부장/NNG+적/XSN
세계에서	세계/NNG+에서/JKB
이방인이었던	이방인/NNG+이/VCP+었/EP+던/ETM
여성의	여성/NNG+의/JKG
삶과	삶/NNG+과/JC
정체성을	정체/NNG+성/XSN+을/JKO
탐구했다.	탐구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.115.3.2
맑고 섬세한 감수성과 아름답지만 절제된 문체를 지녔다는 평가를 받는다.

맑고	맑/VA+고/EC
섬세한	섬세하/VA+ㄴ/ETM
감수성과	감수/NNG+성/XSN+과/JC
아름답지만	아름답/VA+지만/EC
절제된	절제/NNG+되/XSV+ㄴ/ETM
문체를	문체/NNG+를/JKO
지녔다는	지니/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000041.115.4.1
작가는 한국 근대문학 최초의 장편 서사시 ‘국경의 밤’을 쓴 시인 김동환(1901∼?)과 소설가 최정희(1906∼1990)의 큰딸로 이화여대에서 영문학을 전공했다.

작가는	작가/NNG+는/JX
한국	한국/NNP
근대문학	근대/NNG+문학/NNG
최초의	최초/NNG+의/JKG
장편	장편/NNG
서사시	서사시/NNG
‘국경의	‘/SS+국경/NNG+의/JKG
밤’을	밤/NNG+’/SS+을/JKO
쓴	쓰/VV+ㄴ/ETM
시인	시인/NNG
김동환(1901∼?)과	김동환/NNP+(/SS+1901/SN+∼/SO+?/SF+)/SS+과/JC
소설가	소설가/NNG
최정희(1906∼1990)의	최정희/NNP+(/SS+1906/SN+∼/SO+1990/SN+)/SS+의/JKG
큰딸로	큰딸/NNG+로/JKB
이화여대에서	이화여대/NNP+에서/JKB
영문학을	영문학/NNG+을/JKO
전공했다.	전공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.115.4.2
1973년 미국 뉴욕으로 이민을 가서 그곳에서 세상과 이별했다.

1973년	1973/SN+년/NNB
미국	미국/NNP
뉴욕으로	뉴욕/NNP+으로/JKB
이민을	이민/NNG+을/JKO
가서	가/VV+아서/EC
그곳에서	그곳/NP+에서/JKB
세상과	세상/NNG+과/JKB
이별했다.	이별/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.115.4.3
본명은 아란이며, 지원이라는 필명은 소설가 김동리가 지어줬다.

본명은	본명/NNG+은/JX
아란이며,	아란/NNP+이/VCP+며/EC+,/SP
지원이라는	지원/NNP+이/VCP+라는/ETM
필명은	필명/NNG+은/JX
소설가	소설가/NNG
김동리가	김동리/NNP+가/JKS
지어줬다.	짓/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.115.5.1
소설가인 동생 김채원(68)은 이번 소설 선집 출간을 주저했다고 책의 첫머리에 적었다.

소설가인	소설가/NNG+이/VCP+ㄴ/ETM
동생	동생/NNG
김채원(68)은	김채원/NNP+(/SS+68/SN+)/SS+은/JX
이번	이번/NNG
소설	소설/NNG
선집	선집/NNG
출간을	출간/NNG+을/JKO
주저했다고	주저/NNG+하/XSV+았/EP+다고/EC
책의	책/NNG+의/JKG
첫머리에	첫머리/NNG+에/JKB
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.115.5.2
생전의 작가가 자신의 흔적을 전부 지우고 싶어 했다는 것이다.

생전의	생전/NNG+의/JKG
작가가	작가/NNG+가/JKS
자신의	자신/NNG+의/JKG
흔적을	흔적/NNG+을/JKO
전부	전부/MAG
지우고	지우/VV+고/EC
싶어	싶/VX+어/EC
했다는	하/VX+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.115.5.3
그러나 동생은 “언니가 독자들에게 줄 수 있는 선물이 이것뿐이기 때문이다.

그러나	그러나/MAJ
동생은	동생/NNG+은/JX
“언니가	“/SS+언니/NNG+가/JKS
독자들에게	독자/NNG+들/XSN+에게/JKB
줄	주/VV+ㄹ/ETM
수	수/NNB
