# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.419
metadata : {}


# id : NWRW1800000038.419.1.1
敎文委 소속 서상기, 피감기관 증인석에 앉은 까닭은?

敎文委	敎文委/SH
소속	소속/NNG
서상기,	서상기/NNP+,/SP
피감기관	피감/NNG+기관/NNG
증인석에	증인석/NNG+에/JKB
앉은	앉/VV+은/ETM
까닭은?	까닭/NNG+은/JX+?/SF


# id : NWRW1800000038.419.2.1
감사 대상 생체협 회장 자격… 野 "상임위 바꾸든지 사임하든지"

감사	감사/NNG
대상	대상/NNG
생체협	생체협/NNG
회장	회장/NNG
자격…	자격/NNG+…/SE
野	野/SH
"상임위	"/SS+상임위/NNG
바꾸든지	바꾸/VV+든지/EC
사임하든지"	사임/NNG+하/XSV+든지/EC+"/SS


# id : NWRW1800000038.419.3.1
21일 열린 국회 교육문화체육관광위(교문위) 국정감사에서 이 상임위 소속인 새누리당 서상기 의원은 의원석이 아닌 피감 기관 증인석에 앉았다.

21일	21/SN+일/NNB
열린	열리/VV+ㄴ/ETM
국회	국회/NNG
교육문화체육관광위(교문위)	교육/NNG+문화/NNG+체육/NNG+관광위/NNG+(/SS+교문위/NNG+)/SS
국정감사에서	국정/NNG+감사/NNG+에서/JKB
이	이/MMD
상임위	상임위/NNG
소속인	소속/NNG+이/VCP+ㄴ/ETM
새누리당	새누리당/NNP
서상기	서상기/NNP
의원은	의원/NNG+은/JX
의원석이	의원석/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
피감	피감/NNG
기관	기관/NNG
증인석에	증인석/NNG+에/JKB
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.419.3.2
교문위의 감사 대상인 국민생활체육회(생체협) 회장을 지난 4월부터 맡고 있기 때문이었다.

교문위의	교문위/NNG+의/JKG
감사	감사/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
국민생활체육회(생체협)	국민/NNG+생활/NNG+체육회/NNG+(/SS+생체협/NNG+)/SS
회장을	회장/NNG+을/JKO
지난	지나/VV+ㄴ/ETM
4월부터	4/SN+월/NNB+부터/JX
맡고	맡/VV+고/EC
있기	있/VX+기/ETN
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.419.4.1
