# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.85
metadata : {}


# id : NWRW1800000038.85.1.1
'김 병사' 왜 이리 웃겨?… 요즘 예능, 일반인 출연자 뜬다

'김	'/SS+김/NNP
병사'	병사/NNG+'/SS
왜	왜/MAG
이리	이리/MAG
웃겨?…	웃기/VV+어/EF+?/SF+…/SE
요즘	요즘/NNG
예능,	예능/NNG+,/SP
일반인	일반인/NNG
출연자	출연자/NNG
뜬다	뜨/VV+ㄴ다/EF


# id : NWRW1800000038.85.2.1
가공되지 않은 모습에 호응, 연예인보다 분량 더 많기도… TV 출연 '후유증' 우려돼

가공되지	가공/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
모습에	모습/NNG+에/JKB
호응,	호응/NNG+,/SP
연예인보다	연예인/NNG+보다/JKB
분량	분량/NNG
더	더/MAG
많기도…	많/VA+기/ETN+도/JX+…/SE
TV	TV/SL
출연	출연/NNG
'후유증'	'/SS+후유증/NNG+'/SS
우려돼	우려/NNG+되/XSV+어/EF


# id : NWRW1800000038.85.3.1
지난 25일 MBC '일밤―진짜사나이'가 끝난 뒤 '김형근'이란 이름이 인터넷에서 화제가 됐다.

지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
MBC	MBC/SL
'일밤―진짜사나이'가	'/SS+일밤/NNG+―/SS+진짜/NNG+사나이/NNG+'/SS+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
'김형근'이란	'/SS+김형근/NNP+'/SS+이/VCP+란/ETM
이름이	이름/NNG+이/JKS
인터넷에서	인터넷/NNG+에서/JKB
화제가	화제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.85.3.2
그는 이기자부대 일반 병사.

그는	그/NP+는/JX
이기자부대	이기자/NNP+부대/NNG
일반	일반/NNG
병사.	병사/NNG+./SF


# id : NWRW1800000038.85.3.3
밀려오는 잠을 쫓기 위해 안간힘을 쓰고 순진하게 웃는 모습에 시청자들이 반색한 것.

밀려오는	밀려오/VV+는/ETM
잠을	잠/NNG+을/JKO
쫓기	쫓/VV+기/ETN
위해	위하/VV+아/EC
안간힘을	안간힘/NNG+을/JKO
쓰고	쓰/VV+고/EC
순진하게	순진/NNG+하/XSA+게/EC
웃는	웃/VV+는/ETM
모습에	모습/NNG+에/JKB
시청자들이	시청자/NNG+들/XSN+이/JKS
반색한	반색/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000038.85.3.4
18일 프로가 끝난 후엔 풍부한 군사 지식과 40시간 무박 훈련 중 졸음이 온다며 자진해 얼차려를 받은 교육생 '장아론'이 검색어 1위에 올랐다.

18일	18/SN+일/NNB
프로가	프로/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
후엔	후/NNG+에/JKB+ㄴ/JX
풍부한	풍부하/VA+ㄴ/ETM
군사	군사/NNG
지식과	지식/NNG+과/JC
40시간	40/SN+시간/NNB
무박	무박/NNG
훈련	훈련/NNG
중	중/NNB
졸음이	졸음/NNG+이/JKS
온다며	오/VV+ㄴ다며/EC
자진해	자진/NNG+하/XSV+아/EC
얼차려를	얼차려/NNG+를/JKO
받은	받/VV+은/ETM
교육생	교육/NNG+생/XSN
'장아론'이	'/SS+장아론/NNP+'/SS+이/JKS
검색어	검색어/NNG
1위에	1/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.85.3.5
KBS '우리동네 예체능'에서도 비(非)연예인들이 맹활약 중이다.

KBS	KBS/SL
'우리동네	'/SS+우리/NP+동네/NNG
예체능'에서도	예체능/NNG+'/SS+에서/JKB+도/JX
비(非)연예인들이	비/XPN+(/SS+非/SH+)/SS+연예인/NNG+들/XSN+이/JKS
맹활약	맹활약/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.85.3.6
연예인팀 대(對) 부산 두구동팀의 배드민턴 경기가 펼쳐진 20일 '우리동네 예체능'은 자체 최고 시청률(8.4%·닐슨코리아 전국 가구 기준)을 기록하며 동 시간대 시청률 1위를 달렸다.

연예인팀	연예인/NNG+팀/NNG
대(對)	대/NNB+(/SS+對/SH+)/SS
부산	부산/NNP
두구동팀의	두구동/NNP+팀/NNG+의/JKG
배드민턴	배드민턴/NNG
경기가	경기/NNG+가/JKS
펼쳐진	펼쳐지/VV+ㄴ/ETM
20일	20/SN+일/NNB
'우리동네	'/SS+우리/NP+동네/NNG
예체능'은	예체능/NNG+'/SS+은/JX
자체	자체/NNG
최고	최고/NNG
시청률(8.4%·닐슨코리아	시청/NNG+률/XSN+(/SS+8/SN+./SP+4/SN+%/SW+·/SP+닐슨코리아/NNP
전국	전국/NNG
가구	가구/NNG
기준)을	기준/NNG+)/SS+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
동	동/MMD
시간대	시간대/NNG
시청률	시청/NNG+률/XSN
1위를	1/SN+위/NNB+를/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.85.4.1
'일반인'들이 TV 예능 프로 흥행의 블루칩으로 뜨고 있다.

'일반인'들이	'/SS+일반인/NNG+'/SS+들/XSN+이/JKS
TV	TV/SL
예능	예능/NNG
프로	프로/NNG
흥행의	흥행/NNG+의/JKG
블루칩으로	블루칩/NNG+으로/JKB
뜨고	뜨/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.85.4.2
단순 게스트가 아닌 어엿한 주축이다.

단순	단순/NNG
게스트가	게스트/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
어엿한	어엿하/VA+ㄴ/ETM
주축이다.	주축/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.85.4.3
'일반인 특수(特需)'가 가장 뚜렷한 장르는 리얼버라이어티.

'일반인	'/SS+일반인/NNG
특수(特需)'가	특수/NNG+(/SS+特需/SH+)/SS+'/SS+가/JKS
가장	가장/MAG
뚜렷한	뚜렷하/VA+ㄴ/ETM
장르는	장르/NNG+는/JX
리얼버라이어티.	리얼/NNG+버라이어티/NNG+./SF


# id : NWRW1800000038.85.4.4
MBC '일밤―아빠! 어디가?'의 다섯 꼬마와 SBS '짝'의 일반인 미혼 남녀들이 대표적이다.

MBC	MBC/SL
'일밤―아빠!	'/SS+일밤/NNG+―/SS+아빠/NNG+!/SF
어디가?'의	어디/NP+가/VV+아/EF+?/SF+'/SS+의/JKG
다섯	다섯/NR
꼬마와	꼬마/NNG+와/JC
SBS	SBS/SL
'짝'의	'/SS+짝/NNG+'/SS+의/JKG
일반인	일반인/NNG
미혼	미혼/NNG
남녀들이	남녀/NNG+들/XSN+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.85.4.5
예능 속 일반인들은 연예인들처럼 튀려고 콘셉트를 잡지 않는다.

예능	예능/NNG
속	속/NNG
일반인들은	일반인/NNG+들/XSN+은/JX
연예인들처럼	연예인/NNG+들/XSN+처럼/JKB
튀려고	튀/VV+려고/EC
콘셉트를	콘셉트/NNG+를/JKO
잡지	잡/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000038.85.4.6
뻔하지 않은 입담과 진지한 태도도 시청자들에겐 매력 포인트다.

뻔하지	뻔하/VA+지/EC
않은	않/VX+은/ETM
입담과	입담/NNG+과/JC
진지한	진지하/VA+ㄴ/ETM
태도도	태도/NNG+도/JX
시청자들에겐	시청자/NNG+들/XSN+에게/JKB+ㄴ/JX
매력	매력/NNG
포인트다.	포인트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.85.4.7
'짝' 연출자 남규홍 PD는 "가공된 연예인들에게서 느낄 수 없었던 천연의 맛에 끌리는 것"이라며 "알려지지 않은 일반인들의 모습이 포맷과 잘 맞아떨어지면 연예인 못지않은 파괴력을 낼 수 있다"고 말했다.

'짝'	'/SS+짝/NNG+'/SS
연출자	연출자/NNG
남규홍	남규홍/NNP
PD는	PD/SL+는/JX
"가공된	"/SS+가공/NNG+되/XSV+ㄴ/ETM
연예인들에게서	연예인/NNG+들/XSN+에게서/JKB
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
