# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.346
metadata : {}


# id : NWRW1800000046.346.1.1
李총리 교체로 가닥

李총리	李/SH+총리/NNG
교체로	교체/NNG+로/JKB
가닥	가닥/NNG


# id : NWRW1800000046.346.2.1
"朴대통령 南美 다녀와 상황 반전 없다면 불가피"

"朴대통령	"/SS+朴/SH+대통령/NNG
南美	南美/SH
다녀와	다녀오/VV+아/EC
상황	상황/NNG
반전	반전/NNG
없다면	없/VA+다면/EC
불가피"	불가피/XR+"/SS


# id : NWRW1800000046.346.3.1
박근혜 대통령은 16일 새누리당 김무성 대표와 가진 청와대 긴급 회동에서 성완종 전 경남기업 회장으로부터 불법 정치자금 수수 의혹을 받고 있는 이완구 국무총리 거취와 관련해 "(남미 4개국 순방을) 다녀와서 결정하겠다"고 밝혔다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
16일	16/SN+일/NNB
새누리당	새누리당/NNP
김무성	김무성/NNP
대표와	대표/NNG+와/JKB
가진	가지/VV+ㄴ/ETM
청와대	청와대/NNP
긴급	긴급/NNG
회동에서	회동/NNG+에서/JKB
성완종	성완종/NNP
전	전/MMD
경남기업	경남기업/NNP
회장으로부터	회장/NNG+으로부터/JKB
불법	불법/NNG
정치자금	정치/NNG+자금/NNG
수수	수수/NNG
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
이완구	이완구/NNP
국무총리	국무총리/NNG
거취와	거취/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
"(남미	"/SS+(/SS+남미/NNP
4개국	4/SN+개국/NNB
순방을)	순방/NNG+을/JKO+)/SS
다녀와서	다녀오/VV+아서/EC
결정하겠다"고	결정/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.346.3.2
박 대통령은 이날 오후 남미 4개국 순방을 떠나기에 앞서 김 대표와 가진 회동에서 이같이 말했다고 김 대표가 전했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
남미	남미/NNP
4개국	4/SN+개국/NNB
순방을	순방/NNG+을/JKO
떠나기에	떠나/VV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
김	김/NNP
대표와	대표/NNG+와/JKB
가진	가지/VV+ㄴ/ETM
회동에서	회동/NNG+에서/JKB
이같이	이/NP+같이/JKB
말했다고	말/NNG+하/XSV+았/EP+다고/EC
대표가	대표/NNG+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.346.3.3
이와 관련, 여권(與圈) 핵심 관계자는 '두 사람 간 회동에서 이 총리를 교체하는 쪽으로 정리가 됐느냐'는 질문에 "박 대통령이 귀국할 때까지 특별한 상황의 반전이 없다면 그런 방향으로 가는 것으로 얘기가 됐다"고 전했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
여권(與圈)	여권/NNG+(/SS+與圈/SH+)/SS
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
'두	'/SS+두/MMN
사람	사람/NNG
간	간/NNB
회동에서	회동/NNG+에서/JKB
이	이/NNP
총리를	총리/NNG+를/JKO
교체하는	교체/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
정리가	정리/NNG+가/JKC
됐느냐'는	되/VV+었/EP+느냐/EF+'/SS+는/ETM
질문에	질문/NNG+에/JKB
"박	"/SS+박/NNP
대통령이	대통령/NNG+이/JKS
귀국할	귀국/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
상황의	상황/NNG+의/JKG
반전이	반전/NNG+이/JKS
없다면	없/VA+다면/EC
그런	그런/MMD
방향으로	방향/NNG+으로/JKB
가는	가/VV+는/ETM
것으로	것/NNB+으로/JKB
얘기가	얘기/NNG+가/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.346.4.1
이 관계자는 "그런(교체하는) 쪽으로 한 건 맞지만, 문제는 12일이라는 시간 동안에 상황의 변화가 있다는 점을 (박 대통령과 김 대표가) 고려하지 않을 수 없었다"면서 "대통령이 없는 동안의 국정 공백 문제도 있어서 일단 (다녀와서 결정하겠다는) 그런 발표가 이뤄진 것"이라고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"그런(교체하는)	"/SS+그런/MMD+(/SS+교체/NNG+하/XSV+는/ETM+)/SS
쪽으로	쪽/NNB+으로/JKB
한	하/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
맞지만,	맞/VV+지만/EC+,/SP
문제는	문제/NNG+는/JX
12일이라는	12/SN+일/NNB+이/VCP+라는/ETM
시간	시간/NNG
동안에	동안/NNG+에/JKB
상황의	상황/NNG+의/JKG
변화가	변화/NNG+가/JKS
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
(박	(/SS+박/NNP
대통령과	대통령/NNG+과/JC
김	김/NNP
대표가)	대표/NNG+가/JKS+)/SS
고려하지	고려/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없었다"면서	없/VA+었/EP+다/EF+"/SS+면서/EC
"대통령이	"/SS+대통령/NNG+이/JKS
없는	없/VA+는/ETM
동안의	동안/NNG+의/JKG
국정	국정/NNG
공백	공백/NNG
문제도	문제/NNG+도/JX
있어서	있/VA+어서/EC
일단	일단/MAG
(다녀와서	(/SS+다녀오/VV+아서/EC
결정하겠다는)	결정/NNG+하/XSV+겠/EP+다는/ETM+)/SS
그런	그런/MMD
발표가	발표/NNG+가/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.346.4.2
이에 따라 박 대통령이 중남미 순방을 마치고 귀국하는 27일까지도 이 총리의 혐의가 해소될 정도의 상황이 없으면 청와대 차원의 조치가 나올 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
박	박/NNP
대통령이	대통령/NNG+이/JKS
중남미	중남미/NNP
순방을	순방/NNG+을/JKO
마치고	마치/VV+고/EC
귀국하는	귀국/NNG+하/XSV+는/ETM
27일까지도	27/SN+일/NNB+까지/JX+도/JX
이	이/NNP
