# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.411
metadata : {}


# id : NWRW1800000054.411.1.1
文 "이번엔 꼭 제재해야"… 푸틴 "北 몰아세우지 말라"

文	文/SH
"이번엔	"/SS+이번/NNG+에/JKB+ㄴ/JX
꼭	꼭/MAG
제재해야"…	제재/NNG+하/XSV+아야/EC+"/SS+…/SE
푸틴	푸틴/NNP
"北	"/SS+北/SH
몰아세우지	몰아세우/VV+지/EC
말라"	말/VX+라/EF+"/SS


# id : NWRW1800000054.411.2.1
韓·러시아 정상회담, '좁혀지지 않는 거리'만 재확인

韓·러시아	韓/SH+·/SP+러시아/NNP
정상회담,	정상/NNG+회담/NNG+,/SP
'좁혀지지	'/SS+좁히/VV+어/EC+지/VX+지/EC
않는	않/VX+는/ETM
거리'만	거리/NNG+'/SS+만/JX
재확인	재/XPN+확인/NNG


# id : NWRW1800000054.411.3.1
문재인 대통령은 5일 한·러 정상회담에서 북한에 대한 원유 공급 중단 같은 강력한 대북(對北) 제재 동참을 푸틴 대통령에게 요구했다.

문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
5일	5/SN+일/NNB
한·러	한·러/NNP
정상회담에서	정상/NNG+회담/NNG+에서/JKB
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
원유	원유/NNG
공급	공급/NNG
중단	중단/NNG
같은	같/VA+은/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
대북(對北)	대북/NNG+(/SS+對北/SH+)/SS
제재	제재/NNG
동참을	동참/NNG+을/JKO
푸틴	푸틴/NNP
대통령에게	대통령/NNG+에게/JKB
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.411.3.2
문 대통령은 원래 이번 정상회담을 통해 남북 대화와 북핵 문제의 평화적 해결이라는 자신의 대북 구상에 대한 공감대를 러시아와 만들려 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
원래	원래/MAG
이번	이번/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
통해	통하/VV+아/EC
남북	남북/NNP
대화와	대화/NNG+와/JC
북핵	북핵/NNG
문제의	문제/NNG+의/JKG
평화적	평화/NNG+적/XSN
해결이라는	해결/NNG+이/VCP+라는/ETM
자신의	자신/NNG+의/JKG
대북	대북/NNG
구상에	구상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공감대를	공감대/NNG+를/JKO
러시아와	러시아/NNP+와/JKB
만들려	만들/VV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.411.3.3
그러나 북한의 핵실험으로 문 대통령은 '제재 강화'를 얘기하고, 푸틴 대통령은 거부하는 회담이 됐다.

그러나	그러나/MAJ
북한의	북한/NNP+의/JKG
핵실험으로	핵/NNG+실험/NNG+으로/JKB
문	문/NNP
대통령은	대통령/NNG+은/JX
'제재	'/SS+제재/NNG
강화'를	강화/NNG+'/SS+를/JKO
얘기하고,	얘기/NNG+하/XSV+고/EC+,/SP
푸틴	푸틴/NNP
거부하는	거부/NNG+하/XSV+는/ETM
회담이	회담/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.411.3.4
푸틴 대통령은 중국과 마찬가지로 동북아에서의 미국 영향력 축소를 우선하고 있음을 재확인했다.

푸틴	푸틴/NNP
대통령은	대통령/NNG+은/JX
중국과	중국/NNP+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
동북아에서의	동북아/NNP+에서/JKB+의/JKG
미국	미국/NNP
영향력	영향력/NNG
축소를	축소/NNG+를/JKO
우선하고	우선/NNG+하/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
재확인했다.	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.411.4.1
문 대통령은 회담 후 언론 발표에서 "우리 두 정상은 북한이 6차 핵실험을 강행한 것을 강력히 규탄하며 북핵 문제를 해결하는 것이 무엇보다 중요하다는 데 의견을 같이했다"고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
회담	회담/NNG
후	후/NNG
언론	언론/NNG
발표에서	발표/NNG+에서/JKB
"우리	"/SS+우리/NP
두	두/MMN
정상은	정상/NNG+은/JX
북한이	북한/NNP+이/JKS
6차	6/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
강행한	강행/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
강력히	강력히/MAG
규탄하며	규탄/NNG+하/XSV+며/EC
북핵	북핵/NNG
문제를	문제/NNG+를/JKO
해결하는	해결/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
무엇보다	무엇/NP+보다/JKB
중요하다는	중요/NNG+하/XSA+다는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
같이했다"고	같이/MAG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.411.4.2
푸틴 대통령도 "러시아는 북핵을 용납할 수 없다. 북한의 '핵보유국' 지위를 결코 인정하지 않고 앞으로도 인정하지 않을 것"이라고 했다.

푸틴	푸틴/NNP
대통령도	대통령/NNG+도/JX
"러시아는	"/SS+러시아/NNP+는/JX
