# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.194
metadata : {}


# id : NWRW1800000044.194.1.1
“세월호 선원들, 자신들만 아는 통로로 탈출”

“세월호	“/SS+세월호/NNP
선원들,	선원/NNG+들/XSN+,/SP
자신들만	자신/NNG+들/XSN+만/JX
아는	알/VV+는/ETM
통로로	통로/NNG+로/JKB
탈출”	탈출/NNG+”/SS


# id : NWRW1800000044.194.2.1
[한겨레] 수사본부, 기관장 진술 확보

[한겨레]	[/SS+한겨레/NNP+]/SS
수사본부,	수사본부/NNG+,/SP
기관장	기관장/NNG
진술	진술/NNG
확보	확보/NNG


# id : NWRW1800000044.194.3.1
“가만 있으라” 방송 나오던 때

“가만	“/SS+가만/MAG
있으라”	있/VV+으라/EF+”/SS
방송	방송/NNG
나오던	나오/VV+던/ETM
때	때/NNG


# id : NWRW1800000044.194.4.1
선장 탈출 시간보다도 앞서

선장	선장/NNG
탈출	탈출/NNG
시간보다도	시간/NNG+보다/JKB+도/JX
앞서	앞서/MAG


# id : NWRW1800000044.194.5.1
항해사·기관사 등 4명 체포

항해사·기관사	항해사/NNG+·/SP+기관사/NNG
등	등/NNB
4명	4/SN+명/NNB
체포	체포/NNG


# id : NWRW1800000044.194.6.1
세월호 침몰 사고를 수사하는 검경 합동수사본부가 일부 승무원들한테서 자신들만 아는 통로를 이용해 탈출했다는 진술을 확보했다.

세월호	세월호/NNP
침몰	침몰/NNG
사고를	사고/NNG+를/JKO
수사하는	수사/NNG+하/XSV+는/ETM
검경	검경/NNG
합동수사본부가	합동/NNG+수사본부/NNG+가/JKS
일부	일부/NNG
승무원들한테서	승무원/NNG+들/XSN+한테서/JKB
자신들만	자신/NNG+들/XSN+만/JX
아는	알/VV+는/ETM
통로를	통로/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
탈출했다는	탈출/NNG+하/XSV+았/EP+다는/ETM
진술을	진술/NNG+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


