# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.352
metadata : {}


# id : NWRW1800000052.352.1.1
민변, 국정원에 ‘탈북’ 식당종업원들 접견 요청

민변,	민변/NNP+,/SP
국정원에	국정원/NNG+에/JKB
‘탈북’	‘/SS+탈북/NNG+’/SS
식당종업원들	식당/NNG+종업원/NNG+들/XSN
접견	접견/NNG
요청	요청/NNG


# id : NWRW1800000052.352.2.1
“남 ‘자발적 탈북’ 북 ‘유인 납치’ 맞서

“남	“/SS+남/NNP
‘자발적	‘/SS+자발/NNG+적/XSN
탈북’	탈북/NNG+’/SS
북	북/NNP
‘유인	‘/SS+유인/NNG
납치’	납치/NNG+’/SS
맞서	맞서/VV+어/EF


# id : NWRW1800000052.352.3.1
자유롭게 의사표현 할수 있게 해야”

자유롭게	자유/NNG+롭/XSA+게/EC
의사표현	의사/NNG+표현/NNG
할수	하/VV+ㄹ/ETM+수/NNB
있게	있/VA+게/EC
해야”	하/VX+아야/EC+”/SS


# id : NWRW1800000052.352.4.1
국정원 거부땐 접견권 행정소송 계획

국정원	국정원/NNG
거부땐	거부/NNG+때/NNG+ㄴ/JX
접견권	접견/NNG+권/XSN
행정소송	행정/NNG+소송/NNG
계획	계획/NNG


# id : NWRW1800000052.352.5.1
4·13 총선 직전 정부가 급작스레 발표한 ‘중국 북한식당 종업원 집단탈북’을 둘러싼 진실 공방이 잦아들지 않는 가운데, ‘민주사회를 위한 변호사 모임’(민변)이 국가정보원에 북한식당 여성 종업원들에 대한 ‘긴급 접견’을 요청하고 나섰다.

4·13	4/SN+·/SP+13/SN
총선	총선/NNG
직전	직전/NNG
정부가	정부/NNG+가/JKS
급작스레	급작스레/MAG
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘중국	‘/SS+중국/NNP
북한식당	북한/NNP+식당/NNG
종업원	종업원/NNG
집단탈북’을	집단/NNG+탈북/NNG+’/SS+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
진실	진실/NNG
공방이	공방/NNG+이/JKS
잦아들지	잦아들/VV+지/EC
않는	않/VX+는/ETM
가운데,	가운데/NNG+,/SP
‘민주사회를	‘/SS+민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사	변호사/NNG
모임’(민변)이	모임/NNG+’/SS+(/SS+민변/NNP+)/SS+이/JKS
국가정보원에	국가/NNG+정보원/NNG+에/JKB
여성	여성/NNG
종업원들에	종업원/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
‘긴급	‘/SS+긴급/NNG
접견’을	접견/NNG+’/SS+을/JKO
요청하고	요청/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.352.5.2
