# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.240
metadata : {}


# id : NWRW1800000045.240.1.1
“젊은 삼성농구 경기력 167cm… 185cm까지 성장시킬 것”

“젊은	“/SS+젊/VA+은/ETM
삼성농구	삼성/NNP+농구/NNG
경기력	경기력/NNG
167cm…	167/SN+cm/SW+…/SE
185cm까지	185/SN+cm/SW+까지/JX
성장시킬	성장/NNG+시키/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000045.240.2.1
프로농구 2014 시즌 꼴찌 이상민 감독

프로농구	프로/NNG+농구/NNG
2014	2014/SN
시즌	시즌/NNG
꼴찌	꼴찌/NNG
이상민	이상민/NNP
감독	감독/NNG


# id : NWRW1800000045.240.3.1
“프로농구 삼성의 키는 ‘167cm’밖에 되지 않습니다.

“프로농구	“/SS+프로/NNG+농구/NNG
삼성의	삼성/NNP+의/JKG
키는	키/NNG+는/JX
‘167cm’밖에	‘/SS+167/SN+cm/SW+’/SS+밖에/JX
되지	되/VV+지/EC
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000045.240.3.2
하지만 제가 감독으로 있는 동안 반드시 ‘185cm’까지 키울 겁니다.”

하지만	하지만/MAJ
제가	제/NP+가/JKS
감독으로	감독/NNG+으로/JKB
있는	있/VA+는/ETM
동안	동안/NNG
반드시	반드시/MAG
‘185cm’까지	‘/SS+185/SN+cm/SW+’/SS+까지/JX
키울	키우/VV+ㄹ/ETM
겁니다.”	거/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000045.240.4.1
13일 경기 용인시 삼성트레이닝센터에서 만난 프로농구 삼성의 이상민 감독(43)은 “현재 삼성 선수들의 경기력을 키로 비교해 달라”는 말에 이렇게 답했다.

13일	13/SN+일/NNB
경기	경기/NNP
용인시	용인시/NNP
삼성트레이닝센터에서	삼성트레이닝센터/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
프로농구	프로/NNG+농구/NNG
삼성의	삼성/NNP+의/JKG
이상민	이상민/NNP
감독(43)은	감독/NNG+(/SS+43/SN+)/SS+은/JX
“현재	“/SS+현재/MAG
삼성	삼성/NNP
선수들의	선수/NNG+들/XSN+의/JKG
경기력을	경기력/NNG+을/JKO
키로	키/NNG+로/JKB
비교해	비교/NNG+하/XSV+아/EC
달라”는	달/VX+라/EF+”/SS+는/JX
말에	말/NNG+에/JKB
이렇게	이렇/VA+게/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.240.4.2
스타플레이어 출신인 자신의 눈높이에서 선수들을 볼 때 부족한 점이 많지만 어린 선수들의 잠재력이 충분한 만큼 이들을 정상급 선수로 성장시켜 보겠다는 얘기였다.

스타플레이어	스타플레이어/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
자신의	자신/NNG+의/JKG
눈높이에서	눈높이/NNG+에서/JKB
선수들을	선수/NNG+들/XSN+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
부족한	부족/NNG+하/XSA+ㄴ/ETM
점이	점/NNG+이/JKS
많지만	많/VA+지만/EC
어린	어리/VA+ㄴ/ETM
선수들의	선수/NNG+들/XSN+의/JKG
잠재력이	잠재력/NNG+이/JKS
충분한	충분하/VA+ㄴ/ETM
만큼	만큼/NNB
