# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.318
metadata : {}


# id : NWRW1800000041.318.1.1
[단독]“故박지영씨 10여차례 ‘승객 탈출’ 물었지만 브리지에선 응답 없어”

[단독]“故박지영씨	[/SS+단독/NNG+]/SS+“/SS+故/SH+박지영/NNP+씨/NNB
10여차례	10/SN+여/XSN+차례/NNG
‘승객	‘/SS+승객/NNG
탈출’	탈출/NNG+’/SS
물었지만	묻/VV+었/EP+지만/EC
브리지에선	브리지/NNG+에서/JKB+ㄴ/JX
응답	응답/NNG
없어”	없/VA+어/EF+”/SS


# id : NWRW1800000041.318.2.1
구조된 승객들 증언 잇달아

구조된	구조/NNG+되/XSV+ㄴ/ETM
승객들	승객/NNG+들/XSN
증언	증언/NNG
잇달아	잇달/VV+아/EC


# id : NWRW1800000041.318.3.1
세월호가 침몰하고 있던 16일 오전 9시부터 30분간 승무원 박지영 씨(22·여·사망)가 무전기로 브리지(선교)에 모여 있던 선박직 승무원들에게 10여 차례에 걸쳐 승객들을 비상 탈출시킬 것인지 ‘퇴선명령’ 여부를 물었지만 답신이 없었다는 증언이 나왔다.

세월호가	세월호/NNP+가/JKS
침몰하고	침몰/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
16일	16/SN+일/NNB
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
30분간	30/SN+분/NNB+간/XSN
승무원	승무원/NNG
박지영	박지영/NNP
씨(22·여·사망)가	씨/NNB+(/SS+22/SN+·/SP+여/NNG+·/SP+사망/NNG+)/SS+가/JKS
무전기로	무전기/NNG+로/JKB
브리지(선교)에	브리지/NNG+(/SS+선교/NNG+)/SS+에/JKB
모여	모이/VV+어/EC
선박직	선박직/NNG
승무원들에게	승무원/NNG+들/XSN+에게/JKB
10여	10/SN+여/XSN
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
승객들을	승객/NNG+들/XSN+을/JKO
비상	비상/NNG
탈출시킬	탈출/NNG+시키/XSV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
‘퇴선명령’	‘/SS+퇴선/NNG+명령/NNG+’/SS
여부를	여부/NNG+를/JKO
물었지만	묻/VV+었/EP+지만/EC
답신이	답신/NNG+이/JKS
없었다는	없/VA+었/EP+다는/ETM
증언이	증언/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.318.3.2
답신이 오지 않자 박 씨 등은 안내데스크에서 계속 “제자리를 지키라”는 안내방송을 내보낼 수밖에 없었다.

답신이	답신/NNG+이/JKS
오지	오/VV+지/EC
않자	않/VX+자/EC
박	박/NNP
씨	씨/NNB
등은	등/NNB+은/JX
안내데스크에서	안내/NNG+데스크/NNG+에서/JKB
계속	계속/MAG
“제자리를	“/SS+제자리/NNG+를/JKO
지키라”는	지키/VV+라/EF+”/SS+는/ETM
안내방송을	안내/NNG+방송/NNG+을/JKO
내보낼	내보내/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.318.4.1
오전 9시 23분 세월호 브리지에서는 진도연안해상교통관제센터(VTS)와 교신하며 “현재 (안내) 방송도 불가능한 상태”라고 했으나 무전기를 통해 의사소통을 할 수 있었던 상황이었다는 얘기다.

오전	오전/NNG
9시	9/SN+시/NNB
23분	23/SN+분/NNB
세월호	세월호/NNP
브리지에서는	브리지/NNG+에서/JKB+는/JX
진도연안해상교통관제센터(VTS)와	진도연안해상교통관제센터/NNP+(/SS+VTS/SL+)/SS+와/JKB
교신하며	교신/NNG+하/XSV+며/EC
“현재	“/SS+현재/MAG
(안내)	(/SS+안내/NNG+)/SS
방송도	방송/NNG+도/JX
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
상태”라고	상태/NNG+”/SS+라고/JKQ
했으나	하/VV+았/EP+으나/EC
무전기를	무전기/NNG+를/JKO
통해	통하/VV+아/EC
의사소통을	의사소통/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
상황이었다는	상황/NNG+이/VCP+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.318.5.1
세월호에 탑승했다가 구조된 강병기 씨(41·화물기사)는 16일 오전 9시 세월호 3층 안내데스크에서 박 씨에게 대응방안을 물었다.

세월호에	세월호/NNP+에/JKB
탑승했다가	탑승/NNG+하/XSV+았/EP+다가/EC
구조된	구조/NNG+되/XSV+ㄴ/ETM
강병기	강병기/NNP
씨(41·화물기사)는	씨/NNB+(/SS+41/SN+·/SP+화물/NNG+기사/NNG+)/SS+는/JX
16일	16/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
세월호	세월호/NNP
3층	3/SN+층/NNG
안내데스크에서	안내/NNG+데스크/NNG+에서/JKB
박	박/NNP
