# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.80
metadata : {}


# id : NWRW1800000038.80.1.1
가슴, 찌른듯 아프고 갑갑… 호흡기 질환 의심해야

가슴,	가슴/NNG+,/SP
찌른듯	찌르/VV+ㄴ/ETM+듯/NNB
아프고	아프/VA+고/EC
갑갑…	갑갑/XR+…/SE
호흡기	호흡기/NNG
질환	질환/NNG
의심해야	의심/NNG+하/XSV+아야/EC


# id : NWRW1800000038.80.2.1
노년에 많은 손발저림·두통… 증상 비슷해 보여도 원인 달라 띵한 어지럼, 심혈관 이상 신호

노년에	노년/NNG+에/JKB
많은	많/VA+은/ETM
손발저림·두통…	손발/NNG+저리/VV+ㅁ/ETN+·/SP+두통/NNG+…/SE
증상	증상/NNG
비슷해	비슷하/VA+아/EC
보여도	보이/VV+어도/EC
원인	원인/NNG
달라	다르/VA+아/EC
띵한	띵/MAG+하/XSA+ㄴ/ETM
어지럼,	어지럼/NNG+,/SP
심혈관	심혈관/NNG
이상	이상/NNG
신호	신호/NNG


# id : NWRW1800000038.80.3.1
툭 하면 발이 저려 제대로 움직이지 못하는 김모(69·서울 마포구) 씨.

툭	툭/MAG
하면	하/VV+면/EC
발이	발/NNG+이/JKS
저려	저리/VV+어/EC
제대로	제대로/MAG
움직이지	움직이/VV+지/EC
못하는	못하/VX+는/ETM
김모(69·서울	김/NNP+모/NP+(/SS+69/SN+·/SP+서울/NNP
마포구)	마포구/NNP+)/SS
씨.	씨/NNB+./SF


# id : NWRW1800000038.80.3.2
3년 전부터 증상이 나타났는데 동네 병원에 찾아가도, 혈액순환개선제·비타민제·골다공증약·정맥순환개선제 등 여러 종류의 약을 먹어도 낫지 않았다.

3년	3/SN+년/NNB
전부터	전/NNG+부터/JX
증상이	증상/NNG+이/JKS
나타났는데	나타나/VV+았/EP+는데/EC
동네	동네/NNG
병원에	병원/NNG+에/JKB
찾아가도,	찾아가/VV+아도/EC+,/SP
혈액순환개선제·비타민제·골다공증약·정맥순환개선제	혈액/NNG+순환/NNG+개선제/NNG+·/SP+비타민제/NNG+·/SP+골다공증약/NNG+·/SP+정맥/NNG+순환/NNG+개선제/NNG
등	등/NNB
여러	여러/MMN
종류의	종류/NNG+의/JKG
약을	약/NNG+을/JKO
먹어도	먹/VV+어도/EC
낫지	낫/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.80.3.3
김씨는 최근 대학병원에서 전문적인 진료를 받기로 결심했는데, 어느 진료과를 가야 할지 몰라 답답해하고 있다.

김씨는	김/NNP+씨/NNB+는/JX
최근	최근/NNG
대학병원에서	대학/NNG+병원/NNG+에서/JKB
전문적인	전문/NNG+적/XSN+이/VCP+ㄴ/ETM
진료를	진료/NNG+를/JKO
받기로	받/VV+기/ETN+로/JKB
결심했는데,	결심/NNG+하/XSV+았/EP+는데/EC+,/SP
어느	어느/MMD
진료과를	진료과/NNG+를/JKO
가야	가/VV+아야/EC
할지	하/VX+ㄹ지/EC
몰라	모르/VV+아/EC
답답해하고	답답하/VA+아/EC+하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.80.4.1
김씨처럼 60세가 넘으면 손발저림·가슴답답증·어지럼증·두통을 많이 느낀다.

김씨처럼	김/NNP+씨/NNB+처럼/JKB
60세가	60/SN+세/NNB+가/JKS
넘으면	넘/VV+으면/EC
손발저림·가슴답답증·어지럼증·두통을	손발/NNG+저리/VV+ㅁ/ETN+·/SP+가슴/NNG+답답증/NNG+·/SP+어지럼증/NNG+·/SP+두통/NNG+을/JKO
많이	많이/MAG
느낀다.	느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.80.4.2
이같은 증상은 원인이 다양하기 때문에, 치료를 위해 어느 진료과를 가야 할지 판단하기 어렵다.

이같은	이/NP+같/VA+은/ETM
증상은	증상/NNG+은/JX
원인이	원인/NNG+이/JKS
다양하기	다양/NNG+하/XSA+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
치료를	치료/NNG+를/JKO
위해	위하/VV+아/EC
어느	어느/MMD
진료과를	진료과/NNG+를/JKO
가야	가/VV+아야/EC
