# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.343
metadata : {}


# id : NWRW1800000054.343.1.1
무산스님 "나라가 '三毒(탐욕·분노·어리석음) 불' 빠져… 그 불길 잡아야 대권 잡아"

무산스님	무산/NNP+스님/NNG
"나라가	"/SS+나라/NNG+가/JKS
'三毒(탐욕·분노·어리석음)	'/SS+三毒/SH+(/SS+탐욕/NNG+·/SP+분노/NNG+·/SP+어리석/VA+음/ETN+)/SS
불'	불/NNG+'/SS
빠져…	빠지/VV+어/EF+…/SE
그	그/MMD
불길	불길/NNG
잡아야	잡/VV+아야/EC
대권	대권/NNG
잡아"	잡/VV+아/EF+"/SS


# id : NWRW1800000054.343.2.1
조계종 원로, 법문서 정치권 질타 "자기 허물까지 볼 줄 아는 공명정대한 사람이 대통령감… 중생 아픔을 화두로 삼아야"

조계종	조계종/NNP
원로,	원로/NNG+,/SP
법문서	법문/NNG+서/JKB
정치권	정치/NNG+권/XSN
질타	질타/NNG
"자기	"/SS+자기/NNG
허물까지	허물/NNG+까지/JX
볼	보/VV+ㄹ/ETM
줄	줄/NNB
아는	알/VV+는/ETM
공명정대한	공명정대/NNG+하/XSA+ㄴ/ETM
사람이	사람/NNG+이/JKS
대통령감…	대통령감/NNG+…/SE
중생	중생/NNG
아픔을	아픔/NNG+을/JKO
화두로	화두/NNG+로/JKB
삼아야"	삼/VV+아야/EC+"/SS


# id : NWRW1800000054.343.3.1
"대통령 되겠다는 정치인들은 자기 허물을 감추고 남의 허물을 들춰내는 추태가 점입가경(漸入佳境)이라고 합니다.

"대통령	"/SS+대통령/NNG
되겠다는	되/VV+겠/EP+다는/ETM
정치인들은	정치인/NNG+들/XSN+은/JX
자기	자기/NNG
허물을	허물/NNG+을/JKO
감추고	감추/VV+고/EC
남의	남/NNG+의/JKG
들춰내는	들춰내/VV+는/ETM
추태가	추태/NNG+가/JKS
점입가경(漸入佳境)이라고	점입가경/NNG+(/SS+漸入佳境/SH+)/SS+이/VCP+라고/EC
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000054.343.3.2
사람들이 '누가 대통령이 되느냐?'고 물으면 '삼독(三毒·탐욕, 분노, 어리석음)의 불길을 잡는 사람이 민심도 잡고 대권도 잡는다'고 정중하게 전하십시오."

