# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.379
metadata : {}


# id : NWRW1800000038.379.1.1
朴대통령 "아버지 살던 신당동 집, 세금들여 공원화 안돼"

朴대통령	朴/SH+대통령/NNG
"아버지	"/SS+아버지/NNG
살던	살/VV+던/ETM
신당동	신당동/NNP
집,	집/NNG+,/SP
세금들여	세금/NNG+들이/VV+어/EC
공원화	공원/NNG+화/XSN
안돼"	안/MAG+되/XSV+어/EF+"/SS


# id : NWRW1800000038.379.2.1
중구청 조성 계획에 반대 의사 "나도 요즘 에어컨 전혀 안틀어… 청와대 먼저 넥타이 풀고 절전"

중구청	중구청/NNP
조성	조성/NNG
계획에	계획/NNG+에/JKB
반대	반대/NNG
의사	의사/NNG
"나도	"/SS+나/NP+도/JX
요즘	요즘/NNG
에어컨	에어컨/NNG
전혀	전혀/MAG
안틀어…	안/MAG+틀/VV+어/EF+…/SE
청와대	청와대/NNP
먼저	먼저/MAG
넥타이	넥타이/NNG
풀고	풀/VV+고/EC
절전"	절전/NNG+"/SS


# id : NWRW1800000038.379.3.1
박근혜 대통령은 10일 서울 중구청이 고(故) 박정희 전 대통령이 살았던 신당동 가옥 일대의 기념 공원 조성을 추진하는 것에 대해 "국가 경제가 어렵고 힘든 상황에서 국민 세금을 들여 기념 공원을 만드는 것은 바람직하지 않다"고 말했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
10일	10/SN+일/NNB
서울	서울/NNP
중구청이	중구청/NNP+이/JKS
고(故)	고/MMA+(/SS+故/SH+)/SS
박정희	박정희/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
살았던	살/VV+았/EP+던/ETM
신당동	신당동/NNP
가옥	가옥/NNG
일대의	일대/NNG+의/JKG
기념	기념/NNG
공원	공원/NNG
조성을	조성/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
"국가	"/SS+국가/NNG
경제가	경제/NNG+가/JKS
어렵고	어렵/VA+고/EC
힘든	힘들/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
국민	국민/NNG
세금을	세금/NNG+을/JKO
들여	들이/VV+어/EC
공원을	공원/NNG+을/JKO
만드는	만들/VV+는/ETM
것은	것/NNB+은/JX
바람직하지	바람직하/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.379.4.1
박 대통령은 이날 오전 청와대에서 수석비서관회의를 주재하면서 이같이 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
청와대에서	청와대/NNP+에서/JKB
수석비서관회의를	수석/NNG+비서관/NNG+회의/NNG+를/JKO
주재하면서	주재/NNG+하/XSV+면서/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.379.4.2
'신당동 가옥'은 박정희 전 대통령이 1958년부터 5·16 쿠데타 이후 국가재건최고회의 의장 공관으로 이사하기 전까지 가족과 살았던 집으로 등록문화재 412호다.

'신당동	'/SS+신당동/NNP
가옥'은	가옥/NNG+'/SS+은/JX
박정희	박정희/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
1958년부터	1958/SN+년/NNB+부터/JX
5·16	5/SN+·/SP+16/SN
쿠데타	쿠데타/NNG
이후	이후/NNG
국가재건최고회의	국가재건최고회의/NNP
의장	의장/NNG
공관으로	공관/NNG+으로/JKB
이사하기	이사/NNG+하/XSV+기/ETN
전까지	전/NNG+까지/JX
가족과	가족/NNG+과/JKB
살았던	살/VV+았/EP+던/ETM
집으로	집/NNG+으로/JKB
등록문화재	등록/NNG+문화재/NNG
412호다.	412/SN+호/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.379.4.3
박근혜 대통령이 1979년 12월 청와대를 나온 뒤 1982년까지 살기도 했다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
1979년	1979/SN+년/NNB
12월	12/SN+월/NNB
청와대를	청와대/NNP+를/JKO
나온	나오/VV+ㄴ/ETM
뒤	뒤/NNG
1982년까지	1982/SN+년/NNB+까지/JX
살기도	살/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.379.4.4
서울 중구청은 2011년 말부터 이 가옥 복원과 기념 광장 및 주변 녹지 공간 조성 계획을 추진해 왔다.

서울	서울/NNP
중구청은	중구청/NNP+은/JX
2011년	2011/SN+년/NNB
말부터	말/NNB+부터/JX
이	이/MMD
가옥	가옥/NNG
복원과	복원/NNG+과/JC
기념	기념/NNG
광장	광장/NNG
및	및/MAG
주변	주변/NNG
녹지	녹지/NNG
공간	공간/NNG
조성	조성/NNG
계획을	계획/NNG+을/JKO
추진해	추진/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.379.5.1
한편 박 대통령은 이날 회의에서 "날씨가 무더워지고 있는데 전력난 때문에 걱정이 크다. 청와대가 솔선수범해서 전력 소모를 줄여달라"며 "저도 요즘 에어컨을 전혀 틀지 않고 지내고 있다"고 말했다.

한편	한편/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
회의에서	회의/NNG+에서/JKB
"날씨가	"/SS+날씨/NNG+가/JKS
