# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.230
metadata : {}


# id : NWRW1800000029.230.1.1
장학금의 ‘나비효과’… 2년새 36억

장학금의	장학금/NNG+의/JKG
‘나비효과’…	‘/SS+나비/NNG+효과/NNG+’/SS+…/SE
2년새	2/SN+년/NNB+새/NNG
36억	36/SN+억/NR


# id : NWRW1800000029.230.2.1
연세대 상경-경영 동창회 “하루 1000원으로 후배들 키우자”

연세대	연세대/NNP
상경-경영	상경/NNG+-/SO+경영/NNG
동창회	동창회/NNG
“하루	“/SS+하루/NNG
1000원으로	1000/SN+원/NNB+으로/JKB
후배들	후배/NNG+들/XSN
키우자”	키우/VV+자/EF+”/SS


# id : NWRW1800000029.230.3.1
하루에 1000원씩 모은 돈이 1만 원이 됐고, 1만 원은 10만 원이 됐다.

하루에	하루/NNG+에/JKB
1000원씩	1000/SN+원/NNB+씩/XSN
모은	모으/VV+ㄴ/ETM
돈이	돈/NNG+이/JKS
1만	1/SN+만/NR
원이	원/NNB+이/JKC
됐고,	되/VV+었/EP+고/EC+,/SP
원은	원/NNB+은/JX
10만	10/SN+만/NR
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.230.3.2
이렇게 조금씩 쌓인 돈이 2년 만에 36억여 원이 됐다.

이렇게	이렇/VA+게/EC
조금씩	조금/NNG+씩/XSN
쌓인	쌓이/VV+ㄴ/ETM
돈이	돈/NNG+이/JKS
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
36억여	36/SN+억/NR+여/XSN
원이	원/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.230.3.3
이 돈으로 학생 83명이 공부에 전념할 수 있었다.

이	이/MMD
돈으로	돈/NNG+으로/JKB
학생	학생/NNG
83명이	83/SN+명/NNB+이/JKS
공부에	공부/NNG+에/JKB
전념할	전념/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.230.3.4
연세대 상경·경영 동창회의 ‘블루 버터플라이’ 장학금 얘기다.

연세대	연세대/NNP
상경·경영	상경/NNG+·/SP+경영/NNG
동창회의	동창회/NNG+의/JKG
‘블루	‘/SS+블루/NNG
버터플라이’	버터플라이/NNG+’/SS
장학금	장학금/NNG
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.230.4.1
이 장학금은 김정수 전 동창회장(제이에스앤에프 회장·60)의 아이디어에서 2009년 말 시작됐다.

이	이/MMD
장학금은	장학금/NNG+은/JX
김정수	김정수/NNP
전	전/MMD
동창회장(제이에스앤에프	동창회장/NNG+(/SS+제이에스앤에프/NNP
회장·60)의	회장/NNG+·/SP+60/SN+)/SS+의/JKG
아이디어에서	아이디어/NNG+에서/JKB
2009년	2009/SN+년/NNB
말	말/NNB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.230.4.2
30명이 하루 1000원씩(한 달 3만 원)을 내 장학생 1명에게 4년간 학비와 해외연수비(총 4000만 원)를 지원하는 방식이다.

30명이	30/SN+명/NNB+이/JKS
하루	하루/NNG
1000원씩(한	1000/SN+원/NNB+씩/XSN+(/SS+한/MMN
달	달/NNB
3만	3/SN+만/NR
원)을	원/NNB+)/SS+을/JKO
내	내/VV+어/EC
장학생	장학/NNG+생/XSN
1명에게	1/SN+명/NNB+에게/JKB
4년간	4/SN+년/NNB+간/XSN
학비와	학비/NNG+와/JC
해외연수비(총	해외/NNG+연수비/NNG+(/SS+총/MMA
4000만	4000/SN+만/NR
원)를	원/NNB+)/SS+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.230.5.1
소수의 동문이 내는 고액 기부금보다는 작지만 많은 사람이 참여할 때 나오는 큰 힘의 효과를 믿은 것이다.

소수의	소수/NNG+의/JKG
동문이	동문/NNG+이/JKS
내는	내/VV+는/ETM
고액	고액/NNG
기부금보다는	기부금/NNG+보다/JKB+는/JX
작지만	작/VA+지만/EC
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
때	때/NNG
나오는	나오/VV+는/ETM
큰	크/VA+ㄴ/ETM
힘의	힘/NNG+의/JKG
효과를	효과/NNG+를/JKO
믿은	믿/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.230.5.2
