# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.137
metadata : {}


# id : NWRW1800000049.137.1.1
[임희윤 기자의 싱글노트]온난화의 비극… 우리가 무슨 짓을 한 거지?

[임희윤	[/SS+임희윤/NNP
기자의	기자/NNG+의/JKG
싱글노트]온난화의	싱글/NNG+노트/NNG+]/SS+온난/NNG+화/XSN+의/JKG
비극…	비극/NNG+…/SE
우리가	우리/NP+가/JKS
무슨	무슨/MMD
짓을	짓/NNG+을/JKO
한	하/VV+ㄴ/ETM
거지?	거/NNB+이/VCP+지/EF+?/SF


# id : NWRW1800000049.137.2.1
2016년 11월 1일 화요일 맑음.

2016년	2016/SN+년/NNB
11월	11/SN+월/NNB
1일	1/SN+일/NNB
화요일	화요일/NNG
맑음.	맑음/NNG+./SF


# id : NWRW1800000049.137.2.2
홍수.

홍수.	홍수/NNG+./SF


# id : NWRW1800000049.137.2.3
#227 Trent Reznor & Atticus Ross ‘A Minute to Breathe’ (2016년)

#227	#/SW+227/SN
Trent	Trent/SL
Reznor	Reznor/SL
&	&/SW
Atticus	Atticus/SL
Ross	Ross/SL
‘A	‘/SS+A/SL
Minute	Minute/SL
to	to/SL
Breathe’	Breathe/SL+’/SS
(2016년)	(/SS+2016/SN+년/NNB+)/SS


# id : NWRW1800000049.137.3.1
‘그 언젠가 아이들이 자라서 밤하늘을 바라볼 때에/하늘 가득 반짝이는 별들을 두 눈 속에 담게 해 주오.’(‘더 늦기 전에’ 중)

‘그	‘/SS+그/MMD
언젠가	언젠가/MAG
아이들이	아이/NNG+들/XSN+이/JKS
자라서	자라/VV+아서/EC
밤하늘을	밤하늘/NNG+을/JKO
바라볼	바라보/VV+ㄹ/ETM
때에/하늘	때/NNG+에/JKB+//SP+하늘/NNG
가득	가득/MAG
반짝이는	반짝이/VV+는/ETM
별들을	별/NNG+들/XSN+을/JKO
두	두/MMN
눈	눈/NNG
속에	속/NNG+에/JKB
담게	담/VV+게/EC
해	하/VX+아/EC
주오.’(‘더	주/VX+오/EF+./SF+’/SS+(/SS+‘/SS+더/MAG
늦기	늦/VA+기/ETN
전에’	전/NNG+에/JKB+’/SS
중)	중/NNB+)/SS


# id : NWRW1800000049.137.4.1
1992년 서울에서 환경 콘서트 ‘내일은 늦으리’가 열렸다.

1992년	1992/SN+년/NNB
서울에서	서울/NNP+에서/JKB
환경	환경/NNG
콘서트	콘서트/NNG
‘내일은	‘/SS+내일/NNG+은/JX
늦으리’가	늦/VA+으리/EF+’/SS+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.137.4.2
한국판 ‘We are the World’였다.

한국판	한국판/NNG
‘We	‘/SS+We/SL
are	are/SL
the	the/SL
World’였다.	World/SL+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.137.4.3
서태지와 아이들, 이승환, 신승훈, 넥스트, 015B, 김종서, 푸른하늘, 윤상….

서태지와	서태지/NNP+와/JC
아이들,	아이/NNG+들/XSN+,/SP
이승환,	이승환/NNP+,/SP
신승훈,	신승훈/NNP+,/SP
넥스트,	넥스트/NNP+,/SP
015B,	015/SN+B/SL+,/SP
김종서,	김종서/NNP+,/SP
푸른하늘,	푸른하늘/NNP+,/SP
윤상….	윤상/NNP+…/SE+./SF


# id : NWRW1800000049.137.4.4
가요계의 반짝이는 별들이 총출동했으니.

가요계의	가요/NNG+계/XSN+의/JKG
반짝이는	반짝이/VV+는/ETM
별들이	별/NNG+들/XSN+이/JKS
총출동했으니.	총출동/NNG+하/XSV+았/EP+으니/EF+./SF


# id : NWRW1800000049.137.4.5
그때 넥스트의 노래 ‘1999’는 이렇게 시작했다.

그때	그때/NNG
넥스트의	넥스트/NNP+의/JKG
노래	노래/NNG
‘1999’는	‘/SS+1999/SN+’/SS+는/JX
이렇게	이렇/VA+게/EC
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.137.5.1
‘서기 1999년 9월 10일/전기의 공급이 완전히 중단되었다…우리의 무책임이 낳은/이 비참한 결과를 후세에 전하기 바란다.’

‘서기	‘/SS+서기/NNG
1999년	1999/SN+년/NNB
9월	9/SN+월/NNB
10일/전기의	10/SN+일/NNB+//SP+전기/NNG+의/JKG
공급이	공급/NNG+이/JKS
완전히	완전히/MAG
중단되었다…우리의	중단/NNG+되/XSV+었/EP+다/EF+…/SE+우리/NP+의/JKG
무책임이	무/XPN+책임/NNG+이/JKS
낳은/이	낳/VV+은/ETM+//SP+이/MMD
비참한	비참/NNG+하/XSA+ㄴ/ETM
결과를	결과/NNG+를/JKO
후세에	후세/NNG+에/JKB
전하기	전하/VV+기/ETN
바란다.’	바라/VV+ㄴ다/EF+./SF+’/SS


# id : NWRW1800000049.137.6.1
서기 2016년 10월 31일 밤.

서기	서기/NNG
2016년	2016/SN+년/NNB
10월	10/SN+월/NNB
31일	31/SN+일/NNB
밤.	밤/NNG+./SF


# id : NWRW1800000049.137.6.2
아직은 계속되는 전기의 공급 덕에 TV로 먼저 개봉한 마틴 스코세이지 제작, 리어나도 디캐프리오 주연의 환경 다큐멘터리 영화 ‘비포 더 플러드’를 봤다.

아직은	아직/MAG+은/JX
계속되는	계속/NNG+되/XSV+는/ETM
전기의	전기/NNG+의/JKG
공급	공급/NNG
덕에	덕/NNG+에/JKB
TV로	TV/SL+로/JKB
먼저	먼저/MAG
개봉한	개봉/NNG+하/XSV+ㄴ/ETM
마틴	마틴/NNP
스코세이지	스코세이지/NNP
제작,	제작/NNG+,/SP
리어나도	리어나도/NNP
디캐프리오	디캐프리오/NNP
주연의	주연/NNG+의/JKG
환경	환경/NNG
다큐멘터리	다큐멘터리/NNG
영화	영화/NNG
‘비포	‘/SS+비포/NNP
더	더/NNP
플러드’를	플러드/NNP+’/SS+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.137.6.3
영화 속에서 디캐프리오는 세계를 누비며 지구 온난화의 참혹한 현장을 목도한다.

영화	영화/NNG
속에서	속/NNG+에서/JKB
디캐프리오는	디캐프리오/NNP+는/JX
세계를	세계/NNG+를/JKO
누비며	누비/VV+며/EC
지구	지구/NNG
온난화의	온난/NNG+화/XSN+의/JKG
참혹한	참혹/NNG+하/XSA+ㄴ/ETM
현장을	현장/NNG+을/JKO
목도한다.	목도/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.137.6.4
미국, 캐나다, 그린란드, 중국, 인도, 팔라우, 인도네시아, 아르헨티나, 그리고 바티칸.

미국,	미국/NNP+,/SP
캐나다,	캐나다/NNP+,/SP
그린란드,	그린란드/NNP+,/SP
중국,	중국/NNP+,/SP
인도,	인도/NNP+,/SP
팔라우,	팔라우/NNP+,/SP
인도네시아,	인도네시아/NNP+,/SP
아르헨티나,	아르헨티나/NNP+,/SP
그리고	그리고/MAJ
바티칸.	바티칸/NNP+./SF


# id : NWRW1800000049.137.6.5
영화는 대량생산에 화석연료를 쓰는 대기업들의 미국 상하원 로비 현황을 고발한다.

영화는	영화/NNG+는/JX
대량생산에	대량/NNG+생산/NNG+에/JKB
화석연료를	화석/NNG+연료/NNG+를/JKO
쓰는	쓰/VV+는/ETM
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
미국	미국/NNP
상하원	상하원/NNG
로비	로비/NNG
현황을	현황/NNG+을/JKO
고발한다.	고발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.137.6.6
도널드 트럼프가 유세 중에 “21도라는데 추워 죽겠다. 지구 온난화가 (실제로) 있다면 어디 갖다 달라”며 너스레 떠는 장면도 보여준다.

도널드	도널드/NNP
트럼프가	트럼프/NNP+가/JKS
유세	유세/NNG
중에	중/NNB+에/JKB
“21도라는데	“/SS+21/SN+도/NNB+이/VCP+라는데/EC
추워	춥/VA+어/EC
죽겠다.	죽/VV+겠/EP+다/EF+./SF
지구	지구/NNG
온난화가	온난/NNG+화/XSN+가/JKS
(실제로)	(/SS+실제로/MAG+)/SS
있다면	있/VA+다면/EC
어디	어디/NP
갖다	갖/VV+다/EC
달라”며	달/VV+라/EF+”/SS+며/EC
너스레	너스레/NNG
떠는	떨/VV+는/ETM
장면도	장면/NNG+도/JX
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.137.6.7
췌장암 4기라는 전 미 항공우주국 우주비행사가 지구의 환경 지도를 보여주면서 “행동한다면 우리에게 아직 희망이 있다”고 말하는 장면은 뭉클했다.

췌장암	췌장암/NNG
4기라는	4/SN+기/NNG+이/VCP+라는/ETM
전	전/MMD
미	미/NNP
항공우주국	항공우주국/NNP
우주비행사가	우주/NNG+비행사/NNG+가/JKS
지구의	지구/NNG+의/JKG
환경	환경/NNG
지도를	지도/NNG+를/JKO
보여주면서	보이/VV+어/EC+주/VX+면서/EC
“행동한다면	“/SS+행동/NNG+하/XSV+ㄴ다면/EC
우리에게	우리/NP+에게/JKB
아직	아직/MAG
희망이	희망/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말하는	말/NNG+하/XSV+는/ETM
장면은	장면/NNG+은/JX
뭉클했다.	뭉클/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000049.137.7.1
영화를 알게 된 건 전적으로 미국 록 밴드 나인인치네일스 때문이다.

영화를	영화/NNG+를/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
전적으로	전적/NNG+으로/JKB
미국	미국/NNP
록	록/NNG
밴드	밴드/NNG
나인인치네일스	나인인치네일스/NNP
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.137.7.2
밴드의 리더인 트렌트 레즈너가 ‘소셜 네트워크’ ‘밀레니엄: 여자를 증오한 남자들’ ‘나를 찾아줘’ 이후 또 한 번 동료 애티커스 로스와 함께 이 작품의 사운드트랙 작업을 맡았다고 들었기 때문이다.

밴드의	밴드/NNG+의/JKG
리더인	리더/NNG+이/VCP+ㄴ/ETM
트렌트	트렌트/NNP
레즈너가	레즈너/NNP+가/JKS
‘소셜	‘/SS+소셜/NNG
네트워크’	네트워크/NNG+’/SS
‘밀레니엄:	‘/SS+밀레니엄/NNG+:/SP
여자를	여자/NNG+를/JKO
증오한	증오/NNG+하/XSV+ㄴ/ETM
남자들’	남자/NNG+들/XSN+’/SS
‘나를	‘/SS+나/NP+를/JKO
찾아줘’	찾/VV+아/EC+주/VX+어/EC+’/SS
이후	이후/NNG
또	또/MAG
한	한/MMN
번	번/NNB
동료	동료/NNG
애티커스	애티커스/NNP
로스와	로스/NNP+와/JKB
함께	함께/MAG
이	이/MMD
작품의	작품/NNG+의/JKG
