# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.205
metadata : {}


# id : NWRW1800000036.205.1.1
일진학생들한테 정기상납받은 조폭 검거

일진학생들한테	일진/NNG+학생/NNG+들/XSN+한테/JKB
정기상납받은	정기/NNG+상납/NNG+받/XSV+은/ETM
조폭	조폭/NNG
검거	검거/NNG


# id : NWRW1800000036.205.2.1
[한겨레] 붕어빵 노점 아르바이트 강요

[한겨레]	[/SS+한겨레/NNP+]/SS
붕어빵	붕어빵/NNG
노점	노점/NNG
아르바이트	아르바이트/NNG
강요	강요/NNG


# id : NWRW1800000036.205.3.1
일진은 동료, 후배들 금품 강탈

일진은	일진/NNG+은/JX
동료,	동료/NNG+,/SP
후배들	후배/NNG+들/XSN
금품	금품/NNG
강탈	강탈/NNG


# id : NWRW1800000036.205.4.1
중·고교생 ‘일진’들에게 강제로 붕어빵 노점 아르바이트 등을 시켜 정기적으로 상납을 받고 금품을 뜯어온 조직폭력배들과 이들에게 상납하기 위해 동료 학생들을 괴롭히며 금품을 빼앗아온 ‘일진’ 학생들이 경찰에 덜미를 잡혔다.

중·고교생	중·고교/NNG+생/XSN
‘일진’들에게	‘/SS+일진/NNG+’/SS+들/XSN+에게/JKB
강제로	강제/NNG+로/JKB
붕어빵	붕어빵/NNG
노점	노점/NNG
아르바이트	아르바이트/NNG
등을	등/NNB+을/JKO
시켜	시키/VV+어/EC
정기적으로	정기/NNG+적/XSN+으로/JKB
상납을	상납/NNG+을/JKO
받고	받/VV+고/EC
금품을	금품/NNG+을/JKO
뜯어온	뜯/VV+어/EC+오/VX+ㄴ/ETM
조직폭력배들과	조직폭력배/NNG+들/XSN+과/JC
이들에게	이/NP+들/XSN+에게/JKB
상납하기	상납/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
동료	동료/NNG
학생들을	학생/NNG+들/XSN+을/JKO
괴롭히며	괴롭히/VV+며/EC
빼앗아온	빼앗/VV+아/EC+오/VX+ㄴ/ETM
‘일진’	‘/SS+일진/NNG+’/SS
학생들이	학생/NNG+들/XSN+이/JKS
경찰에	경찰/NNG+에/JKB
덜미를	덜미/NNG+를/JKO
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.205.5.1
5일 경기경찰청 광역수사대에 따르면, 안성 파라다이스파 조직원 김아무개(21)씨 등 20명은 폭력조직 활동자금 마련 명목으로 2008년부터 지난해 12월까지 안성지역 중·고교 일진들을 규합해, 모두 330차례에 걸쳐 2100여만원 상당의 금품을 뜯은 혐의가 드러났다.

5일	5/SN+일/NNB
경기경찰청	경기경찰청/NNP
광역수사대에	광역/NNG+수사대/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
안성	안성/NNP
파라다이스파	파라다이스파/NNP
조직원	조직원/NNG
김아무개(21)씨	김/NNP+아무개/NP+(/SS+21/SN+)/SS+씨/NNB
등	등/NNB
20명은	20/SN+명/NNB+은/JX
폭력조직	폭력/NNG+조직/NNG
활동자금	활동/NNG+자금/NNG
마련	마련/NNG
명목으로	명목/NNG+으로/JKB
2008년부터	2008/SN+년/NNB+부터/JX
지난해	지난해/NNG
12월까지	12/SN+월/NNB+까지/JX
안성지역	안성/NNP+지역/NNG
중·고교	중·고교/NNG
일진들을	일진/NNG+들/XSN+을/JKO
규합해,	규합/NNG+하/XSV+아/EC+,/SP
모두	모두/MAG
330차례에	330/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
2100여만원	2100/SN+여/XSN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
금품을	금품/NNG+을/JKO
뜯은	뜯/VV+은/ETM
혐의가	혐의/NNG+가/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.205.5.2
특히 이들은 일진들에게 붕어빵, 솜사탕, 군고구마 등을 파는 노점 아르바이트까지 강제로 시켜 수익금 1천여만원을 상납받은 것으로 드러났다.

특히	특히/MAG
이들은	이/NP+들/XSN+은/JX
일진들에게	일진/NNG+들/XSN+에게/JKB
붕어빵,	붕어빵/NNG+,/SP
솜사탕,	솜사탕/NNG+,/SP
군고구마	군고구마/NNG
등을	등/NNB+을/JKO
파는	팔/VV+는/ETM
노점	노점/NNG
아르바이트까지	아르바이트/NNG+까지/JX
강제로	강제/NNG+로/JKB
시켜	시키/VV+어/EC
수익금	수익금/NNG
1천여만원을	1/SN+천/NR+여/XSN+만/NR+원/NNB+을/JKO
상납받은	상납/NNG+받/XSV+은/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.205.5.3
김씨 등은 ‘붕어빵 장사에서 빼달라’고 어머니를 통해 부탁했던 고교생(17)에게 ‘건방지다’며 가스총을 입에 넣고 살해 위협을 하기도 했다고 경찰은 전했다.

김씨	김/NNP+씨/NNB
등은	등/NNB+은/JX
‘붕어빵	‘/SS+붕어빵/NNG
장사에서	장사/NNG+에서/JKB
빼달라’고	빼/VV+어/EC+달/VX+라/EF+’/SS+고/JKQ
어머니를	어머니/NNG+를/JKO
통해	통하/VV+아/EC
부탁했던	부탁/NNG+하/XSV+았/EP+던/ETM
고교생(17)에게	고교/NNG+생/XSN+(/SS+17/SN+)/SS+에게/JKB
‘건방지다’며	‘/SS+건방지/VA+다/EF+’/SS+며/EC
가스총을	가스총/NNG+을/JKO
입에	입/NNG+에/JKB
넣고	넣/VV+고/EC
살해	살해/NNG
위협을	위협/NNG+을/JKO
하기도	하/VV+기/ETN+도/JX
했다고	하/VX+았/EP+다고/EC
경찰은	경찰/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.205.6.1
김씨 등은 중고생 일진들에게 또래를 상대로 금품을 뜯게 한 혐의도 받고 있다.

김씨	김/NNP+씨/NNB
등은	등/NNB+은/JX
중고생	중/NNG+고/NNG+생/XSN
일진들에게	일진/NNG+들/XSN+에게/JKB
또래를	또래/NNG+를/JKO
상대로	상대/NNG+로/JKB
금품을	금품/NNG+을/JKO
뜯게	뜯/VV+게/EC
한	하/VX+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.205.6.2
김씨의 지시를 받은 김아무개(19)군 등 11명은 지역 후배 학생들을 상대로 상습적으로 폭력을 행사해 전단지 배포나 배달 등의 아르바이트를 대신하도록 시켜 2008년 3월부터 22개월 동안 다달이 6만원씩 38차례에 걸쳐 290여만원을 빼앗은 혐의를 받고 있다.

김씨의	김/NNP+씨/NNB+의/JKG
지시를	지시/NNG+를/JKO
받은	받/VV+은/ETM
김아무개(19)군	김/NNP+아무개/NP+(/SS+19/SN+)/SS+군/NNB
등	등/NNB
11명은	11/SN+명/NNB+은/JX
지역	지역/NNG
후배	후배/NNG
학생들을	학생/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
상습적으로	상습/NNG+적/XSN+으로/JKB
폭력을	폭력/NNG+을/JKO
행사해	행사/NNG+하/XSV+아/EC
전단지	전단지/NNG
배포나	배포/NNG+나/JC
배달	배달/NNG
등의	등/NNB+의/JKG
아르바이트를	아르바이트/NNG+를/JKO
대신하도록	대신/NNG+하/XSV+도록/EC
시켜	시키/VV+어/EC
2008년	2008/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
22개월	22/SN+개월/NNB
동안	동안/NNG
다달이	다달이/MAG
6만원씩	6/SN+만/NR+원/NNB+씩/XSN
38차례에	38/SN+차례/NNG+에/JKB
