# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.217
metadata : {}


# id : NWRW1800000054.217.1.1
[NOW] 반려동물 돌봐야해… 고향 못가 죄송해요

[NOW]	[/SS+NOW/SL+]/SS
반려동물	반려동물/NNG
돌봐야해…	돌보/VV+아야/EC+하/VX+아/EF+…/SE
고향	고향/NNG
못가	못/MAG+가/VV+아/EC
죄송해요	죄송하/VA+아요/EF


# id : NWRW1800000054.217.2.1
직장인 등 펫호텔 매진 사태에 봐줄 사람 없다며 귀성 망설여

직장인	직장인/NNG
등	등/NNB
펫호텔	펫/NNG+호텔/NNG
매진	매진/NNG
사태에	사태/NNG+에/JKB
봐줄	봐주/VV+ㄹ/ETM
사람	사람/NNG
없다며	없/VA+다며/EC
귀성	귀성/NNG
망설여	망설이/VV+어/EF


# id : NWRW1800000054.217.3.1
열흘 간의 추석 연휴를 앞두고 동식물을 키우는 사람들이 고민에 빠졌다.

열흘	열흘/NNG
간의	간/NNB+의/JKG
추석	추석/NNG
연휴를	연휴/NNG+를/JKO
앞두고	앞두/VV+고/EC
동식물을	동식물/NNG+을/JKO
키우는	키우/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
고민에	고민/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.217.3.2
오래 집을 비워야 하는데, 대신 돌봐줄 사람을 구하기가 쉽지 않다.

오래	오래/MAG
집을	집/NNG+을/JKO
비워야	비우/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
대신	대신/NNG
돌봐줄	돌보/VV+아/EC+주/VX+ㄹ/ETM
사람을	사람/NNG+을/JKO
구하기가	구하/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.217.3.3
날짜를 조정할 수 있는 휴가철과 달리 추석에는 모두가 같은 날에 쉬는 데다, 펫호텔·동물병원도 명절에는 쉬는 곳이 많다.

날짜를	날짜/NNG+를/JKO
조정할	조정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
휴가철과	휴가철/NNG+과/JKB
달리	달리/MAG
추석에는	추석/NNG+에/JKB+는/JX
모두가	모두/NNG+가/JKS
같은	같/VA+은/ETM
날에	날/NNG+에/JKB
쉬는	쉬/VV+는/ETM
데다,	데/NNB+다/JX+,/SP
펫호텔·동물병원도	펫/NNG+호텔/NNG+·/SP+동물/NNG+병원/NNG+도/JX
명절에는	명절/NNG+에/JKB+는/JX
곳이	곳/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000054.217.4.1
서울에 사는 직장인 정모(32)씨는 이번 추석에 고향에 내려가지 않을 생각이다.

서울에	서울/NNP+에/JKB
사는	살/VV+는/ETM
직장인	직장인/NNG
정모(32)씨는	정/NNP+모/NP+(/SS+32/SN+)/SS+씨/NNB+는/JX
이번	이번/NNG
추석에	추석/NNG+에/JKB
고향에	고향/NNG+에/JKB
내려가지	내려가/VV+지/EC
않을	않/VX+을/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.217.4.2
