# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.326
metadata : {}


# id : NWRW1800000026.326.1.1
[특파원 칼럼] 오바마에 대한 오해를 보며

[특파원	[/SS+특파원/NNG
칼럼]	칼럼/NNG+]/SS
오바마에	오바마/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
오해를	오해/NNG+를/JKO
보며	보/VV+며/EC


# id : NWRW1800000026.326.2.1
지난 주말 CNN 방송이 긴급뉴스로 내보낸 버락 오바마 미국 대통령에 대한 지지율은 42%였다.

지난	지나/VV+ㄴ/ETM
주말	주말/NNG
CNN	CNN/SL
방송이	방송/NNG+이/JKS
긴급뉴스로	긴급/NNG+뉴스/NNG+로/JKB
내보낸	내보내/VV+ㄴ/ETM
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지지율은	지지/NNG+율/XSN+은/JX
42%였다.	42/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.326.2.2
지난해 1월 취임 후 실시된 여론조사 중에서 최저(最低) 기록이다.

지난해	지난해/NNG
1월	1/SN+월/NNB
취임	취임/NNG
후	후/NNG
실시된	실시/NNG+되/XSV+ㄴ/ETM
여론조사	여론/NNG+조사/NNG
중에서	중/NNB+에서/JKB
최저(最低)	최저/NNG+(/SS+最低/SH+)/SS
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.326.2.3
역대 미국 대통령 중에서 취임 1년 8개월 만에 그보다 더 낮은 지지율을 기록한 대통령은 손꼽을 정도다.

역대	역대/NNG
미국	미국/NNP
대통령	대통령/NNG
중에서	중/NNB+에서/JKB
취임	취임/NNG
1년	1/SN+년/NNB
8개월	8/SN+개월/NNB
만에	만/NNB+에/JKB
그보다	그/NP+보다/JKB
더	더/MAG
낮은	낮/VA+은/ETM
지지율을	지지/NNG+율/XSN+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
대통령은	대통령/NNG+은/JX
손꼽을	손꼽/VV+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.326.2.4
한마디로 바닥을 모르고 추락 중이다.

한마디로	한마디/NNG+로/JKB
바닥을	바닥/NNG+을/JKO
모르고	모르/VV+고/EC
추락	추락/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.326.2.5
그의 지지율에 반비례해서 미국 국민의 오해는 커지고 있다.

그의	그/NP+의/JKG
지지율에	지지/NNG+율/XSN+에/JKB
반비례해서	반/XPN+비례/NNG+하/XSV+아서/EC
미국	미국/NNP
국민의	국민/NNG+의/JKG
오해는	오해/NNG+는/JX
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.326.3.1
기독교 신자인 그를 무슬림으로 잘못 아는 비율은 계속 상승 중이다.

기독교	기독교/NNG
신자인	신자/NNG+이/VCP+ㄴ/ETM
그를	그/NP+를/JKO
무슬림으로	무슬림/NNG+으로/JKB
잘못	잘못/MAG
아는	알/VV+는/ETM
비율은	비율/NNG+은/JX
계속	계속/MAG
상승	상승/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.326.3.2
최근 퓨 리서치의 조사에서는 미국 국민 5명 중 1명이 그의 종교를 '이슬람교'라고 답했다.

최근	최근/NNG
퓨	퓨/NNP
리서치의	리서치/NNG+의/JKG
조사에서는	조사/NNG+에서/JKB+는/JX
미국	미국/NNP
국민	국민/NNG
5명	5/SN+명/NNB
중	중/NNB
1명이	1/SN+명/NNB+이/JKS
그의	그/NP+의/JKG
종교를	종교/NNG+를/JKO
'이슬람교'라고	'/SS+이슬람교/NNG+'/SS+라고/JKQ
