# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.14
metadata : {}


# id : NWRW1800000030.14.1.1
中, 5년간 공항 45개 짓는다

中,	中/SH+,/SP
5년간	5/SN+년/NNB+간/XSN
공항	공항/NNG
45개	45/SN+개/NNB
짓는다	짓/VV+는다/EF


# id : NWRW1800000030.14.2.1
•4억명 넘을 이용객 대비

•4억명	•/SW+4/SN+억/NR+명/NNB
넘을	넘/VV+을/ETM
이용객	이용객/NNG
대비	대비/NNG


# id : NWRW1800000030.14.3.1
중국이 올해부터 5년간 중국 전역에 45곳의 공항을 새로 건설하고 운용 항공기도 1900대나 늘린다.

중국이	중국/NNP+이/JKS
올해부터	올해/NNG+부터/JX
5년간	5/SN+년/NNB+간/XSN
중국	중국/NNP
전역에	전역/NNG+에/JKB
45곳의	45/SN+곳/NNG+의/JKG
공항을	공항/NNG+을/JKO
새로	새로/MAG
건설하고	건설/NNG+하/XSV+고/EC
운용	운용/NNG
항공기도	항공기/NNG+도/JX
1900대나	1900/SN+대/NNB+나/JX
늘린다.	늘리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.14.4.1
리자샹(李家祥) 중국 민항국장은 지난 24일 베이징에서 열린 기자회견에서 "급증하는 항공 수요에 부응하기 위해 '12차 경제개발 5개년 계획(2011~2015)' 기간에 1조5000억위안(약 2300억달러)을 투자해 공항과 운용 항공기를 대폭 늘릴 것"이라고 말했다고 중국 관영 영자지 차이나데일리가 25일 보도했다.

리자샹(李家祥)	리자샹/NNP+(/SS+李家祥/SH+)/SS
중국	중국/NNP
민항국장은	민항국장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
베이징에서	베이징/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"급증하는	"/SS+급증/NNG+하/XSV+는/ETM
항공	항공/NNG
수요에	수요/NNG+에/JKB
부응하기	부응/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
'12차	'/SS+12/SN+차/NNB
경제개발	경제/NNG+개발/NNG
5개년	5/SN+개년/NNB
계획(2011~2015)'	계획/NNG+(/SS+2011/SN+~/SO+2015/SN+)/SS+'/SS
기간에	기간/NNG+에/JKB
1조5000억위안(약	1/SN+조/NR+5000/SN+억/NR+위안/NNB+(/SS+약/MMA
2300억달러)을	2300/SN+억/NR+달러/NNB+)/SS+을/JKO
투자해	투자/NNG+하/XSV+아/EC
공항과	공항/NNG+과/JC
운용	운용/NNG
항공기를	항공기/NNG+를/JKO
대폭	대폭/MAG
늘릴	늘리/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
관영	관영/NNG
영자지	영자지/NNG
차이나데일리가	차이나데일리/NNP+가/JKS
25일	25/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.14.4.2
이에 따라 현재 175곳인 중국 내 공항은 2015년 220곳으로 늘어나고 운용 항공기도 같은 기간 2600대에서 4500대로 증가하게 된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
현재	현재/MAG
175곳인	175/SN+곳/NNG+이/VCP+ㄴ/ETM
중국	중국/NNP
내	내/NNB
공항은	공항/NNG+은/JX
