# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.185
metadata : {}


# id : NWRW1800000044.185.1.1
“휴진 의사와의 통화 몰래 녹음하라” 복지부, 일선 공무원에 지시 드러나

“휴진	“/SS+휴진/NNG
의사와의	의사/NNG+와/JKB+의/JKG
통화	통화/NNG
몰래	몰래/MAG
녹음하라”	녹음/NNG+하/XSV+라/EF+”/SS
복지부,	복지부/NNG+,/SP
일선	일선/NNG
공무원에	공무원/NNG+에/JKB
지시	지시/NNG
드러나	드러나/VV+아/EF


# id : NWRW1800000044.185.2.1
[한겨레] ‘업무개시명령’ 문건 파장

[한겨레]	[/SS+한겨레/NNP+]/SS
‘업무개시명령’	‘/SS+업무/NNG+개시/NNG+명령/NNG+’/SS
문건	문건/NNG
파장	파장/NNG


# id : NWRW1800000044.185.3.1
“확실한 채증 위해” 해명

“확실한	“/SS+확실하/VA+ㄴ/ETM
채증	채증/NNG
위해”	위하/VV+아/EC+”/SS
해명	해명/NNG


# id : NWRW1800000044.185.4.1
보건복지부가 지난 10일 병원의 영리 자회사 설립 허용과 원격의료 도입 등에 항의해 집단휴진에 들어간 의사들에게 업무개시 명령을 하면서 지방자치단체 공무원들에게 의사들과의 통화 내용을 녹음하거나 명령 전달 사실을 사진·동영상으로 채증하도록 지시한 것으로 드러났다.

보건복지부가	보건/NNG+복지부/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
병원의	병원/NNG+의/JKG
영리	영리/NNG
자회사	자회사/NNG
설립	설립/NNG
허용과	허용/NNG+과/JC
원격의료	원격/NNG+의료/NNG
도입	도입/NNG
등에	등/NNB+에/JKB
항의해	항의/NNG+하/XSV+아/EC
집단휴진에	집단/NNG+휴진/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
의사들에게	의사/NNG+들/XSN+에게/JKB
업무개시	업무/NNG+개시/NNG
명령을	명령/NNG+을/JKO
하면서	하/VV+면서/EC
지방자치단체	지방/NNG+자치/NNG+단체/NNG
공무원들에게	공무원/NNG+들/XSN+에게/JKB
의사들과의	의사/NNG+들/XSN+과/JKB+의/JKG
통화	통화/NNG
내용을	내용/NNG+을/JKO
녹음하거나	녹음/NNG+하/XSV+거나/EC
명령	명령/NNG
전달	전달/NNG
사실을	사실/NNG+을/JKO
사진·동영상으로	사진/NNG+·/SP+동영상/NNG+으로/JKB
채증하도록	채증/NNG+하/XSV+도록/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.185.5.1
17일 <한겨레>가 입수한 보건복지부의 ‘3·10 집단휴진 시·군·구 대응 지침(최종)’이란 문건을 보면, 복지부는 시·군·구 보건소 공무원에게 휴진 병원을 찾아가 업무개시 명령서를 부착한 뒤 의사 개인 휴대전화로 명령서 내용을 전달하고 “그 내용이 의사에게 도달한 사실을 채증(녹음)”하라고 지시했다.

17일	17/SN+일/NNB
<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
입수한	입수/NNG+하/XSV+ㄴ/ETM
보건복지부의	보건/NNG+복지부/NNG+의/JKG
‘3·10	‘/SS+3/SN+·/SP+10/SN
집단휴진	집단/NNG+휴진/NNG
시·군·구	시·군·구/NNG
대응	대응/NNG
지침(최종)’이란	지침/NNG+(/SS+최종/NNG+)/SS+’/SS+이/VCP+란/ETM
문건을	문건/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
복지부는	복지부/NNG+는/JX
보건소	보건소/NNG
공무원에게	공무원/NNG+에게/JKB
휴진	휴진/NNG
병원을	병원/NNG+을/JKO
찾아가	찾아가/VV+아/EC
업무개시	업무/NNG+개시/NNG
명령서를	명령서/NNG+를/JKO
부착한	부착/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
의사	의사/NNG
개인	개인/NNG
휴대전화로	휴대/NNG+전화/NNG+로/JKB
명령서	명령서/NNG
내용을	내용/NNG+을/JKO
전달하고	전달/NNG+하/XSV+고/EC
“그	“/SS+그/MMD
내용이	내용/NNG+이/JKS
의사에게	의사/NNG+에게/JKB
도달한	도달/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
채증(녹음)”하라고	채증/NNG+(/SS+녹음/NNG+)/SS+”/SS+하/XSV+라고/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.185.5.2
통화가 어려우면, 문자메시지로 업무개시 명령 내용을 발송하고 수신 확인 기능을 통해 해당 의사가 문자를 읽었음을 확인하고 채증하도록 했다.

통화가	통화/NNG+가/JKS
어려우면,	어렵/VA+으면/EC+,/SP
문자메시지로	문자/NNG+메시지/NNG+로/JKB
업무개시	업무/NNG+개시/NNG
명령	명령/NNG
내용을	내용/NNG+을/JKO
발송하고	발송/NNG+하/XSV+고/EC
수신	수신/NNG
확인	확인/NNG
기능을	기능/NNG+을/JKO
통해	통하/VV+아/EC
해당	해당/NNG
의사가	의사/NNG+가/JKS
문자를	문자/NNG+를/JKO
읽었음을	읽/VV+었/EP+음/ETN+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
채증하도록	채증/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.185.5.3
이런 방법이 어려우면, 의사 자택 방문도 하라고 했다.

이런	이런/MMD
