# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.88
metadata : {}


# id : NWRW1800000026.88.1.1
[충청] 세명대 신축 기숙사 개관

[충청]	[/SS+충청/NNP+]/SS
세명대	세명대/NNP
신축	신축/NNG
기숙사	기숙사/NNG
개관	개관/NNG


# id : NWRW1800000026.88.2.1
세명대(총장 김유성)는 10일 신축 기숙사인 '세명학사' 개관식을 가졌다.

세명대(총장	세명대/NNP+(/SS+총장/NNG
김유성)는	김유성/NNP+)/SS+는/JX
10일	10/SN+일/NNB
신축	신축/NNG
기숙사인	기숙사/NNG+이/VCP+ㄴ/ETM
'세명학사'	'/SS+세명학사/NNP+'/SS
개관식을	개관식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.88.3.1
지하 1층, 지상 12층에 323실을 갖춘 호텔형 기숙사로 학생 1101명을 수용할 수 있다.

지하	지하/NNG
1층,	1/SN+층/NNG+,/SP
지상	지상/NNG
12층에	12/SN+층/NNG+에/JKB
323실을	323/SN+실/NNB+을/JKO
갖춘	갖추/VV+ㄴ/ETM
호텔형	호텔/NNG+형/XSN
기숙사로	기숙사/NNG+로/JKB
학생	학생/NNG
1101명을	1101/SN+명/NNB+을/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.88.3.2
상암 월드컵경기장을 설계한 유명건축가 유춘수씨가 감수에 참여했고, 뛰어난 건축미를 자랑한다.

상암	상암/NNP
월드컵경기장을	월드컵/NNG+경기장/NNG+을/JKO
설계한	설계/NNG+하/XSV+ㄴ/ETM
유명건축가	유명/NNG+건축가/NNG
유춘수씨가	유춘수/NNP+씨/NNB+가/JKS
감수에	감수/NNG+에/JKB
참여했고,	참여/NNG+하/XSV+았/EP+고/EC+,/SP
뛰어난	뛰어나/VA+ㄴ/ETM
건축미를	건축미/NNG+를/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.88.3.3
회의실, 휴게실, 공용샤워실, 컴퓨터실, 학생식당, 체력단련실 등을 갖춰 학생들이 편안하게 생활할 수 있도록 배려했다.

회의실,	회의실/NNG+,/SP
휴게실,	휴게실/NNG+,/SP
공용샤워실,	공용/NNG+샤워실/NNG+,/SP
컴퓨터실,	컴퓨터실/NNG+,/SP
학생식당,	학생/NNG+식당/NNG+,/SP
체력단련실	체력/NNG+단련실/NNG
등을	등/NNB+을/JKO
갖춰	갖추/VV+어/EC
학생들이	학생/NNG+들/XSN+이/JKS
편안하게	편안/NNG+하/XSA+게/EC
생활할	생활/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
배려했다.	배려/NNG+하/XSV+았/EP+다/EF+./SF


