# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.284
metadata : {}


# id : NWRW1800000029.284.1.1
박태환, 상하이서 ‘올림픽 2연패’ 리허설

박태환,	박태환/NNP+,/SP
상하이서	상하이/NNP+서/JKB
‘올림픽	‘/SS+올림픽/NNG
2연패’	2/SN+연패/NNG+’/SS
리허설	리허설/NNG


# id : NWRW1800000029.284.2.1
24일 400m 세계기록 도전

24일	24/SN+일/NNB
400m	400/SN+m/SW
세계기록	세계/NNG+기록/NNG
도전	도전/NNG


# id : NWRW1800000029.284.3.1
“2년 전 악몽은 잊어주세요.”

“2년	“/SS+2/SN+년/NNB
전	전/NNG
악몽은	악몽/NNG+은/JX
잊어주세요.”	잊/VV+어/EC+주/VX+시/EP+어요/EF+./SF+”/SS


# id : NWRW1800000029.284.4.1
‘마린보이’ 박태환(22·단국대·사진)이 24일 시작되는 상하이 세계수영선수권대회 경영에서 세계 정상 복귀를 노린다.

‘마린보이’	‘/SS+마린보이/NNG+’/SS
박태환(22·단국대·사진)이	박태환/NNP+(/SS+22/SN+·/SP+단국대/NNP+·/SP+사진/NNG+)/SS+이/JKS
24일	24/SN+일/NNB
시작되는	시작/NNG+되/XSV+는/ETM
상하이	상하이/NNP
세계수영선수권대회	세계/NNG+수영/NNG+선수/NNG+권/XSN+대회/NNG
경영에서	경영/NNG+에서/JKB
세계	세계/NNG
정상	정상/NNG
복귀를	복귀/NNG+를/JKO
노린다.	노리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.284.5.1
박태환은 2008년 베이징 올림픽 자유형 400m에서 금메달을 딴 뒤 우쭐한 마음에 훈련을 등한시하다 2009년 로마 세계선수권대회에서 전 종목 결선 진출 좌절로 국민을 크게 실망시켰다.

박태환은	박태환/NNP+은/JX
2008년	2008/SN+년/NNB
베이징	베이징/NNP
올림픽	올림픽/NNG
자유형	자유/NNG+형/XSN
400m에서	400/SN+m/SW+에서/JKB
금메달을	금메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
뒤	뒤/NNG
우쭐한	우쭐/MAG+하/XSV+ㄴ/ETM
마음에	마음/NNG+에/JKB
훈련을	훈련/NNG+을/JKO
등한시하다	등한시/NNG+하/XSV+다/EC
2009년	2009/SN+년/NNB
로마	로마/NNP
세계선수권대회에서	세계/NNG+선수/NNG+권/XSN+대회/NNG+에서/JKB
전	전/MMN
종목	종목/NNG
결선	결선/NNG
진출	진출/NNG
좌절로	좌절/NNG+로/JKB
국민을	국민/NNG+을/JKO
크게	크/VA+게/EC
실망시켰다.	실망/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.284.5.2
다시 정신을 차려 지난해 광저우 아시아경기에서 2회 연속 3관왕(자유형 100m, 200m, 400m)에 오르며 자존심을 세우긴 했지만 아시아를 넘어 세계를 제패해 제대로 명예 회복을 한다는 각오다.

다시	다시/MAG
정신을	정신/NNG+을/JKO
차려	차리/VV+어/EC
지난해	지난해/NNG
광저우	광저우/NNP
아시아경기에서	아시아/NNP+경기/NNG+에서/JKB
2회	2/SN+회/NNB
연속	연속/NNG
3관왕(자유형	3관왕/NNG+(/SS+자유/NNG+형/XSN
100m,	100/SN+m/SW+,/SP
200m,	200/SN+m/SW+,/SP
400m)에	400/SN+m/SW+)/SS+에/JKB
오르며	오르/VV+며/EC
자존심을	자존심/NNG+을/JKO
세우긴	세우/VV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
아시아를	아시아/NNP+를/JKO
넘어	넘/VV+어/EC
세계를	세계/NNG+를/JKO
제패해	제패/NNG+하/XSV+아/EC
제대로	제대로/MAG
명예	명예/NNG
회복을	회복/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
각오다.	각오/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.284.6.1
세계선수권은 박태환이 월드 스타로 도약한 무대.

세계선수권은	세계/NNG+선수/NNG+권/XSN+은/JX
박태환이	박태환/NNP+이/JKS
월드	월드/NNG
스타로	스타/NNG+로/JKB
도약한	도약/NNG+하/XSV+ㄴ/ETM
무대.	무대/NNG+./SF


# id : NWRW1800000029.284.6.2
2007년 멜버른 대회 자유형 400m에서 금메달, 200m에서 동메달을 획득하면서 세계 수영계에 이름을 알렸다.

2007년	2007/SN+년/NNB
멜버른	멜버른/NNP
대회	대회/NNG
자유형	자유/NNG+형/XSN
400m에서	400/SN+m/SW+에서/JKB
금메달,	금메달/NNG+,/SP
200m에서	200/SN+m/SW+에서/JKB
동메달을	동메달/NNG+을/JKO
획득하면서	획득/NNG+하/XSV+면서/EC
세계	세계/NNG
수영계에	수영/NNG+계/XSN+에/JKB
이름을	이름/NNG+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.284.6.3
이번 세계선수권은 내년 런던 올림픽을 앞두고 치러지는 리허설 성격이라 내로라하는 선수들이 다 출전한다.

이번	이번/NNG
세계선수권은	세계/NNG+선수/NNG+권/XSN+은/JX
내년	내년/NNG
런던	런던/NNP
올림픽을	올림픽/NNG+을/JKO
앞두고	앞두/VV+고/EC
치러지는	치르/VV+어/EC+지/VX+는/ETM
리허설	리허설/NNG
성격이라	성격/NNG+이/VCP+라/EC
내로라하는	내로라하/VV+는/ETM
선수들이	선수/NNG+들/XSN+이/JKS
다	다/MAG
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.284.6.4
올림픽 2연패를 목표로 정한 박태환으로선 제대로 기량을 점검할 수 있는 장이다.

올림픽	올림픽/NNG
2연패를	2/SN+연패/NNG+를/JKO
목표로	목표/NNG+로/JKB
정한	정하/VV+ㄴ/ETM
박태환으로선	박태환/NNP+으로서/JKB+ㄴ/JX
제대로	제대로/MAG
기량을	기량/NNG+을/JKO
점검할	점검/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장이다.	장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.284.7.1
박태환은 아시아경기를 마친 뒤 계속 훈련에 매진했고 지난달 미국 샌타클래라 국제그랑프리대회에서 주 종목인 자유형 400m(3분44초99)와 100m(48초92), 200m(1분45초92)에서 모두 우승하는 등 상승세에 있다.

박태환은	박태환/NNP+은/JX
아시아경기를	아시아/NNP+경기/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
계속	계속/MAG
훈련에	훈련/NNG+에/JKB
매진했고	매진/NNG+하/XSV+았/EP+고/EC
지난달	지난달/NNG
미국	미국/NNP
샌타클래라	샌타클래라/NNP
국제그랑프리대회에서	국제/NNG+그랑프리/NNG+대회/NNG+에서/JKB
주	주/MMA
종목인	종목/NNG+이/VCP+ㄴ/ETM
자유형	자유/NNG+형/XSN
400m(3분44초99)와	400/SN+m/SW+(/SS+3/SN+분/NNB+44/SN+초/NNB+99/SN+)/SS+와/JC
100m(48초92),	100/SN+m/SW+(/SS+48/SN+초/NNB+92/SN+)/SS+,/SP
200m(1분45초92)에서	200/SN+m/SW+(/SS+1/SN+분/NNB+45/SN+초/NNB+92/SN+)/SS+에서/JKB
모두	모두/MAG
우승하는	우승/NNG+하/XSV+는/ETM
등	등/NNB
상승세에	상승세/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.284.8.1
박태환의 라이벌은 쑨양(20·중국)이다.

박태환의	박태환/NNP+의/JKG
라이벌은	라이벌/NNG+은/JX
쑨양(20·중국)이다.	쑨양/NNP+(/SS+20/SN+·/SP+중국/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000029.284.8.2
광저우에서 박태환에게 금메달을 내준 쑨양은 4월 열린 자국 선수권대회 자유형 400m에서 3분41초48을 기록해 올 시즌 랭킹 1위를 달리고 있다.

광저우에서	광저우/NNP+에서/JKB
박태환에게	박태환/NNP+에게/JKB
금메달을	금메달/NNG+을/JKO
내준	내주/VV+ㄴ/ETM
쑨양은	쑨양/NNP+은/JX
4월	4/SN+월/NNB
열린	열리/VV+ㄴ/ETM
자국	자국/NNG
선수권대회	선수/NNG+권/XSN+대회/NNG
자유형	자유/NNG+형/XSN
400m에서	400/SN+m/SW+에서/JKB
3분41초48을	3/SN+분/NNB+41/SN+초/NNB+48/SN+을/JKO
기록해	기록/NNG+하/XSV+아/EC
올	올/NNG
시즌	시즌/NNG
랭킹	랭킹/NNG
1위를	1/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.284.8.3
박태환의 올 시즌 기록보다 3초 이상, 개인 최고기록(3분41초53)보다 0.05초가 빠르다.

박태환의	박태환/NNP+의/JKG
올	올/NNG
시즌	시즌/NNG
기록보다	기록/NNG+보다/JKB
3초	3/SN+초/NNB
이상,	이상/NNG+,/SP
개인	개인/NNG
최고기록(3분41초53)보다	최고/NNG+기록/NNG+(/SS+3/SN+분/NNB+41/SN+초/NNB+53/SN+)/SS+보다/JKB
0.05초가	0/SN+./SP+05/SN+초/NNB+가/JKS
빠르다.	빠르/VA+다/EF+./SF


# id : NWRW1800000029.284.9.1
하지만 박태환은 쑨양의 도전이 오히려 반갑다.

하지만	하지만/MAJ
박태환은	박태환/NNP+은/JX
쑨양의	쑨양/NNP+의/JKG
도전이	도전/NNG+이/JKS
오히려	오히려/MAG
반갑다.	반갑/VA+다/EF+./SF


# id : NWRW1800000029.284.9.2
서로 경쟁하다 보면 세계기록(3분40초07)도 깰 수 있기 때문.

서로	서로/MAG
경쟁하다	경쟁/NNG+하/XSV+다/EC
보면	보/VX+면/EC
세계기록(3분40초07)도	세계/NNG+기록/NNG+(/SS+3/SN+분/NNB+40/SN+초/NNB+07/SN+)/SS+도/JX
깰	깨/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000029.284.9.3
호주 국가대표로 마이클 볼 코치 밑에서 박태환과 함께 물살을 갈랐던 라이언 나폴레온(21)은 “자유형 400m에서는 박태환이 쑨양보다 더 위협적이다.

호주	호주/NNP
국가대표로	국가/NNG+대표/NNG+로/JKB
마이클	마이클/NNP
볼	볼/NNP
코치	코치/NNG
밑에서	밑/NNG+에서/JKB
박태환과	박태환/NNP+과/JKB
함께	함께/MAG
물살을	물살/NNG+을/JKO
갈랐던	가르/VV+았/EP+던/ETM
라이언	라이언/NNP
나폴레온(21)은	나폴레온/NNP+(/SS+21/SN+)/SS+은/JX
“자유형	“/SS+자유/NNG+형/XSN
400m에서는	400/SN+m/SW+에서/JKB+는/JX
박태환이	박태환/NNP+이/JKS
쑨양보다	쑨양/NNP+보다/JKB
더	더/MAG
위협적이다.	위협/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000029.284.9.4
세계기록을 깨거나 그에 가까운 기록을 낼 수 있을 것”이라고 전망했다.

세계기록을	세계/NNG+기록/NNG+을/JKO
깨거나	깨/VV+거나/EC
그에	그/NP+에/JKB
가까운	가깝/VA+ㄴ/ETM
기록을	기록/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.284.9.5
박태환은 24일 400m, 25일 200m, 27일 100m에 출전한다.

박태환은	박태환/NNP+은/JX
24일	24/SN+일/NNB
400m,	400/SN+m/SW+,/SP
25일	25/SN+일/NNB
200m,	200/SN+m/SW+,/SP
27일	27/SN+일/NNB
100m에	100/SN+m/SW+에/JKB
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


