# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.25
metadata : {}


# id : NWRW1800000049.25.1.1
[기업人]태양광 발전기술 ‘독보적’… 직원 행복이 최우선

[기업人]태양광	[/SS+기업/NNG+人/SH+]/SS+태양광/NNG
발전기술	발전/NNG+기술/NNG
‘독보적’…	‘/SS+독보/NNG+적/XSN+’/SS+…/SE
직원	직원/NNG
행복이	행복/NNG+이/JKS
최우선	최/XPN+우선/NNG


# id : NWRW1800000049.25.2.1
㈜아스트로너지쏠라코리아

㈜아스트로너지쏠라코리아	㈜/SW+아스트로너지쏠라코리아/NNP


# id : NWRW1800000049.25.3.1
폭염 등 기상이변이 연례행사가 되고 전력 수요가 늘어나면서 친환경 에너지는 새로운 화두로 부상하고 있다.

폭염	폭염/NNG
등	등/NNB
기상이변이	기상/NNG+이변/NNG+이/JKS
연례행사가	연례행사/NNG+가/JKC
되고	되/VV+고/EC
전력	전력/NNG
수요가	수요/NNG+가/JKS
늘어나면서	늘어나/VV+면서/EC
친환경	친/XPN+환경/NNG
에너지는	에너지/NNG+는/JX
새로운	새롭/VA+ㄴ/ETM
화두로	화두/NNG+로/JKB
부상하고	부상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.25.3.2
국제사회에서는 친환경 에너지에 대한 중요성을 일찍이 인식하고 사업에 착수했지만 국내에서는 태양광 발전을 비롯한 친환경 에너지 사업에 대한 반응도는 낮은 수준에 머물렀다.

국제사회에서는	국제/NNG+사회/NNG+에서/JKB+는/JX
친환경	친/XPN+환경/NNG
에너지에	에너지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중요성을	중요/NNG+성/XSN+을/JKO
일찍이	일찍이/MAG
인식하고	인식/NNG+하/XSV+고/EC
사업에	사업/NNG+에/JKB
착수했지만	착수/NNG+하/XSV+았/EP+지만/EC
국내에서는	국내/NNG+에서/JKB+는/JX
태양광	태양광/NNG
발전을	발전/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
에너지	에너지/NNG
반응도는	반응도/NNG+는/JX
낮은	낮/VA+은/ETM
수준에	수준/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.25.3.3
그러나 요즘은 상황이 달라졌다.

그러나	그러나/MAJ
요즘은	요즘/NNG+은/JX
상황이	상황/NNG+이/JKS
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.25.3.4
미세먼지와 대기오염 등 환경 이슈가 떠오르면서 친환경 에너지 사회로 전환이 시급하다는 목소리가 커진 것.

미세먼지와	미세/NNG+먼지/NNG+와/JC
대기오염	대기/NNG+오염/NNG
등	등/NNB
환경	환경/NNG
이슈가	이슈/NNG+가/JKS
떠오르면서	떠오르/VV+면서/EC
친환경	친/XPN+환경/NNG
에너지	에너지/NNG
사회로	사회/NNG+로/JKB
전환이	전환/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
목소리가	목소리/NNG+가/JKS
커진	커지/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000049.25.4.1
글로벌 태양광 발전기업 ㈜아스트로너지쏠라코리아는 이러한 변화에 어느 기업보다 발 빠르게 움직여왔다.

글로벌	글로벌/NNG
태양광	태양광/NNG
발전기업	발전/NNG+기업/NNG
㈜아스트로너지쏠라코리아는	㈜/SW+아스트로너지쏠라코리아/NNP+는/JX
이러한	이러하/VA+ㄴ/ETM
변화에	변화/NNG+에/JKB
어느	어느/MMD
기업보다	기업/NNG+보다/JKB
발	발/NNG
빠르게	빠르/VA+게/EC
움직여왔다.	움직이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.25.4.2
이 회사의 장치평 대표는 이미 오래전부터 국내에서도 친환경 이슈가 부각할 것이라는 전망을 내놓고 에너지 시장에 도전장을 내밀었다.

이	이/MMD
회사의	회사/NNG+의/JKG
장치평	장치평/NNP
대표는	대표/NNG+는/JX
이미	이미/MAG
오래전부터	오래전/NNG+부터/JX
국내에서도	국내/NNG+에서/JKB+도/JX
친환경	친/XPN+환경/NNG
이슈가	이슈/NNG+가/JKS
부각할	부각/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망을	전망/NNG+을/JKO
내놓고	내놓/VV+고/EC
