# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.224
metadata : {}


# id : NWRW1800000021.224.1.1
“두딸이 ‘돌아올수 없는 문’ 오가는 모습 못잊어”

“두딸이	“/SS+두/MMN+딸/NNG+이/JKS
‘돌아올수	‘/SS+돌아오/VV+ㄹ/ETM+수/NNB
없는	없/VA+는/ETM
문’	문/NNG+’/SS
오가는	오가/VV+는/ETM
모습	모습/NNG
못잊어”	못/MAG+잊/VV+어/EF+”/SS


# id : NWRW1800000021.224.2.1
아프리카 가나의 수도 아크라에서 160km 떨어진 해안가에 있는 케이프코스트 캐슬.

아프리카	아프리카/NNP
가나의	가나/NNP+의/JKG
수도	수도/NNG
아크라에서	아크라/NNP+에서/JKB
160km	160/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
해안가에	해안가/NNG+에/JKB
있는	있/VV+는/ETM
케이프코스트	케이프코스트/NNP
캐슬.	캐슬/NNP+./SF


# id : NWRW1800000021.224.2.2
1653년에 만들어져 노예제 시대에 악명을 떨친 요새다.

1653년에	1653/SN+년/NNB+에/JKB
만들어져	만들/VV+어/EC+지/VX+어/EC
노예제	노예/NNG+제/XSN
시대에	시대/NNG+에/JKB
악명을	악명/NNG+을/JKO
떨친	떨치/VV+ㄴ/ETM
요새다.	요새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.224.2.3
수많은 흑인이 족쇄를 찬 채 이곳 감옥에 갇혀 있다가 미국행 배에 강제로 태워졌다.

수많은	수많/VA+은/ETM
흑인이	흑인/NNG+이/JKS
족쇄를	족쇄/NNG+를/JKO
찬	차/VV+ㄴ/ETM
채	채/NNB
이곳	이곳/NP
감옥에	감옥/NNG+에/JKB
갇혀	갇히/VV+어/EC
있다가	있/VX+다가/EC
미국행	미국행/NNG
배에	배/NNG+에/JKB
강제로	강제/NNG+로/JKB
태워졌다.	태우/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.224.2.4
그래서 그곳은 ‘돌아올 수 없는 문(門)’으로 불렸다.

그래서	그래서/MAJ
그곳은	그곳/NP+은/JX
‘돌아올	‘/SS+돌아오/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
문(門)’으로	문/NNG+(/SS+門/SH+)/SS+’/SS+으로/JKB
불렸다.	불리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.224.3.1
그곳에 12일 버락 오바마 미국 대통령이 섰다.

그곳에	그곳/NP+에/JKB
12일	12/SN+일/NNB
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.224.3.2
그는 두 딸과 아내가 요새를 둘러보는 걸 말없이 바라봤다.

그는	그/NP+는/JX
두	두/MMN
딸과	딸/NNG+과/JC
아내가	아내/NNG+가/JKS
요새를	요새/NNG+를/JKO
둘러보는	둘러보/VV+는/ETM
걸	거/NNB+ㄹ/JKO
말없이	말없이/MAG
바라봤다.	바라보/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.224.3.3
몇 시간 후 그는 가나 의회에서 연설했다.

몇	몇/NR
시간	시간/NNG
후	후/NNG
그는	그/NP+는/JX
가나	가나/NNP
의회에서	의회/NNG+에서/JKB
연설했다.	연설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.224.4.1
