# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.159
metadata : {}


# id : NWRW1800000038.159.1.1
대통령·재벌총수 구속시켰던 '칼잡이 검사', 사퇴하며 "내 단죄에 몇 명이나 승복했을지…"

대통령·재벌총수	대통령/NNG+·/SP+재벌/NNG+총수/NNG
구속시켰던	구속/NNG+시키/XSV+었/EP+던/ETM
'칼잡이	'/SS+칼잡이/NNG
검사',	검사/NNG+'/SS+,/SP
사퇴하며	사퇴/NNG+하/XSV+며/EC
"내	"/SS+나/NP+의/JKG
단죄에	단죄/NNG+에/JKB
몇	몇/NR
명이나	명/NNB+이나/JX
승복했을지…"	승복/NNG+하/XSV+았/EP+을지/EF+…/SE+"/SS


# id : NWRW1800000038.159.2.1
김진태 대검 차장, 사퇴의 辯… 최교일 서울중앙지검장 등 검찰 간부들 사퇴 잇따라

김진태	김진태/NNP
대검	대검/NNG
차장,	차장/NNG+,/SP
사퇴의	사퇴/NNG+의/JKG
辯…	辯/SH+…/SE
최교일	최교일/NNP
서울중앙지검장	서울중앙지검장/NNG
등	등/NNB
검찰	검찰/NNG
간부들	간부/NNG+들/XSN
사퇴	사퇴/NNG
잇따라	잇따르/VV+아/EF


# id : NWRW1800000038.159.3.1
1일 김진태(사법연수원 14기) 대검찰청 차장과 최교일(15기) 서울중앙지검장 등이 사직서를 제출하는 등 검찰 고위직 간부 사퇴가 잇따르고 있다.

1일	1/SN+일/NNB
김진태(사법연수원	김진태/NNP+(/SS+사법/NNG+연수원/NNG
14기)	14/SN+기/NNG+)/SS
대검찰청	대/XPN+검찰청/NNG
차장과	차장/NNG+과/JC
최교일(15기)	최교일/NNP+(/SS+15/SN+기/NNG+)/SS
서울중앙지검장	서울중앙지검장/NNG
등이	등/NNB+이/JKS
사직서를	사직서/NNG+를/JKO
제출하는	제출/NNG+하/XSV+는/ETM
등	등/NNB
검찰	검찰/NNG
고위직	고위직/NNG
간부	간부/NNG
사퇴가	사퇴/NNG+가/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.159.3.2
이들이 검찰을 떠나며 내부통신망에 마지막으로 남긴 '사퇴의 변'이 여운을 남겼다.

이들이	이/NP+들/XSN+이/JKS
검찰을	검찰/NNG+을/JKO
떠나며	떠나/VV+며/EC
내부통신망에	내부/NNG+통신망/NNG+에/JKB
마지막으로	마지막/NNG+으로/JKB
남긴	남기/VV+ㄴ/ETM
'사퇴의	'/SS+사퇴/NNG+의/JKG
변'이	변/NNG+'/SS+이/JKS
여운을	여운/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.159.4.1
김 차장은 A4용지 4장 분량 장문(長文)의 글에서 검찰을 떠나는 심정을 피력하며 "늘 해는 서산에 기웃하는데 맡은 일은 무겁고 결과는 아득한(日暮任重道遠) 인고의 세월이었다"고 했다.

김	김/NNP
차장은	차장/NNG+은/JX
A4용지	A/SL+4/SN+용지/NNG
4장	4/SN+장/NNB
분량	분량/NNG
장문(長文)의	장문/NNG+(/SS+長文/SH+)/SS+의/JKG
글에서	글/NNG+에서/JKB
검찰을	검찰/NNG+을/JKO
떠나는	떠나/VV+는/ETM
심정을	심정/NNG+을/JKO
피력하며	피력/NNG+하/XSV+며/EC
"늘	"/SS+늘/MAG
해는	해/NNG+는/JX
서산에	서산/NNG+에/JKB
기웃하는데	기웃/MAG+하/XSV+는데/EC
맡은	맡/VV+은/ETM
일은	일/NNG+은/JX
무겁고	무겁/VA+고/EC
결과는	결과/NNG+는/JX
아득한(日暮任重道遠)	아득하/VA+ㄴ/ETM+(/SS+日暮任重道遠/SH+)/SS
인고의	인고/NNG+의/JKG
세월이었다"고	세월/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.159.4.2
재임 기간 전직 대통령과 현직 대통령 아들, 재벌총수 등을 숱하게 구속시켰던 '당대의 칼잡이'였지만 떠나는 순간엔 피의자와 그의 가족을 떠올렸다.

재임	재임/NNG
기간	기간/NNG
전직	전직/NNG
대통령과	대통령/NNG+과/JC
현직	현직/NNG
대통령	대통령/NNG
아들,	아들/NNG+,/SP
재벌총수	재벌/NNG+총수/NNG
등을	등/NNB+을/JKO
숱하게	숱하/VA+게/EC
구속시켰던	구속/NNG+시키/XSV+었/EP+던/ETM
'당대의	'/SS+당대/NNG+의/JKG
칼잡이'였지만	칼잡이/NNG+'/SS+이/VCP+었/EP+지만/EC
떠나는	떠나/VV+는/ETM
순간엔	순간/NNG+에/JKB+ㄴ/JX
피의자와	피의자/NNG+와/JC
그의	그/NP+의/JKG
가족을	가족/NNG+을/JKO
떠올렸다.	떠올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.159.4.3
그는 "저의 처분에 흔쾌히 승복한 사람이 얼마나 되겠느냐"면서도 검사 생활 동안 자신이 처리한 사건에서 피의자가 목숨을 버린 기억이 없었던 것이 다행이라는 소회를 밝혔다.

그는	그/NP+는/JX
"저의	"/SS+저/NP+의/JKG
처분에	처분/NNG+에/JKB
흔쾌히	흔쾌히/MAG
승복한	승복/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
얼마나	얼마나/MAG
되겠느냐"면서도	되/VV+겠/EP+느냐/EF+"/SS+면서/EC+도/JX
검사	검사/NNG
생활	생활/NNG
동안	동안/NNG
자신이	자신/NNG+이/JKS
처리한	처리/NNG+하/XSV+ㄴ/ETM
사건에서	사건/NNG+에서/JKB
피의자가	피의자/NNG+가/JKS
목숨을	목숨/NNG+을/JKO
버린	버리/VV+ㄴ/ETM
기억이	기억/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
것이	것/NNB+이/JKS
다행이라는	다행/NNG+이/VCP+라는/ETM
소회를	소회/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.159.5.1
김 차장의 글은 "이순신의 기개를 흉내내려고 했지만 솔직히 재직 기간 중 스물 몇 번이나 받은 인사 중 마음속 깊이 승복한 경우는 그리 많지 않았다"고 맺었다.

김	김/NNP
차장의	차장/NNG+의/JKG
글은	글/NNG+은/JX
"이순신의	"/SS+이순신/NNP+의/JKG
기개를	기개/NNG+를/JKO
흉내내려고	흉내/NNG+내/VV+려고/EC
했지만	하/VX+았/EP+지만/EC
솔직히	솔직히/MAG
재직	재직/NNG
기간	기간/NNG
중	중/NNB
스물	스물/NR
몇	몇/NR
번이나	번/NNB+이나/JX
받은	받/VV+은/ETM
인사	인사/NNG
마음속	마음속/NNG
깊이	깊이/MAG
승복한	승복/NNG+하/XSV+ㄴ/ETM
경우는	경우/NNG+는/JX
그리	그리/MAG
많지	많/VA+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.159.5.2
마지막까지 총장 경합을 벌였기에, 인사(人事)에 대한 서운함을 담아낸 것이 아니냐는 해석이 나왔다.

마지막까지	마지막/NNG+까지/JX
총장	총장/NNG
경합을	경합/NNG+을/JKO
벌였기에,	벌이/VV+었/EP+기에/EC+,/SP
인사(人事)에	인사/NNG+(/SS+人事/SH+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
서운함을	서운하/VA+ㅁ/ETN+을/JKO
담아낸	담아내/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
해석이	해석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.159.6.1
김홍일(15기) 부산고검장의 글도 화제가 됐다.

김홍일(15기)	김홍일/NNP+(/SS+15/SN+기/NNG+)/SS
