# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.271
metadata : {}


# id : NWRW1800000038.271.1.1
단 1분 남기고… 포항, K리그를 뒤집다

단	단/MMA
1분	1/SN+분/NNB
남기고…	남기/VV+고/EC+…/SE
포항,	포항/NNP+,/SP
K리그를	K리그/NNP+를/JKO
뒤집다	뒤집/VV+다/EF


# id : NWRW1800000038.271.2.1
울산 잡고 K리그 역전 우승… 사상 첫 FA컵·리그 동시 석권

울산	울산/NNP
잡고	잡/VV+고/EC
K리그	K리그/NNP
역전	역전/NNG
우승…	우승/NNG+…/SE
사상	사상/NNG
첫	첫/MMN
FA컵·리그	FA/SL+컵/NNG+·/SP+리그/NNG
동시	동시/NNG
석권	석권/NNG


# id : NWRW1800000038.271.3.1
모두 경기가 끝났다고 생각하는 순간 프로축구 30년 사상 가장 극적이라고 할 수 있는 골이 터졌다.

모두	모두/MAG
경기가	경기/NNG+가/JKS
끝났다고	끝나/VV+았/EP+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
순간	순간/NNG
프로축구	프로/NNG+축구/NNG
30년	30/SN+년/NNB
사상	사상/NNG
가장	가장/MAG
극적이라고	극/NNG+적/XSN+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
골이	골/NNG+이/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.271.4.1
인저리 타임을 포함한 시간이 후반 50분을 가리키고 있을 때 중앙선 부근에서 포항이 프리킥을 얻었다.

인저리	인저리/NNG
타임을	타임/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
시간이	시간/NNG+이/JKS
후반	후반/NNG
50분을	50/SN+분/NNB+을/JKO
가리키고	가리키/VV+고/EC
있을	있/VX+을/ETM
때	때/NNG
중앙선	중앙선/NNG
부근에서	부근/NNG+에서/JKB
포항이	포항/NNP+이/JKS
프리킥을	프리킥/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.271.4.2
김재성이 길게 올린 공을 포항과 울산의 선수들이 차내고 막아내던 혼전이 이어지던 상황에서 김원일이 오른발 슈팅으로 골망을 갈랐다.

김재성이	김재성/NNP+이/JKS
길게	길/VA+게/EC
올린	올리/VV+ㄴ/ETM
공을	공/NNG+을/JKO
포항과	포항/NNP+과/JC
울산의	울산/NNP+의/JKG
선수들이	선수/NNG+들/XSN+이/JKS
차내고	차/VV+아/EC+내/VX+고/EC
막아내던	막/VV+아/EC+내/VX+던/ETM
혼전이	혼전/NNG+이/JKS
이어지던	이어지/VV+던/ETM
상황에서	상황/NNG+에서/JKB
김원일이	김원일/NNP+이/JKS
오른발	오른발/NNG
슈팅으로	슈팅/NNG+으로/JKB
골망을	골/NNG+망/NNG+을/JKO
갈랐다.	가르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.271.4.3
반드시 이겨야 우승이 가능했던 포항은 이 결승골로 1대0 승리를 거뒀다.

반드시	반드시/MAG
이겨야	이기/VV+어야/EC
우승이	우승/NNG+이/JKS
가능했던	가능/NNG+하/XSA+았/EP+던/ETM
포항은	포항/NNP+은/JX
이	이/MMD
결승골로	결승/NNG+골/NNG+로/JKB
1대0	1/SN+대/NNB+0/SN
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.271.4.4
1분 뒤 주심의 휘슬 소리가 울리자 선수들이 그라운드로 뛰쳐나왔고, 포항 팬들은 응원가 '영일만 친구'를 목청껏 불렀다.

1분	1/SN+분/NNB
뒤	뒤/NNG
주심의	주심/NNG+의/JKG
휘슬	휘슬/NNG
소리가	소리/NNG+가/JKS
울리자	울리/VV+자/EC
선수들이	선수/NNG+들/XSN+이/JKS
그라운드로	그라운드/NNG+로/JKB
