# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.362
metadata : {}


# id : NWRW1800000046.362.1.1
거슬리는 시행령 다 손본다는 野

거슬리는	거슬리/VV+는/ETM
시행령	시행령/NNG
다	다/MAG
손본다는	손보/VV+ㄴ다는/ETM
野	野/SH


# id : NWRW1800000046.362.2.1
"잘못된 것 모두 개정" 바뀐 국회法 이용해 영향력 행사

"잘못된	"/SS+잘못/MAG+되/XSV+ㄴ/ETM
것	것/NNB
모두	모두/MAG
개정"	개정/NNG+"/SS
바뀐	바뀌/VV+ㄴ/ETM
국회法	국회/NNG+法/SH
이용해	이용/NNG+하/XSV+아/EC
영향력	영향력/NNG
행사	행사/NNG


# id : NWRW1800000046.362.3.1
국회가 정부 시행령의 수정을 사실상 강제할 수 있도록 한 국회법 개정을 주도했던 새정치민주연합은 31일 "그동안 정부 시행령에 문제가 많았다"며 대대적인 시행령 손보기를 예고했다.

국회가	국회/NNG+가/JKS
정부	정부/NNG
시행령의	시행령/NNG+의/JKG
수정을	수정/NNG+을/JKO
사실상	사실/NNG+상/XSN
강제할	강제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/ETM
국회법	국회법/NNG
개정을	개정/NNG+을/JKO
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
새정치민주연합은	새정치민주연합/NNP+은/JX
31일	31/SN+일/NNB
"그동안	"/SS+그동안/NNG
시행령에	시행령/NNG+에/JKB
문제가	문제/NNG+가/JKS
많았다"며	많/VA+았/EP+다/EF+"/SS+며/EC
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
시행령	시행령/NNG
손보기를	손보기/NNG+를/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.362.3.2
개정된 국회법 조항을 활용해 행정·사법부에 대한 우월적 영향력 행사를 본격화하려는 조짐이다.

개정된	개정/NNG+되/XSV+ㄴ/ETM
국회법	국회법/NNG
조항을	조항/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
행정·사법부에	행정/NNG+·/SP+사법부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우월적	우월/NNG+적/XSN
영향력	영향력/NNG
행사를	행사/NNG+를/JKO
본격화하려는	본격/NNG+화/XSN+하/XSV+려는/ETM
조짐이다.	조짐/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.362.3.3
새정치연합은 우선적으로 손볼 정부 시행령을 정리해 1일 발표할 것으로 알려졌다.

새정치연합은	새정치연합/NNP+은/JX
우선적으로	우선/NNG+적/XSN+으로/JKB
손볼	손보/VV+ㄹ/ETM
정부	정부/NNG
시행령을	시행령/NNG+을/JKO
정리해	정리/NNG+하/XSV+아/EC
1일	1/SN+일/NNB
발표할	발표/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.362.4.1
새정치연합 이종걸 원내대표는 이날 야당 소속 광역단체장 정책 간담회에서 "국회 입법권을 무시하는 시행령들이 각 분야에 널려 있다"며 "요새 공무원들 헌법 공부도 안 하는 것 같다.

새정치연합	새정치연합/NNP
이종걸	이종걸/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
야당	야당/NNG
소속	소속/NNG
광역단체장	광역/NNG+단체장/NNG
정책	정책/NNG
간담회에서	간담회/NNG+에서/JKB
"국회	"/SS+국회/NNG
입법권을	입법/NNG+권/XSN+을/JKO
무시하는	무시/NNG+하/XSV+는/ETM
시행령들이	시행령/NNG+들/XSN+이/JKS
각	각/MMD
분야에	분야/NNG+에/JKB
널려	널리/VV+어/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"요새	"/SS+요새/NNG
공무원들	공무원/NNG+들/XSN
헌법	헌법/NNG
공부도	공부/NNG+도/JX
안	안/MAG
하는	하/VV+는/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000046.362.4.2
대통령 닮아 그러시는지 모르겠다"고 말했다.

대통령	대통령/NNG
닮아	닮/VV+아/EC
그러시는지	그러/VV+시/EP+는지/EC
모르겠다"고	모르/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.362.4.3
이 원내대표는 정부의 지방재정법 시행령과 관련, "정부가 누리 과정(만 3~5세 무상 교육) 보육 예산을 교육청의 의무 지출 경비로 바꾸는 시행령 개정을 추진하고 있다"며 "정부가 이런 말도 안 되는 시행령을 만들려고 하는데, 잘못된 시행령으로 고통받는 점이 있으면 언제든지 알려 달라"고 했다.

이	이/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
정부의	정부/NNG+의/JKG
지방재정법	지방/NNG+재정법/NNG
시행령과	시행령/NNG+과/JKB
관련,	관련/NNG+,/SP
"정부가	"/SS+정부/NNG+가/JKS
누리	누리/NNG
과정(만	과정/NNG+(/SS+만/MMA
3~5세	3/SN+~/SO+5/SN+세/NNB
무상	무상/NNG
교육)	교육/NNG+)/SS
보육	보육/NNG
예산을	예산/NNG+을/JKO
교육청의	교육청/NNG+의/JKG
의무	의무/NNG
지출	지출/NNG
경비로	경비/NNG+로/JKB
바꾸는	바꾸/VV+는/ETM
시행령	시행령/NNG
개정을	개정/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
이런	이런/MMD
말도	말/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
시행령을	시행령/NNG+을/JKO
만들려고	만들/VV+려고/EC
하는데,	하/VX+는데/EC+,/SP
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
시행령으로	시행령/NNG+으로/JKB
고통받는	고통/NNG+받/XSV+는/ETM
점이	점/NNG+이/JKS
있으면	있/VA+으면/EC
언제든지	언제/NP+든지/JX
알려	알리/VV+어/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.362.4.4
이 원내대표는 지난 29일 확대 간부회의에서도 "모법(母法)과 상충하는 시행령이 있다면 상임위별로 그 실태를 조사해 달라"며 개정 국회법을 활용한 시행령 개정을 지시했다.

이	이/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
지난	지나/VV+ㄴ/ETM
29일	29/SN+일/NNB
확대	확대/NNG
간부회의에서도	간부/NNG+회의/NNG+에서/JKB+도/JX
"모법(母法)과	"/SS+모법/NNG+(/SS+母法/SH+)/SS+과/JKB
상충하는	상충/NNG+하/XSV+는/ETM
시행령이	시행령/NNG+이/JKS
있다면	있/VA+다면/EC
상임위별로	상임위/NNG+별/XSN+로/JKB
그	그/MMD
실태를	실태/NNG+를/JKO
조사해	조사/NNG+하/XSV+아/EC
달라"며	달/VX+라/EF+"/SS+며/EC
개정	개정/NNG
국회법을	국회법/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
시행령	시행령/NNG
개정을	개정/NNG+을/JKO
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.362.5.1
야당 지도부가 애초 공무원연금법 개정안과 국회법 개정안을 연계했던 것은 세월호특별법 시행령 문제 때문이었다.

야당	야당/NNG
지도부가	지도부/NNG+가/JKS
애초	애초/NNG
공무원연금법	공무원/NNG+연금법/NNG
개정안과	개정안/NNG+과/JC
국회법	국회법/NNG
개정안을	개정안/NNG+을/JKO
연계했던	연계/NNG+하/XSV+았/EP+던/ETM
것은	것/NNB+은/JX
세월호특별법	세월호/NNP+특별법/NNG
시행령	시행령/NNG
문제	문제/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.362.5.2
그러나 막상 국회법이 개정된 이후에는 세월호 시행령뿐 아니라 국가재정법 시행령, 영유아보육법 시행령, 노동조합법 시행령 등 정부·여당과 야당이 충돌했던 시행령 전반으로 전선을 확대하고 있는 것이다.

그러나	그러나/MAJ
막상	막상/MAG
국회법이	국회법/NNG+이/JKS
개정된	개정/NNG+되/XSV+ㄴ/ETM
이후에는	이후/NNG+에/JKB+는/JX
세월호	세월호/NNP
시행령뿐	시행령/NNG+뿐/JX
아니라	아니/VCN+라/EC
국가재정법	국가/NNG+재정법/NNG
시행령,	시행령/NNG+,/SP
영유아보육법	영유아/NNG+보육법/NNG
노동조합법	노동조합법/NNG
시행령	시행령/NNG
등	등/NNB
정부·여당과	정부/NNG+·/SP+여당/NNG+과/JC
야당이	야당/NNG+이/JKS
