# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.111
metadata : {}


# id : NWRW1800000044.111.1.1
“포스 디멘션과 연주하면 초월의 경지”

“포스	“/SS+포스/NNG
디멘션과	디멘션/NNP+과/JKB
연주하면	연주/NNG+하/XSV+면/EC
초월의	초월/NNG+의/JKG
경지”	경지/NNG+”/SS


# id : NWRW1800000044.111.2.1
[한겨레] 내한 공연 존 맥러플린 인터뷰

[한겨레]	[/SS+한겨레/NNP+]/SS
내한	내한/NNG
공연	공연/NNG
존	존/NNP
맥러플린	맥러플린/NNP
인터뷰	인터뷰/NNG


# id : NWRW1800000044.111.3.1
“나의 모든 레퍼토리 보여줄 것”

“나의	“/SS+나/NP+의/JKG
모든	모든/MMN
레퍼토리	레퍼토리/NNG
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000044.111.4.1
영국 출신의 거장 기타리스트 존 맥러플린(72· 사진)이 자신의 밴드 ‘포스 디멘션’을 이끌고 다음달 20일 저녁 8시 서울 마포아트센터에서 내한공연을 한다.

영국	영국/NNP
출신의	출신/NNG+의/JKG
거장	거장/NNG
기타리스트	기타리스트/NNG
존	존/NNP
맥러플린(72·	맥러플린/NNP+(/SS+72/SN+·/SP
사진)이	사진/NNG+)/SS+이/JKS
자신의	자신/NNG+의/JKG
밴드	밴드/NNG
‘포스	‘/SS+포스/NNG
디멘션’을	디멘션/NNP+’/SS+을/JKO
이끌고	이끌/VV+고/EC
다음달	다음/NNG+달/NNG
20일	20/SN+일/NNB
저녁	저녁/NNG
8시	8/SN+시/NNB
서울	서울/NNP
마포아트센터에서	마포아트센터/NNP+에서/JKB
내한공연을	내한/NNG+공연/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.111.4.2
그는 전설적인 트럼펫 연주자 마일스 데이비스가 재즈와 록을 결합한 퓨전 재즈를 정립할 당시 밴드에서 함께 연주했다.

그는	그/NP+는/JX
전설적인	전설/NNG+적/XSN+이/VCP+ㄴ/ETM
트럼펫	트럼펫/NNG
연주자	연주자/NNG
마일스	마일스/NNP
데이비스가	데이비스/NNP+가/JKS
재즈와	재즈/NNG+와/JC
록을	록/NNG+을/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
퓨전	퓨전/NNG
재즈를	재즈/NNG+를/JKO
정립할	정립/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
밴드에서	밴드/NNG+에서/JKB
함께	함께/MAG
연주했다.	연주/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.111.4.3
이후 세계 3대 퓨전 재즈 밴드 중 하나로 꼽히는 ‘마하비슈누 오케스트라’, 인도 음악가와 함께한 ‘리멤버 샥티’ 등에서 활동했다.

이후	이후/NNG
세계	세계/NNG
3대	3/SN+대/NNG
퓨전	퓨전/NNG
재즈	재즈/NNG
밴드	밴드/NNG
중	중/NNB
하나로	하나/NR+로/JKB
꼽히는	꼽히/VV+는/ETM
‘마하비슈누	‘/SS+마하비슈누/NNP
오케스트라’,	오케스트라/NNG+’/SS+,/SP
인도	인도/NNP
음악가와	음악가/NNG+와/JKB
함께한	함께/MAG+하/XSV+ㄴ/ETM
‘리멤버	‘/SS+리멤버/NNP
샥티’	샥티/NNP+’/SS
등에서	등/NNB+에서/JKB
활동했다.	활동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.111.4.4
1980년 알 디 메올라, 파코 데 루치아와 기타 트리오로 연주한 공연 실황 앨범 <프라이데이 나이트 인 샌프란시스코>는 명반으로 평가받는다.

