# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.62
metadata : {}


# id : NWRW1800000048.62.1.1
법원, 실제로 ‘재벌 봐주기 판결’ 했다

법원,	법원/NNG+,/SP
실제로	실제로/MAG
‘재벌	‘/SS+재벌/NNG
봐주기	봐주/VV+기/ETN
판결’	판결/NNG+’/SS
했다	하/VV+았/EP+다/EF


# id : NWRW1800000048.62.2.1
최한수 조세연 연구위원

최한수	최한수/NNP
조세연	조세연/NNP
연구위원	연구/NNG+위원/NNG


# id : NWRW1800000048.62.3.1
2000~2007년 252명 판결분석

2000~2007년	2000/SN+~/SO+2007/SN+년/NNB
252명	252/SN+명/NNB
판결분석	판결/NNG+분석/NNG


# id : NWRW1800000048.62.4.1
재벌, 일반인 견줘 집유 10%p↑

재벌,	재벌/NNG+,/SP
일반인	일반인/NNG
견줘	견주/VV+어/EC
집유	집유/NNG
10%p↑	10/SN+%p/SW+↑/SW


# id : NWRW1800000048.62.5.1
실형 선고뒤 복역기간 19개월 짧아

실형	실형/NNG
선고뒤	선고/NNG+뒤/NNG
복역기간	복역/NNG+기간/NNG
19개월	19/SN+개월/NNB
짧아	짧/VA+아/EF


# id : NWRW1800000048.62.6.1
법원이 재벌 대기업 관련 경제범죄에 대해서는 일반인이 저지른 경제범죄에 견줘 형량을 낮춰 판결하고 있다는 분석 결과가 나왔다.

법원이	법원/NNG+이/JKS
재벌	재벌/NNG
대기업	대/XPN+기업/NNG
관련	관련/NNG
경제범죄에	경제/NNG+범죄/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
일반인이	일반인/NNG+이/JKS
저지른	저지르/VV+ㄴ/ETM
견줘	견주/VV+어/EC
형량을	형량/NNG+을/JKO
낮춰	낮추/VV+어/EC
판결하고	판결/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
분석	분석/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.62.7.1
최한수 한국조세재정연구원 부연구위원은 1일 발표한 ‘왜 법원은 재벌(범죄)에 관대한가?’라는 보고서에서 “재벌 피고인은 재벌이 아닌 피고인보다 법원에서 관대한 처분을 받을 가능성이 컸으며, 이런 경향은 재벌의 규모가 클수록 강해졌다”고 밝혔다.

최한수	최한수/NNP
한국조세재정연구원	한국조세재정연구원/NNP
부연구위원은	부연구위원/NNG+은/JX
1일	1/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘왜	‘/SS+왜/MAG
법원은	법원/NNG+은/JX
재벌(범죄)에	재벌/NNG+(/SS+범죄/NNG+)/SS+에/JKB
관대한가?’라는	관대하/VA+ㄴ가/EF+?/SF+’/SS+이/VCP+라는/ETM
보고서에서	보고서/NNG+에서/JKB
“재벌	“/SS+재벌/NNG
피고인은	피고인/NNG+은/JX
재벌이	재벌/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
피고인보다	피고인/NNG+보다/JKB
법원에서	법원/NNG+에서/JKB
관대한	관대하/VA+ㄴ/ETM
처분을	처분/NNG+을/JKO
받을	받/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
컸으며,	크/VA+었/EP+으며/EC+,/SP
이런	이런/MMD
경향은	경향/NNG+은/JX
재벌의	재벌/NNG+의/JKG
규모가	규모/NNG+가/JKS
클수록	크/VA+ㄹ수록/EC
강해졌다”고	강하/VA+아/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.62.7.2
사법부의 ‘재벌 편향성’이 실제로 존재한다는 연구 결과가 나온 것은 이번이 처음이다.

사법부의	사법부/NNG+의/JKG
‘재벌	‘/SS+재벌/NNG
편향성’이	편향/NNG+성/XSN+’/SS+이/JKS
실제로	실제로/MAG
존재한다는	존재/NNG+하/XSV+ㄴ다는/ETM
연구	연구/NNG
결과가	결과/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.62.8.1
보고서는 2000년∼2007년 사이 법원에서 유죄 판결을 받은 252명의 기업인 자료를 분석했다.

보고서는	보고서/NNG+는/JX
2000년∼2007년	2000/SN+년/NNB+∼/SO+2007/SN+년/NNB
사이	사이/NNG
법원에서	법원/NNG+에서/JKB
유죄	유죄/NNG
판결을	판결/NNG+을/JKO
받은	받/VV+은/ETM
252명의	252/SN+명/NNB+의/JKG
기업인	기업인/NNG
자료를	자료/NNG+를/JKO
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.62.8.2
지배주주나 기업 임원이 저지른 경제범죄 중 피해액이 5억원을 넘는 횡령·배임 및 사기 사건을 대상으로 했다.

지배주주나	지배/NNG+주주/NNG+나/JC
기업	기업/NNG
임원이	임원/NNG+이/JKS
저지른	저지르/VV+ㄴ/ETM
경제범죄	경제/NNG+범죄/NNG
중	중/NNB
피해액이	피해액/NNG+이/JKS
5억원을	5/SN+억/NR+원/NNB+을/JKO
넘는	넘/VV+는/ETM
횡령·배임	횡령/NNG+·/SP+배임/NNG
및	및/MAG
사기	사기/NNG
사건을	사건/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.62.8.3
삼성 에버랜드의 전환사채(CB) 저가발행 사건처럼 문제가 된 주식이 상장돼 있지 않아 이득 액수를 정확히 계산하지 못한 경우도 분석 대상에 포함됐다.

삼성	삼성/NNP
에버랜드의	에버랜드/NNP+의/JKG
전환사채(CB)	전환/NNG+사채/NNG+(/SS+CB/SL+)/SS
저가발행	저가/NNG+발행/NNG
사건처럼	사건/NNG+처럼/JKB
문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
주식이	주식/NNG+이/JKS
상장돼	상장/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
이득	이득/NNG
액수를	액수/NNG+를/JKO
정확히	정확히/MAG
계산하지	계산/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
경우도	경우/NNG+도/JX
분석	분석/NNG
대상에	대상/NNG+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.62.9.1
분석 결과 기업인 중 25%만 실형을 선고 받았고, 나머지는 모두 집행유예를 받은 것으로 나타났다.

분석	분석/NNG
결과	결과/NNG
기업인	기업인/NNG
중	중/NNB
25%만	25/SN+%/SW+만/JX
실형을	실형/NNG+을/JKO
선고	선고/NNG
받았고,	받/VV+았/EP+고/EC+,/SP
나머지는	나머지/NNG+는/JX
모두	모두/MAG
집행유예를	집행/NNG+유예/NNG+를/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.62.9.2
특히 재벌 총수와 가족, 임원이 포함된 재벌 피고인이 1심이나 항소심에서 집행유예를 받을 가능성은 일반 경제범죄자보다 10%포인트 높았다.

특히	특히/MAG
재벌	재벌/NNG
총수와	총수/NNG+와/JC
가족,	가족/NNG+,/SP
임원이	임원/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
피고인이	피고인/NNG+이/JKS
1심이나	1심/NNG+이나/JC
항소심에서	항소심/NNG+에서/JKB
집행유예를	집행/NNG+유예/NNG+를/JKO
받을	받/VV+을/ETM
가능성은	가능/NNG+성/XSN+은/JX
일반	일반/NNG
경제범죄자보다	경제/NNG+범죄자/NNG+보다/JKB
10%포인트	10/SN+%포인트/NNG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000048.62.9.3
최 연구위원은 “이런 결과는 아주 강건해서 사건과 범죄자의 특성, 변호사의 능력과 검찰의 기소 편향의 요인들을 통제한 뒤에도 유지가 된다”고 설명했다.

최	최/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“이런	“/SS+이런/MMD
결과는	결과/NNG+는/JX
아주	아주/MAG
강건해서	강건하/VA+아서/EC
사건과	사건/NNG+과/JC
범죄자의	범죄자/NNG+의/JKG
특성,	특성/NNG+,/SP
변호사의	변호사/NNG+의/JKG
능력과	능력/NNG+과/JC
검찰의	검찰/NNG+의/JKG
기소	기소/NNG
편향의	편향/NNG+의/JKG
요인들을	요인/NNG+들/XSN+을/JKO
통제한	통제/NNG+하/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
유지가	유지/NNG+가/JKS
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.62.10.1
