# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.244
metadata : {}


# id : NWRW1800000033.244.1.1
경찰청서 돌아온 김두현 “집 떠나보니 집의 소중함 알겠더라”

경찰청서	경찰청/NNG+서/JKB
돌아온	돌아오/VV+ㄴ/ETM
김두현	김두현/NNP
“집	“/SS+집/NNG
떠나보니	떠나/VV+아/EC+보/VX+니/EC
집의	집/NNG+의/JKG
소중함	소중하/VA+ㅁ/ETN
알겠더라”	알/VV+겠/EP+더라/EF+”/SS


# id : NWRW1800000033.244.2.1
넘치는 의욕, 훈련으로 발산 “수원의 재도약 이끌겠다”

넘치는	넘치/VV+는/ETM
의욕,	의욕/NNG+,/SP
훈련으로	훈련/NNG+으로/JKB
발산	발산/NNG
“수원의	“/SS+수원/NNP+의/JKG
재도약	재/XPN+도약/NNG
이끌겠다”	이끌/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000033.244.3.1
“수원 선수들 중에 제가 제일 의욕이 넘칠 것 같은데요?”

“수원	“/SS+수원/NNP
선수들	선수/NNG+들/XSN
중에	중/NNB+에/JKB
제가	제/NP+가/JKS
제일	제일/MAG
의욕이	의욕/NNG+이/JKS
넘칠	넘치/VV+ㄹ/ETM
것	것/NNB
같은데요?”	같/VA+은데/EF+요/JX+?/SF+”/SS


# id : NWRW1800000033.244.4.1
R리그(프로 2군) 경찰청에서 3일 군 복무를 마치고 K리그 수원으로 복귀한 김두현(30·사진).

R리그(프로	R/SL+리그/NNG+(/SS+프로/NNG
2군)	2/SN+군/NNG+)/SS
경찰청에서	경찰청/NNG+에서/JKB
3일	3/SN+일/NNB
군	군/NNG
복무를	복무/NNG+를/JKO
마치고	마치/VV+고/EC
K리그	K/SL+리그/NNG
수원으로	수원/NNP+으로/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
김두현(30·사진).	김두현/NNP+(/SS+30/SN+·/SP+사진/NNG+)/SS+./SF


# id : NWRW1800000033.244.4.2
그가 가장 먼저 찾아간 곳은 수원과 서울의 라이벌전이 열린 수원월드컵경기장이었다.

그가	그/NP+가/JKS
가장	가장/MAG
먼저	먼저/MAG
