# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.381
metadata : {}


# id : NWRW1800000036.381.1.1
불법사찰 은폐 ‘보이지 않는 손’ 다시 움직이나

불법사찰	불법/NNG+사찰/NNG
은폐	은폐/NNG
‘보이지	‘/SS+보이/VV+지/EC
않는	않/VX+는/ETM
손’	손/NNG+’/SS
다시	다시/MAG
움직이나	움직이/VV+나/EF


# id : NWRW1800000036.381.2.1
[한겨레] 류충렬씨, 검찰서 진술 거부

[한겨레]	[/SS+한겨레/NNP+]/SS
류충렬씨,	류충렬/NNP+씨/NNB+,/SP
검찰서	검찰/NNG+서/JKB
진술	진술/NNG
거부	거부/NNG


# id : NWRW1800000036.381.3.1
재수사 대상 대부분 공무원

재수사	재/XPN+수사/NNG
대상	대상/NNG
대부분	대/XPN+부분/NNG
공무원	공무원/NNG


# id : NWRW1800000036.381.4.1
총리실은 ‘입조심 엄포’도

총리실은	총리실/NNG+은/JX
‘입조심	‘/SS+입조심/NNG
엄포’도	엄포/NNG+’/SS+도/JX


# id : NWRW1800000036.381.5.1
민간인 사찰과 증거인멸 사건 재수사 과정에 소환된 핵심 인물들이 부인으로 일관하고 있다.

민간인	민간인/NNG
사찰과	사찰/NNG+과/JC
증거인멸	증거/NNG+인멸/NNG
사건	사건/NNG
재수사	재/XPN+수사/NNG
과정에	과정/NNG+에/JKB
소환된	소환/NNG+되/XSV+ㄴ/ETM
핵심	핵심/NNG
인물들이	인물/NNG+들/XSN+이/JKS
부인으로	부인/NNG+으로/JKB
일관하고	일관/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.381.5.2
현직 공무원인 이들의 이런 비협조적인 태도를 두고 사건을 은폐하려는 ‘보이지 않는 손’이 여전히 작동하고 있는 것 아니냐는 의혹이 제기되고 있다.

현직	현직/NNG
공무원인	공무원/NNG+이/VCP+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
이런	이런/MMD
비협조적인	비/XPN+협조/NNG+적/XSN+이/VCP+ㄴ/ETM
태도를	태도/NNG+를/JKO
두고	두/VV+고/EC
